"current_accrued_liabilities","","","128","255","","316","320","231","226","","242","235","197","173","171","186","221","209","283","317","325","340","340"
"st_debt","","","18","16","18","","","","","10","","10","10","10","9","10","32","38","17","16","364","31","31"
"current_deferred_revenue","","","","","","","","","","618","439","401","531","509","552","368","463","484","356","313","275","359","359"
"current_deferred_tax_liability","","","","","","","","","","","44","31","","","","","","","","","","",""
"other_current_liabilities","","","375","194","786","1190","1336","1015","1200","888","451","292","310","139","160","86","61","57","114","115","140","160","160"
"total_current_liabilities","","","2967","2566","2983","2623","3043","2291","2347","2277","2184","1907","1978","1393","1559","1071","1419","1501","1455","1875","1821","1572","1572"
"lt_debt","","","42","792","2","","","","","88","","78","63","51","684","498","1243","1190","1586","1875","1376","1801","1801"
"noncurrent_capital_leases","","","","","","","","","","","","","","","","","","192","186","188","193","176","176"
"pension_liabilities","","","","","","79","403","469","397","470","511","591","614","438","639","509","359","392","491","199","105","120","120"
"noncurrent_deferred_revenue","","","19","26","33","37","37","122","117","71","77","86","190","194","239","119","27","16","26","70","92","106","106"
"other_lt_liabilities","2898","","1532","399","567","197","367","149","352","318","484","337","298","284","278","256","286","216","352","314","347","396","396"
"total_liabilities","2898","","4560","3783","3585","2936","3850","3031","3213","3224","3256","2999","3143","2360","3399","2453","3334","3507","4096","4521","3934","4171","4171"
"common_stock","","","","1384","","","","","","","","","","","","","","","","","","",""
"preferred_stock","","","","","","","","","","","","","","","","","","","","","","",""
"retained_earnings","","","-10","-128","27","319","596","854","1157","1607","1709","1748","439","595","488","877","1235","1437","1305","1287","1410","1072","1072"
"aoci","","","822","","-291","-122","-439","-444","-438","-548","-610","-740","-876","-831","-1050","-921","-910","-987","-1083","-881","-882","-915","-915"
"apic","","","","","2058","2070","2091","2103","1981","2005","2049","2065","2091","2070","2088","2091","2190","2206","2222","2206","2235","2505","2505"
"treasury_stock","","","","","","","-196","-225","-454","-569","-606","-610","-712","-769","-769","-818","-817","-817","-864","-943","-1143","-1279","-1279"
"other_equity","1133","","","","","","","","","","","","","","","","","","","","","",""
"minority_interest_liability","","","115","143","35","","-18","8","-42","-53","-31","-24","-7","-13","-12","-8","20","14","29","14","12","11","11"
"total_equity","1133","","927","1399","1829","2267","2034","2296","2204","2442","2511","2439","935","1052","745","1221","1718","1853","1609","1683","1632","1394","1394"
"total_liabilities_and_equity","4031","","5487","5182","5414","5203","5884","5327","5417","5666","5767","5438","4078","3412","4144","3674","5052","5360","5705","6204","5566","5565","5565"
"cfo_net_income","-128","-142","-303","240","168","302","367","364","395","540","202","171","-1198","226","-51","440","310","209","-51","35","192","-261","-253"
"cfo_da","29","","52","56","47","41","49","55","62","71","65","68","72","39","45","48","63","104","115","146","137","141","141"
"cfo_receivables","","","-151","475","513","121","-169","263","41","233","-248","140","63","265","129","562","-175","-8","195","-524","425","12","93"
"cfo_inventory","","","","","","","","","","","","","","","","","","","","","","",""
"cfo_prepaid_expenses","","","","","","","","","","","","","","","","","","","","","","",""
"cfo_other_working_capital","","","246","-159","242","69","-151","-758","62","-73","-29","-68","184","-441","-56","-562","15","-40","-36","355","-490","-35","-71"
"cfo_change_in_working_capital","","","95","316","755","190","-320","-495","103","160","-277","72","247","-176","73","","-160","-48","159","-169","-65","-23","22"
"cfo_deferred_tax","","","26","3","12","-27","88","65","14","-173","18","18","353","14","18","-322","26","-14","-40","47","37","14","11"
"cfo_stock_comp","","","","","","","","","","","","","","","","","","","","","","",""
"cfo_other_noncash_items","99","142","69","-88","-51","-258","-60","-25","-25","52","134","-32","696","-56","-24","27","-74","5","184","219","95","460","466"
"cf_cfo","","","-61","527","931","248","124","-36","549","650","142","297","170","47","61","193","165","256","367","278","396","331","387"
"cfi_ppe_net","-161","","-60","-50","-51","3","7","-41","-86","-83","-75","-78","-53","-10","-11","-8","-17","-20","-20","-30","-71","-80","-86"
"cfi_acquisitions_net","","","","","","334","-526","","-311","-11","","10","","-19","-972","-4","-698","-146","-858","-399","-73","",""
"cfi_investment_net","","","","","","","","32","-12","-5","","","","","","","","","","-7","-61","-39",""
"cfi_intangibles_net","","","","","","","","","-20","","","","","","","","","","","-7","","",""
"cfi_other","161","","-23","70","276","-44","-37","","32","11","127","6","9","130","2","","224","8","1","15","242","49","-15"
"cf_cfi","","","-83","20","225","293","-556","-9","-397","-88","52","-62","-44","101","-981","-12","-491","-158","-877","-428","37","-70","-101"
"cff_common_stock_net","","","","","512","6","-193","-29","-228","-111","-33","-1","-102","-61","-4","-53","-1","1","-47","-70","-198","-133","-135"
"cff_pfd_net","","","","","","","","","","","","","","","","","","","","","","",""
"cff_debt_net","","","-19","-21","-19","-7","","","-13","-15","-14","-14","-11","-11","641","-189","855","-70","338","259","-116","-415","-369"
"cff_dividend_paid","","","","","","-35","-25","-32","-32","-30","-37","-36","-47","-47","-46","-45","-44","-46","-54","-61","-66","-72","-74"
"cff_other","","","-64","-354","-632","-114","-26","-105","-63","-221","-32","-97","-50","-73","-7","-3","-156","-18","-12","-41","-19","261","182"
"cf_cff","","","-83","-375","-139","-150","-244","-166","-336","-377","-116","-148","-210","-192","584","-290","654","-133","225","87","-399","-359","-396"
"ebitda","-153","8810","-305","511","293","335","590","597","539","497","361","237","-232","209","24","243","353","416","446","545","541","626","635"
"capex","-161","","-60","-50","-51","3","7","-41","-86","-83","-75","-78","-53","-10","-11","-8","-17","-20","-20","-30","-71","-80","-86"
"fcf","-161","","-121","477","880","251","131","-77","463","567","67","219","117","37","50","185","148","236","347","248","325","251","301"
"book_value","1133","","927","1399","1829","2267","2034","2296","2204","2442","2511","2439","935","1052","745","1221","1718","1853","1609","1683","1632","1394","1419"
"tangible_book_value","1133","","639","1114","1540","2001","1267","1547","1130","1378","1633","1582","570","693","-462","14","-63","93","-835","-1085","-1100","-1333","-1296"
"roa","","-0.07000000000000001","-0.11","0.04","0.03","0.06","0.06","0.05","0.06","0.09","0.03","0.01","-0.27","0.05","-0.02","0.11","0.06","0.04","-0.01","","0.03","-0.05","-0.05"
"roe","","-0.23","-0.65","0.21","0.1","0.15","0.15","0.13","0.15","0.21","0.06","0.03","-0.75","0.2","-0.07000000000000001","0.44","0.19","0.11","-0.04","0.02","0.11","-0.18","-0.17"
"roic","","-0.23","-0.55","0.14","0.08","0.15","0.15","0.13","0.15","0.21","0.06","0.03","-0.72","0.19","-0.05","0.27","0.12","0.06","-0.02","0.01","0.05","-0.08","-0.07000000000000001"
"roce","","4.37","-0.28","0.18","0.1","0.12","0.2","0.18","0.16","0.13","0.08","0.05","-0.11","0.08","-0.01","0.07000000000000001","0.09","0.08","0.08","0.09","0.1","0.12","0.12"
"rotce","","4.37","-0.32","0.2","0.11","0.13","0.25","0.25","0.22","0.2","0.12","0.06","-0.14","0.1","-0.01","0.14","0.18","0.16","0.17","0.23","0.27","0.36","0.35"
"gross_margin","-0.02","1","-0.02","0.05","0.04","0.06","0.07000000000000001","0.06","0.07000000000000001","0.07000000000000001","0.07000000000000001","0.06","-0.01","0.06","0.03","0.11","0.12","0.12","0.12","0.11","0.13","0.14","0.14"
"ebitda_margin","-0.03","1","-0.03","0.05","0.03","0.04","0.05","0.05","0.05","0.05","0.05","0.03","-0.04","0.04","0.01","0.06","0.07000000000000001","0.07000000000000001","0.08","0.07000000000000001","0.08","0.09","0.09"
"operating_margin","-0.04","1","-0.03","0.04","0.03","0.03","0.05","0.04","0.05","0.05","0.04","0.02","-0.05","0.03","","0.05","0.06","0.06","0.06","0.05","0.06","0.07000000000000001","0.07000000000000001"
"pretax_margin","-0.04","","-0.03","0.04","0.02","0.04","0.05","0.04","0.06","0.06","0.04","0.04","-0.12","0.06","0.01","0.06","0.08","0.05","","0.02","0.04","-0.02","-0.02"
"net_income_margin","-0.02","-0.02","-0.03","0.02","0.02","0.03","0.03","0.02","0.03","0.05","0.02","0.01","-0.2","0.04","-0.01","0.1","0.06","0.04","-0.01","","0.03","-0.04","-0.04"
"fcf_margin","-0.03","","-0.01","0.05","0.09","0.03","0.01","-0.01","0.05","0.06","0.01","0.03","0.02","0.01","0.01","0.04","0.03","0.04","0.06","0.03","0.05","0.04","0.04"
"assets_to_equity","3.56","","5.92","3.7","2.96","2.3","2.89","2.32","2.46","2.32","2.3","2.23","4.36","3.24","5.56","3.01","2.94","2.89","3.55","3.69","3.41","3.99","3.96"
"equity_to_assets","0.28","","0.17","0.27","0.34","0.44","0.35","0.43","0.41","0.43","0.44","0.45","0.23","0.31","0.18","0.33","0.34","0.35","0.28","0.27","0.29","0.25","0.25"
"debt_to_equity","","","0.06","0.58","0.01","","","","","0.04","","0.04","0.08","0.06","0.93","0.42","0.74","0.77","1.11","1.24","1.18","1.44","1.44"
"debt_to_assets","","","0.01","0.16","","","","","","0.02","","0.02","0.02","0.02","0.17","0.14","0.25","0.26","0.31","0.34","0.35","0.36","0.36"
"revenue_per_share","37.68","64.78","87.94","75.04000000000001","68.81","51.75","69.34999999999999","75.19","63.45","60.28","52.15","48.42","43.6","35.39","30.06","29.58","34.84","39.71","40.61","52.05","42.08","51.53","52.67"
"ebitda_per_share","-1.13","64.78","-2.24","3.76","2.09","1.98","3.53","3.71","3.43","3.29","2.42","1.59","-1.59","1.45","0.17","1.72","2.5","2.93","3.14","3.87","3.47","4.64","4.73"
"operating_income_per_share","-1.34","64.78","-2.63","3.35","1.76","1.74","3.24","3.37","3.04","2.82","1.99","1.13","-2.08","1.18","-0.15","1.38","2.06","2.2","2.33","2.83","2.59","3.59","3.68"
"pretax_income_per_share","-1.33","","-2.83","3.18","1.57","2.02","3.4","3.3","3.73","3.79","1.93","2.01","-5.32","2.17","0.23","1.75","2.81","1.89","-0.18","1.04","1.82","-1.23","-1.13"
