"retained_earnings","-334.632","-450.044","-502.32","-928.778","-1137.185","-1380.452","-1438.189","-1598.684","-1670.219","-1670.219"
"aoci","-3.397","-2.746","3.403","-1.965","-1.673","4.964","-4.809","-22.996","-19.36","-19.36"
"apic","61.881","105.432","160.265","1545.088","1685.167","1702.254","1720.013","2240.732","2821.461","2821.461"
"treasury_stock","","","","","","-1.048","-1.532","-1.785","-2.164","-2.164"
"other_equity","0.0030000000000427","0.0029999999999291","0.0039999999999623","0.017000000000053","0.018000000000029","0.019000000000176","0.020000000000095","0.020000000000095","0.021000000000186","0.021000000000186"
"minority_interest_liability","","","","","","","","","",""
"total_equity","-276.145","-347.355","-338.648","614.362","546.327","325.737","275.503","617.287","1129.739","1129.739"
"total_liabilities_and_equity","486.487","499.638","619.973","1615.417","1891.138","2336.507","2541.265","3012.72","2971.29","2971.29"
"cfo_net_income","-122.559","-115.412","-52.276","-426.458","-208.359","-243.267","-69.976","-97.45399999999999","73.98","107.201"
"cfo_da","17.62","28.471","31.75","38.027","50.182","71.09","81.913","86.255","95.062","96.70099999999999"
"cfo_receivables","-36.196","-24.565","-35.011","-38.367","-64.801","-73.913","-117.38","-75.964","71.681","94.039"
"cfo_inventory","","","","","","","","","",""
"cfo_prepaid_expenses","-11.792","1.63","-1.507","-3.283","-3.142","-1.155","-7.074","-5.038","-0.657","-0.915"
"cfo_other_working_capital","34.294","49.029","54.772","47.771","20.295","147.242","22.843","-174.702","-107.997","-147.493"
"cfo_change_in_working_capital","-13.694","26.094","18.254","6.121","-47.648","72.17400000000001","-101.611","-255.704","-36.973","-54.369"
"cfo_deferred_tax","-1.166","0.012","-0.996","-5.001","1.287","-2.41","1.369","1.697","6.292","6.146"
"cfo_stock_comp","32.66","35.44","29.75","410.98","206.4","286.88","408.54","538.73","616.85","614.65"
"cfo_other_noncash_items","19.144","20.605","28.497","52.417","113.834","112.487","186.232","233.235","224.315","230.388"
"cf_cfo","-67.995","-4.79","54.979","76.086","115.696","296.954","506.467","506.759","979.526","1000.717"
"cfi_ppe_net","-28.305","-43.33","-18.929","-30.413","-72.04600000000001","-82.395","-61.396","-77.654","-92.39100000000001","-96.087"
