"Company: ","Mister Car Wash Inc (MCW:US)","","","","",""
"Exchange: ","NYSE","","","","",""
"Last Close Price: ","6.92","","","","",""
"Industry: ","Diversified Consumer Services","","","","",""
"Currency: ","USD","","","","",""
"Country: ","US","","","","",""
"roe","","-2.57","-0.07000000000000001","0.15","0.09","0.09"
"roic","","0.04","-0.01","0.05","0.03","0.03"
"roce","","0.07000000000000001","-0.01","0.08","0.07000000000000001","0.07000000000000001"
"rotce","","0.18","-0.03","0.15","0.13","0.12"
"gross_margin","0.61","0.66","0.65","0.6899999999999999","0.7","0.7"
"ebitda_margin","0.18","0.26","0.03","0.28","0.27","0.26"
"operating_margin","0.12","0.18","-0.04","0.21","0.19","0.18"
"pretax_margin","","0.13","-0.06","0.17","0.11","0.11"
"net_income_margin","","0.11","-0.03","0.13","0.09","0.08"
"fcf_margin","0.06","0.12","0.19","0.14","","-0.03"
"assets_to_equity","-18.08","117.02","3.73","3.35","3.15","3.15"
"equity_to_assets","-0.06","0.01","0.27","0.3","0.32","0.32"
"debt_to_equity","-16.13","105.98","2.48","2.09","1.88","1.88"
"debt_to_assets","0.89","0.91","0.67","0.62","0.6","0.6"
"revenue_per_share","2.31","1.94","2.71","2.68","2.82","2.86"
"ebitda_per_share","0.43","0.51","0.08","0.76","0.76","0.75"
"operating_income_per_share","0.28","0.36","-0.1","0.57","0.54","0.53"
"pretax_income_per_share","-0.01","0.26","-0.17","0.45","0.31","0.31"
"fcf_per_share","0.14","0.23","0.51","0.38","-0.01","-0.08"
"book_value_per_share","-0.23","0.06","2.35","2.45","2.79","2.81"
"tangible_book_per_share","-3.41","-2.86","-1.9","-1.32","-1.03","-0.98"
"payout_ratio","","","","","",""
"revenue_growth","","-0.09","0.32","0.16","0.06",""
"gross_profit_growth","","-0.01","0.29","0.23","0.07000000000000001",""
"ebitda_growth","","0.3","-0.85","9.859999999999999","",""
"operating_income_growth","","0.38","-1.26","7.74","-0.05",""
"pretax_income_growth","","45.97","-1.61","4.09","-0.29",""
"net_income_growth","","64.66","-1.36","6.12","-0.29",""
"eps_diluted_growth","","67","-1.39","5.25","-0.29",""
"shares_diluted_growth","","0.09","-0.05","0.17","",""
"cash_and_equiv_growth","","16.9","-0.83","2.3","-0.71",""
"ppe_growth","","3.04","0.26","0.12","0.17",""
"total_assets_growth","","0.6899999999999999","0.26","0.1","0.07000000000000001",""
"total_equity_growth","","1.26","38.47","0.22","0.14",""
"cfo_growth","","0.45","0.7","0.32","-0.11",""
"capex_growth","","-0.12","0.15","-2.47","-1.01",""
"fcf_growth","","0.72","1.15","-0.12","-1.03",""
"shares_eop","272.454","296.074","300.12","306.627","315.192","319.51"
"dividends","","","","","",""
"price_to_earnings","","","-247.91","25.07","33.99","32.57"
"price_to_book","","","8.32","3.53","2.98","2.65"
"price_to_sales","","","7.21","3.23","2.94","2.62"
"price_to_tangible_book","","","-10.26","-6.55","-8.07","-7.65"
"price_to_fcf","","","38.08","22.5","-779.41","-93.64"
"market_cap","","","5465.1852","2830.16721","2723.25888","2463.22125"
"period_end_price","","","18.21","9.23","8.640000000000001","8.640000000000001"
