"book_value","","14269","14435","6578","7094","8076","9005","11906"
"tangible_book_value","","3206","3468","-4598","-2764","-3243","-12","-10811"
"roa","","0.25","0.1","0.08","0.06","0.14","0.05","0.04"
"roe","","0.38","0.15","0.19","0.24","0.47","0.16","0.12"
"roic","","0.37","0.14","0.12","0.09","0.2","0.06","0.05"
"roce","","0.31","0.14","0.1","0.12","0.12","0.11","0.09"
"rotce","","0.85","0.36","0.24","0.26","0.26","0.19","0.24"
"gross_margin","0.29","0.29","0.29","0.29","0.29","0.27","0.29","0.29"
"ebitda_margin","0.15","0.16","0.15","0.13","0.13","0.14","0.14","0.14"
"operating_margin","0.13","0.14","0.13","0.11","0.12","0.12","0.11","0.11"
"pretax_margin","0.17","0.2","0.14","0.16","0.12","0.21","0.09","0.08"
"net_income_margin","0.07000000000000001","0.14","0.11","0.11","0.08","0.17","0.06","0.05"
"fcf_margin","0.1","0.09","0.1","0.08","0.09","0.07000000000000001","0.1","0.09"
"assets_to_equity","","1.52","1.55","3.81","3.69","3.23","3.64","3.43"
"equity_to_assets","","0.66","0.64","0.26","0.27","0.31","0.27","0.29"
"debt_to_equity","","","0.07000000000000001","1.65","1.44","1.16","1.63","1.46"
"debt_to_assets","","","0.04","0.43","0.39","0.36","0.45","0.43"
"revenue_per_share","20.41","21.67","21.48","19.83","23.15","23.71","25.91","26.49"
"ebitda_per_share","3.15","3.44","3.17","2.57","3.1","3.24","3.53","3.65"
"operating_income_per_share","2.72","3.03","2.78","2.19","2.72","2.8","2.89","2.83"
"pretax_income_per_share","3.5","4.4","3.08","3.24","2.7","4.98","2.44","2.21"
"fcf_per_share","2.03","2.05","2.1","1.57","2.13","1.61","2.51","2.38"
"book_value_per_share","","16.35","16.66","7.47","7.97","9.380000000000001","10.56","13.04"
"tangible_book_per_share","","3.67","4","-5.22","-3.1","-3.77","-0.01","-11.84"
"payout_ratio","","","","0.12","0.26","0.15","0.47","0.52"
"revenue_growth","","0.06","-0.02","-0.06","0.18","-0.01","0.08",""
"gross_profit_growth","","0.07000000000000001","-0.03","-0.06","0.17","-0.09","0.17",""
"ebitda_growth","","0.09","-0.09","-0.17","0.22","0.01","0.08",""
"operating_income_growth","","0.11","-0.09","-0.2","0.25","","0.02",""
"pretax_income_growth","","0.26","-0.3","0.07000000000000001","-0.16","0.79","-0.51",""
"net_income_growth","","1.23","-0.23","-0.06","-0.16","1.12","-0.62",""
"eps_diluted_growth","","1.23","-0.22","-0.08","-0.17","1.19","-0.61",""
"shares_diluted_growth","","","-0.01","0.02","0.01","-0.03","-0.01",""
"cash_and_equiv_growth","","","-0.16","2.27","-0.04","0.18","1.85",""
"ppe_growth","","","0.51","0.04","-0.05","0.17","-0.03",""
"total_assets_growth","","","0.03","0.12","0.04","","0.26",""
"total_equity_growth","","","0.01","-0.54","0.08","0.14","0.12",""
"cfo_growth","","-0.02","","-0.18","0.32","-0.22","0.5",""
"capex_growth","","0.19","0.08","-0.28","-0.1","-0.03","-0.33",""
"fcf_growth","","0.01","0.02","-0.24","0.37","-0.27","0.54",""
"shares_eop","872.8","872.8","866.223","867.829","863.039","834.665","839.91","901.01"
"dividends","","","","0.28","0.48","0.6","0.74","0.75"
"price_to_earnings","","","","16.52","28.13","9.74","35.77","42.07"
"price_to_book","","","","4.98","6.6","4.26","5.36","4.4"
"price_to_sales","","","","1.88","2.27","1.69","2.18","2.28"
"price_to_tangible_book","","","","-7.12","-16.94","-10.62","-4021.07","-4.84"
"price_to_fcf","","","","23.72","24.73","24.77","22.57","25.88"
"market_cap","","","","32734.50988","46811.23536","34429.93125","48252.8295","52371.75846"
"period_end_price","","","","37.72","54.24","41.25","57.45","57.45"
