"other_current_liabilities","","43.386","16.542","","21.526","18.4","38.4","34.8","130","195","121","161","152","137","144","144"
"total_current_liabilities","","127.725","165.006","164.248","308.37","326.3","435.5","565.8","960","1542","1401","1621","1566","1450","1695","1695"
"lt_debt","","101.65","","","","","2.3","","675","1936","2012","1219","1131","1822","1261","1261"
"noncurrent_capital_leases","","","","","","","","","","","1758","1657","1467","1348","1452","1452"
"pension_liabilities","","","","","","","","","","","","","","","",""
"noncurrent_deferred_revenue","","34.876","49.592","70.149","82.672","95.3","109.9","217.8","314","570","465","397","432","508","362","362"
"other_lt_liabilities","","9.923999999999999","3.59","7.922","19.8","22","19.6","31","88","170","142","430","326","318","319","319"
"total_liabilities","","274.175","218.188","242.319","410.842","443.6","567.3","814.6","2037","4218","5778","5324","4922","5446","5089","5089"
"common_stock","","","","","","","","","","","","","","","",""
"preferred_stock","","","","","","","","","","","","","","","",""
"retained_earnings","","81.28700000000001","228.651","626.253","1287.738","2168.8","3007.8","3560.3","4152","4707","4332","4270","5092","5708","5479","5479"
"aoci","","4.033","-0.735","-3.461","-6.373","-66.8","-80.90000000000001","-80.59999999999999","51","-66","75","56","194","147","161","161"
"apic","","40","228.321","424.454","527.213","636.7","718.9","767.8","831","1011","1085","1158","1260","1344","1417","1417"
"treasury_stock","","","","","-2.447","-497.7","-1650.1","-2654.9","-3016","-3223","-3325","-3326","-3987","-5351","-5458","-5458"
"other_equity","","-1.4210854715202E-14","5.6843418860808E-14","","","","-2.2737367544323E-13","","","","","","","","",""
"minority_interest_liability","","","","","","","3.8","2.4","4","3","1","-1","-1","1","1","1"
"total_equity","","125.32","456.237","1047.246","1806.131","2241","1999.5","1595","2022","2432","2168","2157","2558","1849","1600","1600"
"total_liabilities_and_equity","","399.495","674.425","1289.565","2216.973","2684.6","2566.8","2409.6","4059","6650","7946","7481","7480","7295","6689","6689"
"cfo_net_income","39.248","72.506","147.364","397.602","661.5","881","837.7","552","592","542","-225","-63","823","619","-229","-229"
"cfo_da","18.843","25.543","37.554","54.291","79.7","138.4","183.2","220","208","225","249","212","193","179","188","188"
"cfo_receivables","-35.35","-14.071","-48.399","-73.08","-104.4","-83.3","52.5","60","11","-23","42","-52","-78","50","27","27"
"cfo_inventory","-13.39","-50.465","-71.151","-81.108","-158.2","-112.4","-16.3","21","46","-125","115","145","-386","13","175","175"
"cfo_prepaid_expenses","-4.721","-8.99","-12.647","-3.866","-5.2","-20.1","-5.3","-1","49","-31","20","-31","14","-8","-29","-29"
"cfo_other_working_capital","13.23","64.477","68.742","183.829","201.3","31.9","151.1","1","43","14","-45","216","159","-137","-215","-215"
"cfo_change_in_working_capital","-40.231","-9.048999999999999","-63.455","25.775","-66.5","-183.9","182","81","149","-165","132","278","-291","-82","-42","-42"
"cfo_deferred_tax","11.024","12.443","-40.01","-141.286","-84.59999999999999","-39.1","-23","-67","2","-95","-71","-70","-57","-101","-187","-187"
"cfo_stock_comp","","","27.02","20.93","29.1","48.9","48.4","34","50","60","70","71","85","78","72","72"
"cfo_other_noncash_items","-0.29199999999999","8.865","6.817","6.525","13.8","12.6","21.2","215","61","127","704","196","-49","78","507","507"
"cf_cfo","28.592","110.308","115.29","363.837","633","857.9","1249.5","1035","1062","694","859","624","704","771","309","309"
"cfi_ppe_net","-32.175","-57.83","-88.187","-129.867","-213.5","-385.4","-380.6","-170","-123","-184","-223","-111","-131","-226","-189","-189"
"cfi_acquisitions_net","","","","-3.232","-2","-3","-0.5","-481","-1410","-77","-13","","","","",""
"cfi_investment_net","","","","","","","","","","11","","","","","",""
"cfi_intangibles_net","-1.359","-0.482","","-8.545999999999999","-28.8","-29.2","-11.4","-5","-3","-3","","","","","",""
"cfi_other","1.359","0.482","","2.546","28.8","29.2","11.4","5","3","-1872","298","-13","189","409","54","54"
"cf_cfi","-32.175","-57.83","-88.187","-139.099","-215.5","-388.4","-381.1","-651","-1533","-2125","62","-124","58","183","-135","-135"
"cff_common_stock_net","","","9.550000000000001","","-2.4","-495.3","-1152.4","-1005","-361","-207","-102","-1","-661","-1364","-107","-107"
"cff_pfd_net","","","9.550000000000001","","","","","","","","","","","","",""
"cff_debt_net","7.443","-37.445","9.909000000000001","-22.674","","","-7.2","147","736","1644","-394","-868","-187","587","-102","-102"
"cff_dividend_paid","-1.862","","","","","","","","","","","","","","",""
"cff_other","8.8817841970013E-16","-0.281","29.63","173.235","73.5","60.6","10.2","8","14","14","-1","-1","48","1","1","1"
"cf_cff","5.581","-37.726","58.639","150.561","71.09999999999999","-434.7","-1149.4","-850","389","1451","-497","-870","-800","-776","-208","-208"
"ebitda","75.017","166.243","288.528","685.03","1089.2","1396.2","1369.2","1120","1092","1105","807","579","1211","1016","555","555"
"capex","-32.175","-57.83","-88.187","-129.867","-213.5","-385.4","-380.6","-170","-123","-184","-223","-111","-131","-226","-189","-189"
"fcf","-3.583","52.478","27.103","233.97","419.5","472.5","868.9","865","939","510","636","513","573","545","120","120"
"book_value","","125.32","456.237","1047.246","1806.131","2241","1999.5","1595","2022","2432","2168","2157","2558","1849","1600","1600"
"tangible_book_value","","95.51900000000001","428.086","1012.261","1744.092","2165.5","1908.9","1057.2","-62","-1520","-1306","-1333","-707","-1172","-900","-900"
"roa","","0.36","0.27","0.4","0.38","0.36","0.32","0.22","0.18","0.1","-0.03","-0.01","0.11","0.08","-0.03","-0.03"
"roe","","1.16","0.51","0.53","0.46","0.44","0.4","0.31","0.33","0.24","-0.1","-0.03","0.35","0.28","-0.13","-0.13"
"roic","","0.6","0.41","0.52","0.46","0.44","0.4","0.3","0.26","0.14","-0.04","-0.01","0.16","0.12","-0.05","-0.05"
"roce","","0.99","0.61","0.76","0.67","0.59","0.53","0.44","0.34","0.19","0.09","0.06","0.17","0.14","0.06","0.06"
"rotce","","1.1","0.66","0.79","0.6899999999999999","0.61","0.55","0.52","0.67","0.59","0.22","0.13","0.39","0.3","0.13","0.13"
"gross_margin","0.52","0.5600000000000001","0.58","0.6","0.61","0.61","0.59","0.59","0.61","0.61","0.59","0.64","0.66","0.66","0.65","0.65"
"ebitda_margin","0.15","0.21","0.22","0.31","0.33","0.32","0.29","0.25","0.23","0.21","0.15","0.14","0.21","0.18","0.11","0.11"
"operating_margin","0.11","0.18","0.19","0.29","0.3","0.29","0.25","0.2","0.19","0.17","0.1","0.09","0.18","0.15","0.07000000000000001","0.07000000000000001"
"pretax_margin","0.11","0.17","0.19","0.29","0.3","0.29","0.25","0.15","0.16","0.12","-0.04","","0.16","0.12","-0.05","-0.05"
"net_income_margin","0.08","0.09","0.11","0.18","0.2","0.2","0.18","0.12","0.13","0.1","-0.04","-0.02","0.15","0.11","-0.04","-0.04"
"fcf_margin","-0.01","0.07000000000000001","0.02","0.11","0.13","0.11","0.18","0.19","0.2","0.1","0.11","0.13","0.1","0.1","0.02","0.02"
"assets_to_equity","","3.19","1.48","1.23","1.23","1.2","1.28","1.51","2.01","2.73","3.67","3.47","2.92","3.95","4.18","4.18"
"equity_to_assets","","0.31","0.68","0.8100000000000001","0.8100000000000001","0.83","0.78","0.66","0.5","0.37","0.27","0.29","0.34","0.25","0.24","0.24"
"debt_to_equity","","0.91","0.05","","","","","0.08","0.43","1.06","1.82","1.39","1.03","1.72","1.98","1.98"
"debt_to_assets","","0.29","0.03","","","","","0.06","0.22","0.39","0.5","0.4","0.35","0.44","0.47","0.47"
"revenue_per_share","2.84","4.38","6.88","10.83","16.1","21.23","24.92","26.73","30.42","34.55","36.83","26.98","37.08","41.93","44.18","44.18"
"ebitda_per_share","0.42","0.91","1.52","3.4","5.3","6.78","7.24","6.66","7.04","7.29","5.35","3.85","7.94","7.58","4.74","4.74"
"operating_income_per_share","0.31","0.77","1.33","3.13","4.91","6.11","6.27","5.35","5.7","5.8","3.7","2.44","6.68","6.25","3.14","3.14"
"pretax_income_per_share","0.31","0.73","1.31","3.11","4.9","6.1","6.2","4.1","4.78","4.1","-1.43","0.02","6","4.84","-2.42","-2.42"
"fcf_per_share","-0.02","0.29","0.14","1.16","2.04","2.3","4.6","5.15","6.05","3.36","4.22","3.41","3.76","4.07","1.03","1.03"
"book_value_per_share","","0.68","2.41","5.2","8.779999999999999","10.89","10.58","9.49","13.04","16.04","14.38","14.34","16.77","13.8","13.67","13.67"
"tangible_book_per_share","","0.52","2.26","5.02","8.48","10.52","10.1","6.29","-0.4","-10.03","-8.67","-8.859999999999999","-4.64","-8.75","-7.69","-7.69"
"payout_ratio","","","","","","","","","","","","","","","",""
"revenue_growth","","0.58","0.62","0.68","0.52","0.32","0.08","-0.05","0.05","0.11","0.06","-0.27","0.39","-0.01","-0.08","-0.08"
"gross_profit_growth","","0.67","0.6899999999999999","0.73","0.54","0.31","0.06","-0.05","0.07000000000000001","0.11","0.03","-0.21","0.44","-0.01","-0.1","-0.1"
"ebitda_growth","","1.22","0.74","1.37","0.59","0.28","-0.02","-0.18","-0.03","0.01","-0.27","-0.28","1.09","-0.16","-0.45","-0.45"
"operating_income_growth","","1.5","0.78","1.51","0.6","0.25","-0.06","-0.24","-0.02","","-0.37","-0.34","1.77","-0.18","-0.5600000000000001","-0.5600000000000001"
"pretax_income_growth","","1.42","0.87","1.52","0.61","0.25","-0.07000000000000001","-0.41","0.08","-0.16","-1.35","1.01","304","-0.29","-1.44","-1.44"
"net_income_growth","","0.85","1.03","1.7","0.66","0.33","-0.05","-0.34","0.07000000000000001","-0.08","-1.41","0.72","14.26","-0.25","-1.37","-1.37"
"eps_diluted_growth","","0.41","1.52","1.53","0.63","0.33","0.04","-0.26","0.16","-0.06","-1.41","0.72","14.15","-0.15","-1.43","-1.43"
"shares_diluted_growth","","0.02","0.03","0.06","0.02","","-0.08","-0.11","-0.08","-0.02","-0.01","","0.01","-0.12","-0.13","-0.13"
"cash_and_equiv_growth","","","4.05","3.44","1.06","0.01","-0.28","-0.68","-0.28","0.06","2.44","-0.61","-0.27","0.47","-0.2","-0.2"
"ppe_growth","","","0.43","0.42","0.45","0.61","0.35","-0.22","-0.01","0.05","2.55","-0.09","-0.08","0.03","0.07000000000000001","0.07000000000000001"
"total_assets_growth","","","0.6899999999999999","0.91","0.72","0.21","-0.04","-0.06","0.68","0.64","0.19","-0.06","","-0.02","-0.08","-0.08"
"total_equity_growth","","","2.64","1.3","0.72","0.24","-0.11","-0.2","0.27","0.2","-0.11","-0.01","0.19","-0.28","-0.13","-0.13"
"cfo_growth","","2.86","0.05","2.16","0.74","0.36","0.46","-0.17","0.03","-0.35","0.24","-0.27","0.13","0.1","-0.6","-0.6"
"capex_growth","","-0.8","-0.52","-0.47","-0.64","-0.8100000000000001","0.01","0.55","0.28","-0.5","-0.21","0.5","-0.18","-0.73","0.16","0.16"
"fcf_growth","","15.65","-0.48","7.63","0.79","0.13","0.84","","0.09","-0.46","0.25","-0.19","0.12","-0.05","-0.78","-0.78"
"shares_eop","179.177","183.379","192.731","201.454","204.291","199.657","176.442","155.833","149.698","150.932","149.426","151.28","142.806","117.347","116.63","116.65"
"dividends","","","","","","","","","","","","","","","",""
"price_to_earnings","","","60.93","28.77","28.8","14.9","11.98","10.74","15.7","12.72","-7.23","-124.44","8.93","8.949999999999999","-23.07","-23.07"
"price_to_book","","","19.68","10.92","10.55","5.86","5.03","3.72","4.6","2.84","0.74","3.58","2.87","2.98","3.3","3.3"
"price_to_sales","","","6.9","5.24","5.76","3","2.13","1.32","1.97","1.32","0.29","1.9","1.3","0.98","1.02","1.02"
"price_to_tangible_book","","","20.98","11.3","10.93","6.06","5.26","5.62","-149.89","-4.54","-1.23","-5.79","-10.38","-4.71","-5.87","-5.87"
"price_to_fcf","","","331.3","48.9","45.42","27.78","11.57","6.87","9.9","13.54","2.54","15.04","12.81","10.12","44.03","44.03"
"market_cap","","","8979.337289999999","11440.57266","19054.22157","13127.44775","10050.13632","5938.79563","9293.251840000001","6905.139","1612.30654","7715.28","7338.80034","5515.309","5283.339","5283.339"
"period_end_price","","","46.59","56.79","93.27","65.75","56.96","38.11","62.08","45.75","10.79","51","51.39","47","45.3","45.3"
