"total_current_liabilities","","28601","10367","4756","5018","5096","5510","5437","4349","4540","4777","5513","5198","5502","7230","6760","7150","7150"
"lt_debt","","304","305","6036","3980","4304","5776","6695","7671","8385","8549","8497","11614","15286","11246","10540","10333","10333"
"noncurrent_capital_leases","","","","","","","","","","","","","1216","1222","1649","1510","1409","1409"
"pension_liabilities","","","","","","","","","","","","","","","","","",""
"noncurrent_deferred_revenue","","3241","2081","923","917","1314","1659","1623","2127","2331","1655","1975","2015","2332","2334","2858","2886","2886"
"other_lt_liabilities","","2451","23855","2183","2277","2327","1839","2122","2036","2113","2275","1897","2213","2957","2295","1954","2164","2164"
"total_liabilities","","34597","36608","13898","12192","13041","14784","15877","16183","17369","17256","17882","22256","27299","24754","23622","23942","23942"
"common_stock","","60","60","30","31","31","31","31","31","31","31","22","19","19","19","19","19","19"
"preferred_stock","","","","","","","","","","","","","","","","","",""
"retained_earnings","","-6440","-9313","1587","841","1274","4004","6775","9841","12282","15746","6763","4435","4440","8563","9195","9692","9692"
"aoci","","-264","-286","81","-427","-411","96","-1026","-1438","-1511","-1285","-1363","-1784","-1943","-1803","-1372","-1476","-1476"
"apic","","563","563","9837","10272","10351","10382","10387","10202","10191","10206","7041","5954","5986","6044","6119","6145","6145"
"treasury_stock","","","","","-124","-106","-2035","-7853","-12086","-14945","-15749","-2206","-580","-531","-965","-1346","-1450","-1450"
"other_equity","","","","","","","","","","","","","","","","","",""
"minority_interest_liability","","135","129","61","54","40","36","30","24","25","1","139","135","133","130","128","128","128"
"total_equity","","-5946","-8847","11596","10647","11179","12514","8344","6574","6073","8950","10396","8179","8104","11988","12743","13058","13058"
"total_liabilities_and_equity","","28651","27761","25494","22839","24220","27298","24221","22757","23442","26206","28278","30435","35403","36742","36365","37000","37000"
"cfo_net_income","661","-7321","-2871","10084","2140","2834","3853","4168","4474","3837","4877","4690","3397","1427","5617","3889","2121","2120"
"cfo_da","472","1911","1774","1123","931","983","1021","1019","1047","1064","1174","1241","1312","1385","1393","1267","1534","1503"
"cfo_receivables","503","1367","-129","-702","-89","-101","-64","358","780","-383","-521","433","367","-246","-1519","1005","110","-328"
"cfo_inventory","-161","943","-40","-395","-732","441","-151","-205","-240","123","-237","-141","-129","340","-742","-91","18","229"
"cfo_prepaid_expenses","-72","101","-329","","-23","-98","-165","156","-121","226","","","","","","","",""
"cfo_other_working_capital","-287","-2096","428","641","703","-189","275","-378","-665","157","165","-199","-251","217","1301","-464","141","297"
"cfo_change_in_working_capital","-17","315","-70","-456","-141","53","-105","-69","-246","123","-593","93","-13","311","-960","450","269","198"
"cfo_deferred_tax","-111","-831","-1399","-1109","452","715","-46","177","181","357","-587","260","209","331","-198","369","43","28"
"cfo_stock_comp","","","","","","","","","53","38","55","39","48","55","66","70","91","101"
"cfo_other_noncash_items","175","7016","1779","-7621","-522","202","112","753","333","187","280","-852","8","-105","1777","74","884","396"
"cf_cfo","1180","1090","-787","2021","2860","4787","4835","6048","5842","5606","5206","5471","4961","3404","7695","6119","4942","4346"
