"apic","","577","4283","4342","4399","4408","4412","4409","4404","4388","4464","1504","1578","1578"
"treasury_stock","","","","","","-9","-10","-128","-154","-109","-84","-230","-865","-865"
"other_equity","","","","","","","","","","","","","",""
"minority_interest_liability","","908","66","55","59","28","33","55","75","122","75","49","120","120"
"total_equity","","4832","4967","4977","4861","4472","4257","5098","6156","5029","6853","6976","8234","8234"
"total_liabilities_and_equity","","48965","53843","51913","46677","45547","48298","46100","47352","48719","49416","39381","46351","46351"
"cfo_net_income","639","876","828","708","248","-261","290","1099","1454","-198","1801","2039","2383","2299"
"cfo_da","1023","1039","1103","1140","1146","1261","1350","1337","1215","538","537","535","564","580"
"cfo_receivables","-701","-1145","-658","-810","279","-92","-659","-180","-460","1011","191","-2447","-2268","-1935"
"cfo_inventory","-1290","-103","-1205","-172","473","769","682","112","440","1224","-555","-151","-259","117"
"cfo_prepaid_expenses","","","","","","","","","","","","","",""
"cfo_other_working_capital","2034","-256","1277","-450","271","828","902","7","-1041","560","1119","496","515","-252"
"cfo_change_in_working_capital","43","-1504","-586","-1432","1023","1505","925","-61","-1061","2795","755","-2102","-2012","-2070"
"cfo_deferred_tax","","","","","","","","","","","","","",""
"cfo_stock_comp","","","","","","","","","","","","","",""
"cfo_other_noncash_items","460","431","177","265","369","263","300","179","218","2394","989","85","-28","-95"
"cf_cfo","2165","842","1522","681","2786","2768","2865","2554","1826","5529","4082","557","907","714"
"cfi_ppe_net","539","412","466","577","726","660","17","7","61","3","-921","-999","-1195","-1200"
"cfi_acquisitions_net","","","","","","","","","","","","","",""
"cfi_investment_net","","","","","","","","","","","","","",""
"cfi_intangibles_net","","","","","","","","","","","","","",""
"cfi_other","-2874","-3009","-4254","-2547","-1674","-2316","-1886","-1927","-2048","-2753","-4080","-2010","-2504","-2169"
"cf_cfi","-2335","-2597","-3788","-1970","-948","-1656","-1869","-1920","-1987","-2750","-5001","-3009","-3699","-3369"
"cff_common_stock_net","","","","","","","","","","","","-153","-652","-1162"
"cff_pfd_net","","","","","","","","","","","","","",""
"cff_debt_net","9396","1859","2476","2054","-741","-1141","-906","-710","272","1661","-1100","1960","1717","2989"
"cff_dividend_paid","-11","-616","-368","-382","-297","-207","-168","-243","-283","-8","-188","-423","-538","-538"
"cff_other","-6570","-644","508","-296","119","-190","29","230","217","-994","-157","580","2071","1325"
"cf_cff","2815","599","2616","1376","-919","-1538","-1045","-723","206","659","-1445","1964","2598","2614"
"ebitda","3993","4106","4072","4130","3528","3830","4207","4673","4216","2376","3828","4671","5509","5447"
"capex","539","412","466","577","726","660","17","7","61","3","-921","-999","-1195","-1200"
"fcf","2704","1254","1988","1258","3512","3428","2882","2561","1887","5532","3161","-442","-288","-486"
"book_value","","4832","4967","4977","4861","4472","4257","5098","6156","5029","6853","6976","8234","8012"
"tangible_book_value","","1542","1653","1643","1604","1236","993","1857","2812","2333","2436","2525","3328","3144"
"roa","","0.03","0.01","0.01","0.01","-0.01","0.01","0.02","0.03","-0.01","0.04","0.05","0.06","0.05"
"roe","","0.31","0.14","0.14","0.05","-0.06","0.06","0.23","0.25","-0.09","0.29","0.29","0.31","0.3"
"roic","","0.05","0.02","0.02","0.01","-0.01","0.01","0.04","0.05","-0.02","0.06","0.07000000000000001","0.07000000000000001","0.07000000000000001"
"roce","","0.15","0.07000000000000001","0.07000000000000001","0.06","0.07000000000000001","0.07000000000000001","0.09","0.08","0.05","0.09","0.13","0.13","0.13"
"rotce","","0.17","0.08","0.07000000000000001","0.06","0.07000000000000001","0.08","0.1","0.09","0.05","0.1","0.15","0.15","0.15"
"gross_margin","0.22","0.22","0.22","0.22","0.21","0.23","0.22","0.23","0.22","0.25","0.28","0.29","0.32","0.32"
"ebitda_margin","0.12","0.13","0.12","0.13","0.14","0.15","0.15","0.16","0.15","0.16","0.2","0.2","0.22","0.23"
"operating_margin","0.09","0.09","0.09","0.09","0.09","0.1","0.1","0.11","0.11","0.12","0.17","0.18","0.2","0.2"
"pretax_margin","0.04","0.04","0.04","0.03","0.02","","0.02","0.05","0.04","-0.01","0.1","0.11","0.11","0.1"
"net_income_margin","0.02","0.02","0.02","0.02","0.01","-0.01","0.01","0.04","0.05","-0.03","0.09","0.09","0.1","0.09"
"fcf_margin","0.08","0.04","0.06","0.04","0.14","0.14","0.1","0.09","0.07000000000000001","0.37","0.16","-0.02","-0.01","-0.02"
"assets_to_equity","","10.13","10.84","10.43","9.6","10.18","11.35","9.039999999999999","7.69","9.69","7.21","5.65","5.63","5.71"
"equity_to_assets","","0.1","0.09","0.1","0.1","0.1","0.09","0.11","0.13","0.1","0.14","0.18","0.18","0.18"
"debt_to_equity","","5.6","6.01","5.95","5.41","5.65","6.08","4.8","4.11","5.27","3.08","3.32","3.36","3.51"
"debt_to_assets","","0.55","0.55","0.57","0.5600000000000001","0.55","0.54","0.53","0.53","0.54","0.43","0.59","0.6","0.61"
"revenue_per_share","27.38","26.82","26.92","23.94","19.01","18.43","20.26","21.83","20.74","10.94","14.32","17.29","18.29","18.15"
"ebitda_per_share","3.26","3.36","3.24","3.04","2.59","2.81","3.08","3.43","3.11","1.76","2.81","3.43","4.08","4.09"
"operating_income_per_share","2.43","2.51","2.36","2.2","1.75","1.89","2.09","2.45","2.22","1.36","2.42","3.04","3.66","3.66"
"pretax_income_per_share","0.96","1.1","1.09","0.8","0.42","-0.02","0.48","1.08","0.86","-0.13","1.42","1.97","2","1.86"
"fcf_per_share","2.21","1.03","1.58","0.93","2.58","2.52","2.11","1.88","1.39","4.09","2.32","-0.32","-0.21","-0.4"
"book_value_per_share","","3.95","3.95","3.66","3.57","3.28","3.11","3.75","4.55","3.72","5.04","5.12","6.1","6.29"
"tangible_book_per_share","","1.26","1.32","1.21","1.18","0.91","0.73","1.36","2.08","1.73","1.79","1.85","2.47","2.47"
"payout_ratio","","","","0.53","1.17","-0.78","0.6","0.22","0.19","","0.1","0.2","0.23","0.23"
"revenue_growth","","-0.02","0.03","-0.04","-0.2","-0.03","0.1","0.07000000000000001","-0.05","-0.47","0.32","0.21","0.05",""
"gross_profit_growth","","","0.01","-0.04","-0.21","0.02","0.08","0.1","-0.07000000000000001","-0.42","0.49","0.25","0.16",""
"ebitda_growth","","0.03","-0.01","0.01","-0.15","0.09","0.1","0.11","-0.1","-0.44","0.61","0.22","0.18",""
"operating_income_growth","","0.03","-0.03","0.01","-0.2","0.08","0.11","0.17","-0.1","-0.39","0.79","0.26","0.2",""
"pretax_income_growth","","0.14","0.02","-0.21","-0.48","-1.04","30.95","1.22","-0.2","-1.15","11.83","0.38","0.01",""
"net_income_growth","","0.39","-0.1","0.05","-0.64","-2.04","2.03","2.93","0.33","-1.35","4.49","0.18","0.17",""
"eps_diluted_growth","","0.39","-0.13","-0.04","-0.63","-2","2.05","2.9","0.35","-1.34","4.53","0.17","0.18",""
"shares_diluted_growth","","","0.03","0.08","","","","","-0.01","","0.01","","-0.01",""
"cash_and_equiv_growth","","","0.07000000000000001","-0.07000000000000001","0.04","-0.07000000000000001","0.08","-0.07000000000000001","-0.03","0.8","-0.43","-0.13","-0.01",""
"ppe_growth","","","0.17","0.03","-0.01","","0.04","-0.12","-0.07000000000000001","-0.03","-0.53","-0.06","0.1",""
"total_assets_growth","","","0.1","-0.04","-0.1","-0.02","0.06","-0.05","0.03","0.03","0.01","-0.2","0.18",""
"total_equity_growth","","","0.03","","-0.02","-0.08","-0.05","0.2","0.21","-0.18","0.36","0.02","0.18",""
"cfo_growth","","-0.61","0.8100000000000001","-0.55","3.09","-0.01","0.04","-0.11","-0.29","2.03","-0.26","-0.86","0.63",""
"capex_growth","","-0.24","0.13","0.24","0.26","-0.09","-0.97","-0.59","7.71","-0.95","-308","-0.08","-0.2",""
"fcf_growth","","-0.54","0.59","-0.37","1.79","-0.02","-0.16","-0.11","-0.26","1.93","-0.43","-1.14","0.35",""
"shares_eop","1223","1223","1350.07","1355.32","1362.05","1361.63","1363.59","1353.83","1350.13","1353.91","1356.08","1344.24","1290.94","1257.48"
"dividends","","","","0.28","0.22","0.15","0.12","0.17","0.2","","0.13","0.3","0.4","0.4"
"price_to_earnings","","","19.66","13.37","31.99","-38.94","58.36","10.14","9.07","-30.63","13.29","10.64","6.63","7.12"
"price_to_book","","","2.68","1.91","1.66","2.3","3.73","2.12","2.1","3","3.34","3.09","1.91","2.03"
"price_to_sales","","","0.39","0.29","0.31","0.41","0.57","0.36","0.46","1.02","1.17","0.92","0.64","0.67"
"price_to_tangible_book","","","8.050000000000001","5.78","5.05","8.32","15.99","5.83","4.59","6.47","9.4","8.550000000000001","4.72","5.18"
"price_to_fcf","","","6.7","7.54","2.3","3","5.51","4.23","6.84","2.73","7.24","-48.84","-54.6","-33.53"
"market_cap","","","13311.6902","9489.950639999999","8093.3011","10278.94487","15873.55119","10831.99383","12901.84228","15102.86605","22890.6304","21588.4944","15723.6492","16296.9408"
"period_end_price","","","9.859999999999999","7","5.94","7.55","11.64","8","9.56","11.16","16.88","16.06","12.18","12.18"
