"cfo_other_working_capital","58.86","69.85599999999999","57.984","47.495","53.219","69.387","134.72","220.336","295.81","411.345","607.124",""
"cfo_change_in_working_capital","53.039","68.899","56.66","46.061","50.416","64.92100000000001","124.49","206.178","273.447","376.595","569.6660000000001",""
"cfo_deferred_tax","-4.004","-2.231","-0.879","0.5610000000000001","1.065","-3.23","-0.125","0.616","-0.576","-14.191","-9.429",""
"cfo_stock_comp","0.06","0.06","0.07000000000000001","0.49","0.65","1.6","2.74","3.58","4.84","6.68","9.359999999999999",""
"cfo_other_noncash_items","-0.012999999999998","-0.203","-0.063999999999979","-0.17400000000001","-0.149","6.271","-12.746","-20.393","-25.636","26.896","-21.129","521.356"
"cf_cfo","61.797","80.068","78.702","73.741","77.398","103.98","178.357","279.974","407.042","557.8150000000001","859.835","872.59"
"cfi_ppe_net","-0.215","-1.059","-0.231","-0.5649999999999999","-0.179","-1.273","-19.622","-27.798","-5.92","-6.901","-6.607","-7.458"
"cfi_acquisitions_net","","","","","","","","","","","",""
"cfi_investment_net","-73.729","-81.511","-79.816","-87.57899999999999","-42.253","-105.267","-211.171","-351.635","-346.035","-625.049","-914.205","-915.987"
"cfi_intangibles_net","","","","","","","","","","","",""
"cfi_other","1.4210854715202E-14","","","","-1.4210854715202E-14","","","","","-76.623","59.92","60.251"
"cf_cfi","-73.944","-82.56999999999999","-80.047","-88.14400000000001","-42.432","-106.54","-230.793","-379.433","-351.955","-708.573","-860.8920000000001","-863.194"
"cff_common_stock_net","-0.107","0.1","0.09","72.84099999999999","","","65.879","56.698","","47.498","",""
"cff_pfd_net","","","","","","","","","","","",""
"cff_debt_net","13.21","10.375","1.871","-30.133","-0.008999999999999999","","17.3","25.7","","155","-12",""
"cff_dividend_paid","","","","-2.097","-5.039","-5.906","-6.929","-8.073","-10.021","-11.927","-12.954","-13.214"
"cff_other","-0.459","-0.233","-0.03","","1.077","1.808","1.505","1.819","-1.119","-4.579","-3.569","-18.698"
"cf_cff","12.644","10.242","1.931","40.611","-3.971","-4.098","77.755","76.14400000000001","-11.14","185.992","-28.523","-31.912"
"ebitda","12.551","20.043","34.199","40.172","39.036","41.111","76.733","101.987","191.109","198.285","387.291","431.491"
