"Company: ","Keurig Dr Pepper Inc (KDP:US)","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NASDAQ","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","34.41","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Beverages","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","46997","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","59609","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","3065","3205","4735","5748","5710","5531","5636","5903","5995","5997","6121","6282","6440","6690","7442","11120","11618","12683","14057","14814","14929"
"cogs","1051","1120","1994","2617","2590","2234","2243","2485","2500","2499","2491","2559","2582","2695","3560","4778","5132","5706","6734","6734","6653"
"gross_profit","2014","2085","2741","3131","3120","3297","3393","3418","3495","3498","3630","3723","3858","3995","3882","6342","6486","6977","7323","8080","8276"
"sga","1135","1179","1659","2018","2075","2135","2233","2257","2268","2328","2334","2313","2329","2556","2635","3962","3978","4153","4645","4912","4923"
"rnd","","","","","","","","","","","","","","","","","","","","",""
"special_charges","","","","","","","","","","","","","","","","","","","","",""
"other_opex","9","-10","37","109","113","117","135","137","135","124","116","112","96","51","10","2","-39","-70","-105","-26","-22"
"total_opex","1144","1169","1696","2127","2188","2252","2368","2394","2403","2452","2450","2425","2425","2607","2645","3964","3939","4083","4540","4886","4901"
"operating_income","870","916","1045","1004","932","1045","1025","1024","1092","1046","1180","1298","1433","1388","1237","2378","2547","2894","2783","3194","3375"
"net_interest_income_normal","","","","","-225","-239","-125","-111","-123","-121","-107","-115","-144","-161","-452","-654","-604","-500","-693","-496","-651"
"other_nonoperating_income","-167","-129","-240","-187","-1082","62","-79","12","9","-383","","1","-6","-54","6","-30","-190","404","-371","59","46"
"pretax_income","703","787","805","817","-375","868","821","925","978","542","1073","1184","1283","1173","791","1694","1753","2798","1719","2757","2770"
"income_tax","-270","-321","-298","-322","61","-315","-294","-320","-349","81","-371","-420","-434","-95","-202","-440","-428","-653","-284","-576","-602"
"net_income_continuing","433","466","507","495","-314","553","527","605","629","623","702","764","849","1078","589","1254","1325","2145","1435","2181","2168"
"net_income_discontinued","","","","","","","","","","","","","","","","","","","","",""
"income_allocated_to_minority_interest","","","","","","","","","","","","","","","-3","","","1","1","",""
