"retained_earnings","606","1606","1659","3159","6099","9787","21670","33990","41981","55692","77345","69761","64799","82070","82070"
"aoci","-6","-6","2","14","-228","-455","-703","-227","-760","-489","927","-693","-3530","-2155","-2155"
"apic","947","2684","10094","12297","30225","34886","38227","40584","42906","45851","50018","55811","64444","73253","73253"
"treasury_stock","","","","","","","","","","","","","","",""
"other_equity","","","","","","","","","","","","","","",""
"minority_interest_liability","","","","","","","","","","","","","","",""
"total_equity","2162","4899","11755","15470","36096","44218","59194","74347","84127","101054","128290","124879","125713","153168","153168"
"total_liabilities_and_equity","2990","6331","15103","17895","39966","49407","64961","84524","97334","133376","159316","165987","185727","229623","229623"
"cfo_net_income","606","1000","53","1500","2940","3688","10217","15934","22112","18485","29146","39370","23200","39098","45758"
"cfo_da","139","323","649","1011","1243","1945","2342","3025","4315","5741","6862","7967","8686","11178","12028"
"cfo_receivables","-209","-174","-170","-378","-610","-973","-1489","-1609","-1892","-1961","-1512","-3110","231","-2399","-2425"
"cfo_inventory","","","","","","","","","","","","","","",""
"cfo_prepaid_expenses","-38","-24","-465","355","-123","-144","-159","-192","-690","47","135","-1750","162","559","-162"
"cfo_other_working_capital","154","233","136","699","471","1901","2406","3688","1055","9164","-1346","5560","5290","5676","4075"
"cfo_change_in_working_capital","-93","35","-499","676","-262","784","758","1887","-1527","7250","-2723","700","5683","3836","1488"
"cfo_deferred_tax","23","-30","-186","-37","-210","-795","-457","-377","286","-37","-1192","609","-3286","131","295"
"cfo_stock_comp","20","217","1572","906","1786","2960","3218","3723","4152","4836","6536","9164","11992","14027","14538"
"cfo_other_noncash_items","3","4","23","166","1829","1738","30","24","-64","39","118","-127","4200","2843","2254"
"cf_cfo","698","1549","1612","4222","7326","10320","16108","24216","29274","36314","38747","57683","50475","71113","76361"
"cfi_ppe_net","-293","-606","-1235","-1362","-1831","-2523","-4491","-6733","-13915","-15102","-15115","-18567","-31186","-27045","-26622"
"cfi_acquisitions_net","-22","-24","-911","-368","-4975","-313","-123","-122","-137","-508","-388","-851","-1312","-629","-257"
"cfi_investment_net","","-2399","-4874","-882","1243","-6700","-7186","-13250","2449","-4254","-14520","12179","3532","3202","491"
"cfi_intangibles_net","","","","","","","","","","","","","","",""
"cfi_other","-9","6","-4","-12","-350","102","8","-13","","","-36","-331","-4","-23","-98"
"cf_cfi","-324","-3023","-7024","-2624","-5913","-9434","-11792","-20118","-11603","-19864","-30059","-7570","-28970","-24495","-26486"
"cff_common_stock_net","500","998","6760","1478","","","","-1976","-12879","-4202","-6272","-44537","-27956","-19774","-25417"
"cff_pfd_net","","","","","","","","","","","","","","",""
"cff_debt_net","160","-261","1335","-1891","-243","-119","-312","","500","-775","-604","-677","9071","7397","7346"
"cff_dividend_paid","","","","","","","","","","","","","","","-1273"
"cff_other","121","461","-1812","-254","-55","-20","2","-3259","-3193","-2322","-3416","-5514","-3251","-7123","-9407"
"cf_cff","781","1198","6283","-667","-298","-139","-310","-5235","-15572","-7299","-10292","-50728","-22136","-19500","-28751"
"ebitda","1171","2079","1187","3815","6237","8170","14769","23228","29228","29727","39533","54720","37630","57929","65370"
"capex","-293","-606","-1235","-1362","-1831","-2523","-4491","-6733","-13915","-15102","-15115","-18567","-31186","-27045","-26622"
"fcf","405","943","377","2860","5495","7797","11617","17483","15359","21212","23632","39116","19289","44068","49739"
"book_value","1547","4284","11755","15470","36096","44218","59194","74347","84127","101054","128290","124879","125713","153168","149529"
"tangible_book_value","1451","4122","10367","13748","14186","22946","38537","54242","64532","81445","108617","105048","104510","131726","128875"
"roa","","0.21","","0.09","0.1","0.08","0.18","0.21","0.24","0.16","0.2","0.24","0.13","0.19","0.22"
"roe","","0.28","0.01","0.11","0.11","0.09","0.2","0.24","0.28","0.2","0.25","0.31","0.19","0.28","0.33"
"roic","","0.26","0.01","0.1","0.11","0.09","0.2","0.24","0.28","0.19","0.23","0.29","0.16","0.23","0.27"
"roce","","0.44","0.06","0.18","0.18","0.14","0.23","0.28","0.29","0.23","0.25","0.32","0.19","0.26","0.3"
"rotce","","0.45","0.06","0.2","0.32","0.29","0.37","0.4","0.38","0.28","0.29","0.37","0.22","0.3","0.34"
"gross_margin","0.75","0.77","0.73","0.76","0.83","0.84","0.86","0.87","0.83","0.82","0.8100000000000001","0.8100000000000001","0.78","0.8100000000000001","0.8100000000000001"
"ebitda_margin","0.59","0.5600000000000001","0.23","0.48","0.5","0.46","0.53","0.57","0.52","0.42","0.46","0.46","0.32","0.43","0.46"
"operating_margin","0.52","0.47","0.11","0.36","0.4","0.35","0.45","0.5","0.45","0.34","0.38","0.4","0.25","0.35","0.37"
"pretax_margin","0.51","0.46","0.1","0.35","0.39","0.35","0.45","0.51","0.45","0.35","0.39","0.4","0.25","0.35","0.38"
"net_income_margin","0.31","0.27","0.01","0.19","0.24","0.21","0.37","0.39","0.4","0.26","0.34","0.33","0.2","0.29","0.32"
"fcf_margin","0.21","0.25","0.07000000000000001","0.36","0.44","0.43","0.42","0.43","0.28","0.3","0.27","0.33","0.17","0.33","0.35"
"assets_to_equity","1.38","1.29","1.28","1.16","1.11","1.12","1.1","1.14","1.16","1.32","1.24","1.33","1.48","1.5","1.49"
"equity_to_assets","0.72","0.77","0.78","0.86","0.9","0.89","0.91","0.88","0.86","0.76","0.8100000000000001","0.75","0.68","0.67","0.67"
"debt_to_equity","0.17","0.08","0.17","0.02","","0.01","","","0.01","0.09","0.08","0.1","0.2","0.23","0.24"
"debt_to_assets","0.12","0.06","0.13","0.01","","0.01","","","0.01","0.07000000000000001","0.06","0.08","0.14","0.16","0.16"
"revenue_per_share","0.78","1.47","2.35","3.13","4.68","6.28","9.449999999999999","13.75","19.12","24.58","29.77","41.25","43.16","51.31","54.22"
"ebitda_per_share","0.47","0.83","0.55","1.52","2.34","2.86","5.05","7.86","10.01","10.34","13.69","19.14","13.93","22.03","24.83"
"operating_income_per_share","0.41","0.7","0.25","1.11","1.87","2.18","4.25","6.83","8.529999999999999","8.34","11.31","16.35","10.71","17.78","20.25"
"pretax_income_per_share","0.4","0.67","0.23","1.09","1.84","2.17","4.28","6.97","8.68","8.630000000000001","11.49","16.54","10.67","18.04","20.62"
"fcf_per_share","0.16","0.37","0.17","1.14","2.06","2.73","3.97","5.91","5.26","7.38","8.18","13.68","7.14","16.76","18.9"
"book_value_per_share","0.61","1.7","5.43","6.15","13.55","15.5","20.24","25.15","28.8","35.14","44.42","43.68","46.53","58.26","56.96"
"tangible_book_per_share","0.58","1.64","4.79","5.46","5.33","8.039999999999999","13.18","18.35","22.09","28.32","37.61","36.74","38.68","50.1","49.1"
"payout_ratio","","","","","","","","","","","","","","","0.03"
"revenue_growth","","0.88","0.37","0.55","0.58","0.44","0.54","0.47","0.37","0.27","0.22","0.37","-0.01","0.16",""
"gross_profit_growth","","0.93","0.31","0.61","0.72","0.46","0.58","0.48","0.32","0.25","0.2","0.38","-0.04","0.19",""
"ebitda_growth","","0.78","-0.43","2.21","0.63","0.31","0.8100000000000001","0.57","0.26","0.02","0.33","0.38","-0.31","0.54",""
"operating_income_growth","","0.7","-0.6899999999999999","4.21","0.78","0.25","1","0.63","0.23","-0.04","0.36","0.43","-0.38","0.62",""
"pretax_income_growth","","0.68","-0.71","4.57","0.78","0.26","1.02","0.65","0.23","-0.02","0.34","0.43","-0.39","0.65",""
"net_income_growth","","0.65","-0.95","27.3","0.96","0.25","1.77","0.5600000000000001","0.39","-0.16","0.58","0.35","-0.41","0.6899999999999999",""
"eps_diluted_growth","","0.79","-0.96","59","0.83","0.17","1.71","0.54","0.4","-0.15","0.57","0.36","-0.38","0.73",""
"shares_diluted_growth","","","-0.14","0.16","0.06","0.07000000000000001","0.03","0.01","-0.01","-0.02","","-0.01","-0.05","-0.03",""
"cash_and_equiv_growth","","-0.15","0.58","0.39","0.3","0.14","0.8100000000000001","-0.09","0.24","0.9","-0.08","-0.06","-0.12","1.85",""
"ppe_growth","","1.57","0.62","0.21","0.38","0.43","0.51","0.6","0.8","0.8100000000000001","0.23","0.27","0.32","0.19",""
"total_assets_growth","","1.12","1.39","0.18","1.23","0.24","0.31","0.3","0.15","0.37","0.19","0.04","0.12","0.24",""
"total_equity_growth","","1.27","1.4","0.32","1.33","0.23","0.34","0.26","0.13","0.2","0.27","-0.03","0.01","0.22",""
"cfo_growth","","1.22","0.04","1.62","0.74","0.41","0.5600000000000001","0.5","0.21","0.24","0.07000000000000001","0.49","-0.12","0.41",""
"capex_growth","","-1.07","-1.04","-0.1","-0.34","-0.38","-0.78","-0.5","-1.07","-0.09","","-0.23","-0.68","0.13",""
"fcf_growth","","1.33","-0.6","6.59","0.92","0.42","0.49","0.5","-0.12","0.38","0.11","0.66","-0.51","1.28",""
"shares_eop","2517","2138.08","2372","2547","2778","2834","2892","2906","2854","2852","2849","2741","2614","2561","2536.53"
"dividends","","","","","","","","","","","","","","","0.5"
"price_to_earnings","","","1191.37","92.8","73.72","80.42","32.57","32.18","16.92","31.67","26.7","23.42","13.56","23.19","26.92"
"price_to_book","","","5.37","9","6","6.71","5.62","6.9","4.45","5.79","6.07","7.38","2.5","5.92","8.24"
"price_to_sales","","","12.41","17.68","17.39","16.54","12.04","12.61","6.7","8.279999999999999","9.050000000000001","7.82","2.7","6.72","8.630000000000001"
"price_to_tangible_book","","","6.09","10.12","15.28","12.93","8.630000000000001","9.449999999999999","5.8","7.19","7.16","8.779999999999999","3.01","6.88","9.56"
"price_to_fcf","","","167.49","48.67","39.44","38.04","28.64","29.33","24.36","27.6","32.93","23.57","16.31","20.57","24.77"
"market_cap","","","63142.64","139193.55","216739.56","296606.44","332724.6","512792.76","374130.86","585373","778232.84","921935.35","314568.76","906491.5600000001","1231916.46"
"period_end_price","","","26.62","54.65","78.02","104.66","115.05","176.46","131.09","205.25","273.16","336.35","120.34","353.96","353.96"
