"accumulated_depreciation","","","-0.014","-0.045","-0.098","-0.054","-0.131","-0.173","-0.21","-0.243","-0.258","-0.279","-0.33","-0.397","-0.524","-1.067","-2.081","-4.65","-4.65"
"ppe_net","","","0.065","0.183","0.18","0.102","0.105","0.06900000000000001","0.044","0.021","0.034","0.063","0.122","0.9419999999999999","1.578","4.394","11.365","27.033","27.033"
"intangible_assets","","","","","","","","","","","","","","17.177","16.589","16.298","12.253","12.142","12.142"
"goodwill","","","","","","","","","","","","","","10.02","10.42","14.53","13.68","14.17","14.17"
"other_lt_assets","","","1.31","0.269","0.019","","","","","","-0.0010000000000012","3.5527136788005E-15","","10.734","9.552","16.435","266.8","278.147","278.147"
"total_assets","0.01","0.098","2.533","2.203","5.474","4.317","2.051","3.03","4.951","15.266","17.717","27.111","34.628","90.38200000000001","131.29","314.018","1222.069","1536.396","1536.396"
"accounts_payable","","0.001","0.466","0.411","1.112","1.932","0.516","0.84","0.36","1.207","0.858","3.003","5.825","10.16","11.854","35.82","36.248","42.84","42.84"
"tax_payable","","","","","","","","","","","","","","","","","1.391","51.247","51.247"
"current_accrued_liabilities","","","0.129","0.201","0.61","0.839","0.346","","0.468","0.599","0.896","3.309","9.02","7.133","7.957","50.22","66.383","150.056","150.056"
"st_debt","","","0.2","0.095","","","","","","","","","","8.634","","","","",""
"current_deferred_revenue","","","","","","","0.067","0.384","0.352","0.013","0.202","","","","0.04","5.439","18.347","21.364","21.364"
"current_deferred_tax_liability","","","","","","","","","","","","","","","","","","",""
"other_current_liabilities","","","1.304","0.001","1.133","0.064","0.106","0.112","0.185","0.203","0.366","0.152","0.020000000000001","0.107","5.987","0.976","38.195","10.067","10.067"
"total_current_liabilities","0.001","0.001","2.809","0.854","2.855","2.835","1.035","1.336","1.365","2.022","2.322","6.464","14.865","26.683","26.365","93.124","161.295","276.613","276.613"
"lt_debt","","","1.315","0.5629999999999999","5.655","2","7.45","7.6","10.75","4.5","4.5","3.5","7.959","","","","","",""
"noncurrent_capital_leases","","","","0.7","","","","","","","","","","0.24","0.597","0.703","0.488","1.148","1.148"
"pension_liabilities","","","","","","","","","","","","","","","","","","",""
"noncurrent_deferred_revenue","","","","","","","","","","","","","","","","3.146","195.707","170.107","170.107"
"other_lt_liabilities","","","0.013999999999999","0.075","0.116","2","","","","","","","0.0010000000000012","","","","","-5.6843418860808E-14","-5.6843418860808E-14"
"total_liabilities","0.001","0.001","4.138","2.192","8.625999999999999","6.835","8.484999999999999","8.936","12.115","6.522","6.822","9.964","22.825","26.923","26.962","96.973","357.49","447.868","447.868"
"common_stock","","","","","","","","","","","","","","","","","","",""
"preferred_stock","","","","","","","","","","","","","","","","","824.4880000000001","824.4880000000001","824.4880000000001"
"retained_earnings","-0.008","-0.021","-6.121","-11.382","-19.141","-38.639","-43.363","-45.189","-47.35","-49.921","-53.354","-61.961","-73.381","-63.409","-55.427","-51.49","-238.772","-12.053","-12.053"
"aoci","","","","","","","","","","","","-0.039","-0.027","-0.754","-0.202","0.614","-1.881","-0.701","-0.701"
