"Company: ","Ginkgo Bioworks Holdings (DNA:US)","","","","",""
"Exchange: ","NYSE","","","","",""
"Last Close Price: ","0.3201","","","","",""
"Industry: ","Biotechnology","","","","",""
"Currency: ","USD","","","","",""
"Country: ","US","","","","",""
"Market Cap.: ","809","","","","",""
"roce","","-0.46","-1.44","-1.03","-0.4","-0.4"
"rotce","","-0.46","-1.47","-1.08","-0.43","-0.44"
"gross_margin","1","0.8","0.59","0.57","0.79","0.8"
"ebitda_margin","-1.12","-1.61","-5.73","-4.53","-2.77","-3.19"
"operating_margin","-1.32","-1.79","-5.83","-4.62","-3.06","-3.5"
"pretax_margin","-2.21","-1.63","-5.86","-4.44","-3.55","-4.09"
"net_income_margin","-2.2","-1.65","-5.83","-4.41","-3.55","-4.09"
"fcf_margin","-1.23","-2.53","-0.99","-0.64","-1.32","-1.52"
"assets_to_equity","","1.44","1.32","1.46","1.52","1.6"
"equity_to_assets","","0.7","0.76","0.68","0.66","0.62"
"debt_to_equity","","0.04","0.01","0.24","0.2","0.24"
"debt_to_assets","","0.02","0.01","0.16","0.13","0.15"
"revenue_per_share","0.04","0.05","0.23","0.28","0.13","0.11"
"ebitda_per_share","-0.04","-0.08","-1.32","-1.29","-0.36","-0.34"
"operating_income_per_share","-0.05","-0.09","-1.34","-1.31","-0.4","-0.37"
"pretax_income_per_share","-0.08","-0.08","-1.35","-1.26","-0.46","-0.43"
"fcf_per_share","-0.05","-0.13","-0.23","-0.18","-0.17","-0.16"
"book_value_per_share","","0.32","1.15","1.03","0.5600000000000001","0.49"
"tangible_book_per_share","","0.31","1.12","0.93","0.5","0.43"
"payout_ratio","","","","","",""
"revenue_growth","","0.41","3.09","0.52","-0.47",""
"gross_profit_growth","","0.13","2.02","0.49","-0.28",""
"ebitda_growth","","-1.02","-13.61","-0.2","0.68",""
"operating_income_growth","","-0.91","-12.34","-0.21","0.65",""
"pretax_income_growth","","-0.04","-13.72","-0.15","0.58",""
"net_income_growth","","-0.06","-13.45","-0.15","0.58",""
"eps_diluted_growth","","-0.06","-15.35","0.1","0.63",""
"shares_diluted_growth","","","-0.08","0.23","0.16",""
"cash_and_equiv_growth","","","3.07","-0.15","-0.28",""
"ppe_growth","","","0.2","3.93","-0.45",""
"total_assets_growth","","","2.07","0.23","-0.34",""
