"Company: ","MP Materials Corp (MP:US)","","","","",""
"Exchange: ","NYSE","","","","",""
"Last Close Price: ","12.28","","","","",""
"Industry: ","Metals & Mining","","","","",""
"Currency: ","USD","","","","",""
"Country: ","US","","","","",""
"Market Cap.: ","2213","","","","",""
"Enterprise Value: ","2202","","","","",""
"period_end_date","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","73.411","134.31","331.952","527.51","253.445","206.429"
"cogs","67.833","70.729","100.635","110.574","148.423","170.064"
"gross_profit","5.578","63.581","231.317","416.936","105.022","36.365"
"sga","11.104","26.767","56.646","75.857","79.245","81.10899999999999"
"rnd","","0.14","4.195","4.249","14.932","10.858"
"special_charges","","","","","",""
"other_opex","2.094","4.661","4.753","1.868","7.234","7.384"
"total_opex","13.198","31.568","65.59399999999999","81.974","101.411","99.351"
"operating_income","-7.62","32.013","165.723","334.962","3.611","-62.986"
"net_interest_income_normal","-3.412","-5.009","-8.904","-5.786","-5.254","-6.752"
"other_nonoperating_income","4.278","-66.465","3.376","11.976","34.718","81.15000000000001"
"pretax_income","-6.754","-39.461","160.195","341.152","33.075","11.412"
"income_tax","-0.001","17.636","-25.158","-52.148","-8.768000000000001","-8.063000000000001"
"net_income_continuing","-6.755","-21.825","135.037","289.004","24.307","3.349"
"net_income_discontinued","","","","","",""
"income_allocated_to_minority_interest","","","","","",""
"other_income_statement_items","","","2.8421709430404E-14","5.6843418860808E-14","-3.5527136788005E-15","2.6645352591004E-15"
"net_income","-6.755","-21.825","135.037","289.004","24.307","3.349"
"preferred_dividends","","","","","",""
"net_income_available_to_shareholders","-6.755","-21.825","135.037","289.004","24.307","3.349"
"eps_basic","-0.1","-0.27","0.78","1.64","0.14","0.02"
"eps_diluted","-0.1","-0.27","0.73","1.52","0.14","-0.15"
"shares_basic","68.876","79.691","173.47","176.519","177.182","177.182"
"shares_diluted","68.876","79.691","189.844","193.453","178.152","178.152"
"cash_and_equiv","2.757","519.652","1179.297","136.627","263.351","263.351"
"st_investments","","","","1045.718","734.4930000000001","734.4930000000001"
"receivables","0.37","3.589","51.009","32.856","29.331","29.331"
"inventories","23.048","32.272","38.692","57.554","95.182","95.182"
