"other_current_assets","3.911","4.209","5.544","7.155","5.62","2.537","2.95","62.371","74.639","115.395","39.746","53.811","99.86799999999999","92.589","118.329","214.913","383.805","359.104","506.285","506.285"
"total_current_assets","31.384","91.563","116.091","43.999","36.954","74.458","199.131","551.572","864.617","1015.845","1257.667","748.069","968.277","1234.005","1630.268","2839.568","2611.334","2606.14","3435.428","3435.428"
"equity_and_other_investments","","","","","","","","","","","","","","","","","","","",""
"ppe_gross","2.547","3.342","6.463","6.499","6.512","6.922","8.140000000000001","15.06","24.859","73.55500000000001","109.252","139.632","211.283","249.966","326.148","324.692","428.794","409.023","368.337","368.337"
"accumulated_depreciation","-0.606","-1.235","-2.522","-3.985","-5.388","-6.232","-6.583","-7.779","-10.613","-15.192","-23.68","-32.142","-41.203","-49.608","-55.257","-67.58799999999999","-85.371","-107.647","-133.351","-133.351"
"ppe_net","1.941","2.107","3.941","2.514","1.124","0.6899999999999999","1.557","7.281","14.246","58.363","85.572","107.49","170.08","200.358","270.891","257.104","343.423","301.376","234.986","234.986"
"intangible_assets","78.74299999999999","69.143","36.043","32.529","29.861","22.036","14.588","869.952","812.3920000000001","1437.438","1185.605","3012.001","2979.124","2731.334","2440.975","2195.054","7152.327","5794.439","5418.039","5418.039"
"goodwill","38.88","38.21","38.21","38.21","38.21","38.21","38.21","442.6","450.46","702.71","657.14","893.8099999999999","947.54","927.63","920.02","958.3","1827.61","1692.66","1753.13","1753.13"
"other_lt_assets","13.833","13.548","13.269","0.246","1.247","0.33500000000001","0.08700000000001801","95.08799999999999","96.506","124.599","146.628","38.856999999999","58.651","110.164","276.743","285.875","363.945","440.64","551.776","551.776"
"total_assets","164.781","214.571","207.554","117.498","107.396","135.729","253.573","1966.493","2238.221","3338.955","3332.612","4800.227","5123.672","5203.491","5538.897","6535.901","12298.639","10835.255","11393.359","11393.359"
"accounts_payable","4.786","5.443","2.856","5.736","2.158","3.049","5.129","15.887","21.005","25.126","21.807","22.415","24.368","40.602","45.732","26.945","100.298","90.758","102.75","102.75"
"tax_payable","","","","","","","","39.884","0.336","7.588","1.808","4.506","21.577","1.197","10.965","25.2","9.608000000000001","7.717","35.074","35.074"
"current_accrued_liabilities","11.121","12.943","29.047","16.491","14.296","23.572","18.838","53.381","66.779","103.909","122.365","145.539","134.789","202.374","171.928","213.681","457.438","617.91","632.1420000000001","632.1420000000001"
"st_debt","","2.191","3.459","122.409","33.158","23.414","","29.688","5.572","9.428000000000001","37.587","36.094","40.605","33.387","33.387","246.322","31","31","604.954","604.954"
"current_deferred_revenue","","1.422","1.494","12.322","2.675","1.273","1.138","1.138","1.138","1.138","1.37","1.123","8.618","5.414","4.72","2.546","2.093","0.463","",""
"current_deferred_tax_liability","","","","","","","","0.275","6.259","9.43","","","","","","","","","",""
"other_current_liabilities","7.429","8.521000000000001","","16.533","6.954","8.628","27.765","51.285","102.939","60.182","41.705","47.729","63.99","62.513","85.03","124.594","193.103","169.407","142.325","142.325"
"total_current_liabilities","23.336","30.52","36.856","173.491","59.241","59.936","52.87","191.538","204.028","216.801","226.642","257.406","293.947","345.487","364.49","653.745","809.303","933.193","1536.692","1536.692"
"lt_debt","73.629","74.283","75.116","","91.107","24.629","","427.073","544.404","1333","1150.857","1993.531","1540.433","1563.025","1573.87","1848.516","6018.943","5693.341","5107.988","5107.988"
"noncurrent_capital_leases","","","","","","","","","","","","","","","151.226","140.035","87.2","71.83799999999999","59.225","59.225"
"pension_liabilities","","","","","","","","","","","","","","","","","","","",""
"noncurrent_deferred_revenue","","","","11.33","10.22","9.135","7.915","185.169","174.215","379.553","287.214","559.3339999999999","399.587","318.678","228.956","132.712","1301.004","944.337","847.706","847.706"
"other_lt_liabilities","186.064","286.064","40.59","25.555","19.658","11.478","","41.421","20.04","38.393","69.253","112.617","176.608","218.879","109.374","101.148","116.998","106.812","104.751","104.751"
"total_liabilities","283.029","390.867","152.562","210.376","180.226","105.178","60.785","845.201","942.687","1967.747","1733.966","2922.888","2410.575","2446.069","2427.916","2876.156","8333.448","7749.521","7656.362","7656.362"
"common_stock","","","","","","","","","","","","","","","","","","","",""
"preferred_stock","","","","","","","","","","","","","","","","","","","",""
"retained_earnings","-118.252","-177.643","-316.469","-500.808","-507.644","-474.866","-349.882","-61.296","18.532","34.704","302.686","528.907","917.956","841.05","1067.815","1159.894","830.226","733.586","878.6559999999999","878.6559999999999"
"aoci","0.004","0.012","0.019","0.004","","","-0.031","31.046","56.153","-122.097","-267.472","-317.333","-140.878","-197.791","-223.393","-134.352","-400.36","-1125.509","-842.147","-842.147"
"apic","","1.335","371.44","407.923","434.811","505.413","542.697","1151.481","1220.788","1458.476","1563.371","1665.704","1935.958","2114.102","2266.498","2634.142","3535.264","3477.596","3700.427","3700.427"
"treasury_stock","","","","","","","","","","","","","","","","","","","",""
"other_equity","-1.4210854715202E-14","","0.0019999999999882","0.0029999999999717","0.0030000000000285","0.003999999999972899","0.0040000000000191","0.060999999999922","0.061000000000149","0.060999999999922","0.060999999999922","0.060999999999922","0.061000000000149","0.061000000000149","0.061000000000149","0.061000000000149","0.060999999999694","0.061000000000149","0.060999999999694","0.060999999999694"
"minority_interest_liability","","","","","","","","","","0.064","","","","","","","","","",""
"total_equity","-118.248","-176.296","54.992","-92.878","-72.83","30.551","192.788","1121.292","1295.534","1371.208","1598.646","1877.339","2713.097","2757.422","3110.981","3659.745","3965.191","3085.734","3736.997","3736.997"
"total_liabilities_and_equity","164.781","214.571","207.554","117.498","107.396","135.729","253.573","1966.493","2238.221","3338.955","3332.612","4800.227","5123.672","5203.491","5538.897","6535.901","12298.639","10835.255","11393.359","11393.359"
"cfo_net_income","-85.15600000000001","-59.391","-138.826","-184.339","-6.836","32.778","124.984","288.586","216.312","57.326","329.534","396.831","487.848","447.098","523.367","238.616","-329.668","-224.06","414.832","330.794"
"cfo_da","5.439","10.31","10.526","15.026","9.097","8.711","7.827","74.229","82.09","133.681","108.056","113.78","165.154","216.731","370.156","278.253","552.4829999999999","629.471","638.696","644.7190000000001"
"cfo_receivables","-0.249","-1.783","-0.25","-1.254","-5.67","-9.768000000000001","-12.293","-4.724","-48.846","-55.041","-24.841","-25.603","12.278","-40.132","-92.32599999999999","-38.647","-92.735","-90.13500000000001","-51.883","-88.786"
"cfo_inventory","-0.219","-0.521","0.459","-2.18","0.883","-1.539","1.239","1.697","-8.516","-7.63","6.271","-17.024","-8.667","-18.512","-32.79","-30.537","-48.861","-49.642","-13.42","-19.998"
"cfo_prepaid_expenses","1.158","-0.473","0.329","0.237","2.61","0.426","-0.9340000000000001","-13.091","-13.871","11.936","3.72","-15.7","-26.874","6.697","-25.65","-98.042","-83.31999999999999","35.788","-126.179","-113.264"
"cfo_other_working_capital","2.159","18.176","26.965","7.359","-24.743","5.174","8.336","10.961","-9.725","5.126","15.888","37.463","50.029","73.03","-3.407","81.789","176.964","113.894","-12.957","55.685"
"cfo_change_in_working_capital","2.849","15.399","27.503","4.162","-26.92","-5.707","-3.652","-5.157","-80.958","-45.609","1.038","-20.864","26.766","21.083","-154.173","-85.437","-47.952","9.904999999999999","-204.439","-166.363"
"cfo_deferred_tax","","","","","","","","-113.862","-10.097","-49.254","-68.358","-41.163","-225.591","-88.815","-236.61","-136.937","69.19799999999999","-292.251","-260.217","-260.541"
"cfo_stock_comp","","","","8.109999999999999","5.96","8.220000000000001","20.7","23.01","44.55","69.64","91.55","98.77","106.9","102.44","110.56","121","189.01","222","226.84","231.93"
"cfo_other_noncash_items","24.706","-23.668","19.706","26.809","2.821","14.866","1.737","-17.054","36.534","241.822","70.123","45.037","132.01","100.367","163.101","484.153","345.436","926.912","276.295","257.989"
"cf_cfo","-52.162","-57.35","-81.09099999999999","-130.232","-15.878","58.868","151.596","249.752","288.431","407.606","531.943","592.391","693.087","798.904","776.401","899.648","778.5069999999999","1271.977","1092.007","1038.528"
"cfi_ppe_net","-1.413","-1.532","7.001","-1.739","-0.053","-0.731","-1.279","-5.976","-9.976000000000001","-36.347","-35.958","-9.686999999999999","-28.95","-20.37","-40.135","-15.004","-27.641","-29.046","-23.962","-27.044"
"cfi_acquisitions_net","","","","","","","","-448.609","","-828.676","33.703","-1502.443","","","","14.259","-6234.792","53","",""
"cfi_investment_net","5.95","","","-1.004","-0.07099999999999999","","-75.85299999999999","75.791","","","","-65.27500000000001","-155","-310.915","67.90000000000001","-642.675","1068.181","-1.036","-120.1","-645.1"
"cfi_intangibles_net","","","","-21.225","-6","-4","-4.5","-16.5","-6.288","-202.626","","-173.75","-85","-111.1","-142.2","-364.25","-17.891","-469.148","-19","-10"
"cfi_other","-158.291","0.025","-1.664","12.026","","2.588","0.39999999999999","-5.6843418860808E-14","3.5527136788005E-15","2.2737367544323E-13","-4.440892098500599E-15","","","47.898","-40.865","2.2737367544323E-13","","","","252"
"cf_cfi","-153.754","-1.507","5.337","-11.942","-6.124","-2.143","-81.232","-395.294","-16.264","-1067.649","-2.255","-1751.155","-268.95","-394.487","-155.3","-1007.67","-5212.143","-446.23","-163.062","-430.144"
"cff_common_stock_net","177.852","100","98.483","24.514","6.782","56.817","","","-136.484","-42.215","-61.553","-278.296","-98.79900000000001","-523.672","-301.45","-146.537","","-0.054","-269.761",""
"cff_pfd_net","","","","","","","","","","","","","","","","","","","",""
"cff_debt_net","","2.191","1.268","-0.08799999999999999","","-89.934","-49.501","439.041","87.515","884.861","-167.118","816.343","-326.701","-25.717","-33.387","591.806","3870.863","-582.014","-31","-31"
"cff_dividend_paid","","","","","","","","","","","","","","","","","","","",""
"cff_other","15","15","","39.706","5.912","5.591","16.419","9.489000000000001","25.113","-131.612","14.348","2.9399999999999","16.389","70.259","41.092","82.804","99.65900000000001","52.577","-4.493","-301.018"
"cf_cff","192.852","117.191","99.751","64.13200000000001","12.694","-27.526","-33.082","448.53","-23.856","711.034","-214.323","540.987","-409.111","-479.13","-293.745","528.073","3970.522","-529.491","-305.254","-332.018"
"ebitda","-51.705","-67.742","-128.252","-125.576","25.027","66.5","135.658","272.073","427.39","571.259","647.799","729.184","778.996","874.465","1012.505","1043.715","722.761","1141.739","1236.276","1191.451"
"capex","-1.413","-1.532","7.001","-1.739","-0.053","-0.731","-1.279","-5.976","-9.976000000000001","-36.347","-35.958","-9.686999999999999","-28.95","-20.37","-40.135","-15.004","-27.641","-29.046","-23.962","-27.044"
"fcf","-53.575","-58.882","-74.09","-131.971","-15.931","58.137","150.317","243.776","278.455","371.259","495.985","582.704","664.1369999999999","778.534","736.266","884.644","750.866","1242.931","1068.045","1011.484"
"book_value","-118.248","-176.296","54.992","-92.878","-72.83","30.551","192.788","1121.292","1295.534","1371.208","1598.646","1877.339","2713.097","2757.422","3110.981","3659.745","3965.191","3085.734","3736.997","3696.461"
"tangible_book_value","-235.871","-283.649","-19.261","-163.617","-140.901","-29.695","139.99","-191.26","32.682","-768.9400000000001","-244.099","-2028.472","-1213.567","-901.542","-250.014","506.391","-5014.746","-4401.365","-3434.172","-3278.53"
"roa","","-0.31","-0.66","-1.13","-0.06","0.27","0.64","0.26","0.1","0.02","0.1","0.1","0.1","0.09","0.1","0.04","-0.04","-0.02","0.04","0.03"
"roe","","0.4","2.29","9.73","0.08","-1.55","1.12","0.44","0.18","0.04","0.22","0.23","0.21","0.16","0.18","0.07000000000000001","-0.09","-0.06","0.12","0.09"
"roic","","0.82","-8.23","-2.26","-0.17","0.5","0.92","0.33","0.13","0.03","0.12","0.12","0.12","0.1","0.11","0.04","-0.04","-0.02","0.05","0.04"
"roce","","-0.48","-0.77","-1.17","0.22","0.64","0.85","0.2","0.18","0.17","0.17","0.16","0.13","0.13","0.13","0.14","0.02","0.05","0.06","0.05"
"rotce","","-1.52","-1.55","-2.94","3.57","2.21","1.37","0.62","0.54","0.49","0.47","0.62","0.76","0.6","0.42","0.32","0.06","0.21","0.21","0.18"
"gross_margin","0.8","0.84","0.86","0.79","0.92","0.92","0.95","0.87","0.88","0.9","0.92","0.93","0.93","0.9399999999999999","0.9399999999999999","0.9399999999999999","0.86","0.85","0.89","0.9"
"ebitda_margin","-2.41","-1.51","-1.96","-1.86","0.19","0.38","0.5","0.46","0.49","0.49","0.49","0.49","0.48","0.46","0.47","0.44","0.23","0.31","0.32","0.31"
"operating_margin","-2.67","-1.74","-2.13","-2.08","0.12","0.33","0.47","0.34","0.4","0.37","0.41","0.41","0.38","0.35","0.3","0.32","0.06","0.14","0.16","0.14"
"pretax_margin","","","","","","0.19","0.46","0.3","0.35","0.13","0.33","0.36","0.27","0.28","0.21","0.12","-0.04","-0.1","0.08","0.06"
"net_income_margin","-3.97","-1.32","-2.13","-2.73","-0.05","0.19","0.46","0.49","0.25","0.05","0.25","0.27","0.3","0.24","0.24","0.1","-0.11","-0.06","0.11","0.09"
"fcf_margin","-2.5","-1.31","-1.13","-1.95","-0.12","0.33","0.55","0.42","0.32","0.32","0.37","0.39","0.41","0.41","0.34","0.37","0.24","0.34","0.28","0.26"
"assets_to_equity","-1.39","-1.22","3.77","-1.27","-1.47","4.44","1.32","1.75","1.73","2.44","2.08","2.56","1.89","1.89","1.78","1.79","3.1","3.51","3.05","3.06"
"equity_to_assets","-0.72","-0.82","0.26","-0.79","-0.68","0.23","0.76","0.57","0.58","0.41","0.48","0.39","0.53","0.53","0.5600000000000001","0.5600000000000001","0.32","0.28","0.33","0.33"
"debt_to_equity","-0.62","-0.43","1.43","-1.32","-1.71","1.57","","0.41","0.42","0.98","0.74","1.08","0.58","0.58","0.57","0.61","1.55","1.88","1.54","1.56"
"debt_to_assets","0.45","0.36","0.38","1.04","1.16","0.35","","0.23","0.25","0.4","0.36","0.42","0.31","0.31","0.32","0.34","0.5","0.53","0.51","0.51"
"revenue_per_share","1.59","3.33","4.72","2.63","4.28","4.41","5.82","9.73","14.17","18.73","21.02","24.05","26.4","30.89","37.56","41.82","51.83","58.51","53.2","55.6"
"ebitda_per_share","-3.84","-5.03","-9.27","-4.9","0.83","1.69","2.9","4.52","6.94","9.119999999999999","10.28","11.79","12.7","14.28","17.59","18.47","12.11","18.26","17.15","17.14"
"operating_income_per_share","-4.24","-5.8","-10.04","-5.48","0.53","1.47","2.73","3.29","5.61","6.99","8.56","9.949999999999999","10.01","10.74","11.16","13.54","2.85","8.19","8.289999999999999","7.8"
"pretax_income_per_share","","","","","","0.83","2.67","2.95","5","2.42","6.92","8.609999999999999","7.19","8.65","7.89","4.87","-1.89","-5.96","4.13","3.37"
"fcf_per_share","-3.98","-4.37","-5.36","-5.15","-0.53","1.48","3.21","4.05","4.52","5.93","7.87","9.42","10.83","12.72","12.79","15.65","12.58","19.87","14.82","14.63"
"book_value_per_share","-8.779999999999999","-13.09","3.98","-3.62","-2.43","0.78","4.12","18.63","21.04","21.9","25.36","30.34","44.25","45.04","54.06","64.75","66.43000000000001","49.34","51.86","59.11"
"tangible_book_per_share","-17.52","-21.06","-1.39","-6.38","-4.69","-0.75","2.99","-3.18","0.53","-12.28","-3.87","-32.79","-19.79","-14.73","-4.34","8.960000000000001","-84.01000000000001","-70.38","-47.65","-52.43"
"payout_ratio","","","","","","","","","","","","","","","","","","","",""
"revenue_growth","","1.09","0.46","0.03","0.9","0.35","0.57","1.15","0.49","0.34","0.13","0.12","0.09","0.17","0.14","0.09","0.31","0.18","0.05",""
"gross_profit_growth","","1.21","0.49","-0.05","1.22","0.35","0.61","0.96","0.52","0.37","0.16","0.13","0.09","0.17","0.15","0.09","0.2","0.18","0.09",""
"ebitda_growth","","-0.31","-0.89","0.02","1.2","1.66","1.04","1.01","0.57","0.34","0.13","0.13","0.07000000000000001","0.12","0.16","0.03","-0.31","0.58","0.08",""
"operating_income_growth","","-0.37","-0.78","-0.01","1.11","2.63","1.21","0.55","0.75","0.27","0.23","0.14","","0.07000000000000001","-0.02","0.19","-0.78","2.01","0.17",""
"pretax_income_growth","","","","","","","2.81","0.42","0.74","-0.51","1.88","0.22","-0.17","0.2","-0.14","-0.39","-1.41","-2.3","1.8",""
"net_income_growth","","0.3","-1.34","-0.33","0.96","5.79","2.81","1.31","-0.25","-0.73","4.64","0.2","0.23","-0.08","0.17","-0.54","-2.38","0.32","2.85",""
"eps_diluted_growth","","0.04","-0.66","0.28","0.97","4.61","2.22","0.79","-0.27","-0.74","4.62","0.23","0.24","-0.08","0.25","-0.54","-2.31","0.35","2.7",""
"shares_diluted_growth","","","0.03","0.85","0.17","0.31","0.19","0.29","0.02","0.02","0.01","-0.02","-0.01","","-0.06","-0.02","0.06","0.05","0.15",""
"cash_and_equiv_growth","","2.83","0.3","-0.76","-0.37","1.87","0.83","3.72","0.64","0.07000000000000001","0.45","-0.63","0.05","-0.2","1.06","0.66","-0.44","0.49","0.71",""
"ppe_growth","","0.09","0.87","-0.36","-0.55","-0.39","1.26","3.68","0.96","3.1","0.47","0.26","0.58","0.18","0.35","-0.05","0.34","-0.12","-0.22",""
"total_assets_growth","","0.3","-0.03","-0.43","-0.09","0.26","0.87","6.76","0.14","0.49","","0.44","0.07000000000000001","0.02","0.06","0.18","0.88","-0.12","0.05",""
"total_equity_growth","","-0.49","1.31","-2.69","0.22","1.42","5.31","4.82","0.16","0.06","0.17","0.17","0.45","0.02","0.13","0.18","0.08","-0.22","0.21",""
"cfo_growth","","-0.1","-0.41","-0.61","0.88","4.71","1.58","0.65","0.15","0.41","0.31","0.11","0.17","0.15","-0.03","0.16","-0.13","0.63","-0.14",""
"capex_growth","","-0.08","5.57","-1.25","0.97","-12.79","-0.75","-3.67","-0.67","-2.64","0.01","0.73","-1.99","0.3","-0.97","0.63","-0.84","-0.05","0.18",""
"fcf_growth","","-0.1","-0.26","-0.78","0.88","4.65","1.59","0.62","0.14","0.33","0.34","0.17","0.14","0.17","-0.05","0.2","-0.15","0.66","-0.14",""
"shares_eop","13.466","24.551","24.621","28.925","31.255","39.959","42.468","58.014","57.854","60.643","61.305","59.82","59.898","57.504","56.14","56.171","61.633","63.214","62.255","63.04"
"dividends","","","","","","","","","","","","","","","","","","","",""
"price_to_earnings","","","-2.61","-0.3","-36.03","23.99","13.13","10.7","33.85","170.06","26.15","16.44","16.53","15.94","16.01","38.85","-23.82","-44.95","18.46","22.94"
"price_to_book","","","6.58","-0.6","-3.38","25.74","8.51","2.76","5.65","7.24","5.39","3.47","2.97","2.59","2.69","2.53","1.98","3.26","2.05","2.05"
"price_to_sales","","","5.54","0.83","1.92","4.53","6.03","5.27","8.390000000000001","8.470000000000001","6.5","4.38","4.98","3.77","3.88","3.92","2.54","2.75","2","1.97"
"price_to_tangible_book","","","-18.79","-0.34","-1.75","-26.48","11.72","-16.15","224.04","-12.91","-35.3","-3.22","-6.65","-7.91","-33.52","18.31","-1.57","-2.29","-2.23","-2.32"
"price_to_fcf","","","-4.88","-0.42","-15.46","13.53","10.91","12.67","26.3","26.74","17.37","11.19","12.14","9.16","11.38","10.48","10.46","8.1","7.17","7.5"
"market_cap","","","361.9287","55.82525","246.2894","786.39312","1640.53884","3089.2455","7322.00224","9929.078390000001","8617.0308","6522.1746","8065.2657","7128.19584","8380.5792","9271.02355","7852.0442","10070.62234","7657.365","7589.83176"
"period_end_price","","","14.7","1.93","7.88","19.68","38.63","53.25","126.56","163.73","140.56","109.03","134.65","123.96","149.28","165.05","127.4","159.31","123","123"
