"Company: ","CAVA Group Inc. (CAVA:US)","","",""
"roe","","0.14","0.22","0.35"
"roic","","0.22","0.04","0.06"
"roce","","-0.04","0.05","0.04"
"rotce","","-0.04","0.05","0.04"
"gross_margin","0.16","0.17","0.25","0.24"
"ebitda_margin","0.03","0.05","0.11","0.11"
"operating_margin","-0.05","-0.03","0.04","0.04"
"pretax_margin","-0.07000000000000001","-0.1","0.02","0.04"
"net_income_margin","-0.07000000000000001","-0.1","0.02","0.04"
"fcf_margin","-0.11","-0.17","-0.06","-0.02"
"assets_to_equity","-0.92","-1.3","1.72","1.73"
"equity_to_assets","-1.09","-0.77","0.58","0.58"
"debt_to_equity","-0.04","-0.64","0.53","0.54"
"debt_to_assets","0.04","0.49","0.31","0.31"
"revenue_per_share","5.16","5.82","11.48","5.25"
"ebitda_per_share","0.18","0.29","1.24","0.57"
"operating_income_per_share","-0.28","-0.15","0.5","0.22"
"pretax_income_per_share","-0.38","-0.61","0.22","0.2"
"fcf_per_share","-0.55","-1.01","-0.66","-0.1"
"book_value_per_share","-4.06","-4.63","9","4.92"
"tangible_book_per_share","-4.15","-4.67","8.94","4.9"
"payout_ratio","","","",""
"revenue_growth","","0.13","0.29",""
"gross_profit_growth","","0.19","0.84",""
"ebitda_growth","","0.62","1.82",""
"operating_income_growth","","0.46","3.13",""
"pretax_income_growth","","-0.58","1.24",""
"net_income_growth","","-0.58","1.23",""
"eps_diluted_growth","","-0.58","1.34",""
"shares_diluted_growth","","","-0.34",""
"cash_and_equiv_growth","","-0.72","7.5",""
"ppe_growth","","1.65","0.2",""
"total_assets_growth","","0.61","0.68",""
"total_equity_growth","","-0.14","2.27",""
"cfo_growth","","0.78","15.08",""
"capex_growth","","-0.85","-0.33",""
"fcf_growth","","-0.85","0.57",""
"shares_eop","96.84999999999999","111.386","113.708","114.03"
"dividends","","","",""
"price_to_earnings","","","368.01","358.55"
"price_to_book","","","8.56","14.12"
"price_to_sales","","","6.71","13.41"
"price_to_tangible_book","","","8.609999999999999","14.2"
"price_to_fcf","","","-117.18","-704.75"
"market_cap","","","4887.16984","8201.8794"
"period_end_price","","","42.98","42.98"
