"Company: ","CAVA Group Inc. (CAVA:US)","","",""
"Exchange: ","NYSE","","",""
"Last Close Price: ","93.11","","",""
"Industry: ","Hotels, Restaurants & Leisure","","",""
"Currency: ","USD","","",""
"Country: ","US","","",""
"Market Cap.: ","10617","","",""
"Enterprise Value: ","10288","","",""
"period_end_date","2021-12","2022-12","2023-12","TTM"
"revenue","500.072","564.119","728.7","611.729"
"cogs","417.919","466.135","548.354","462.012"
"gross_profit","82.15300000000001","97.98399999999999","180.346","149.717"
"sga","64.792","70.03700000000001","101.491","82.986"
"rnd","","","",""
"special_charges","","","",""
"other_opex","44.538","42.724","47.433","41.187"
"total_opex","109.33","112.761","148.924","124.173"
"operating_income","-27.177","-14.777","31.422","25.544"
"net_interest_income_normal","-4.81","-0.047","8.852","13.092"
"other_nonoperating_income","-5.287","-44.07","-26.226","-14.819"
"pretax_income","-37.274","-58.894","14.048","23.817"
"income_tax","-0.117","-0.093","-0.768","-0.9419999999999999"
"net_income_continuing","-37.391","-58.987","13.28","22.875"
"net_income_discontinued","","","",""
"income_allocated_to_minority_interest","","","",""
"other_income_statement_items","","","","1.7763568394003E-15"
"net_income","-37.391","-58.987","13.28","22.875"
"preferred_dividends","","","",""
"net_income_available_to_shareholders","-37.391","-58.987","13.28","22.875"
"eps_basic","-0.39","-0.61","0.22","0.2"
"eps_diluted","-0.39","-0.61","0.21","0.2"
"shares_basic","96.84999999999999","96.84999999999999","60.512","60.512"
"shares_diluted","96.84999999999999","96.84999999999999","63.448","63.448"
"cash_and_equiv","140.332","39.125","332.428","332.428"
"st_investments","","","",""
"receivables","6.06","7.735","11.885","11.885"
"inventories","3.643","5.139","5.637","5.637"
"other_current_assets","4.359","6.151","4.962","4.962"
"total_current_assets","154.394","58.15","354.912","354.912"
"equity_and_other_investments","","","",""
"ppe_gross","302.973","630.251","762.196","762.196"
"accumulated_depreciation","-108.032","-113.392","-142.015","-142.015"
"ppe_net","194.941","516.859","620.181","620.181"
"intangible_assets","7.308","1.386","1.359","1.359"
"goodwill","1.94","1.94","1.94","1.94"
"other_lt_assets","3.612","5.548","5.364999999999799","5.364999999999799"
"total_assets","362.195","583.883","983.7569999999999","983.7569999999999"
"accounts_payable","13.975","14.311","17.234","17.234"
"tax_payable","2.85","2.339","3.807","3.807"
"current_accrued_liabilities","34.9","38.129","55.412","55.412"
"st_debt","","","",""
"current_deferred_revenue","","","",""
"current_deferred_tax_liability","","","",""
"other_current_liabilities","7.105427357601E-15","","",""
"total_current_liabilities","51.725","84.318","109.036","109.036"
"lt_debt","","","",""
"noncurrent_capital_leases","15.344","285.194","303.615","303.615"
"pension_liabilities","","","",""
"noncurrent_deferred_revenue","24.971","0.028","0.079","0.079"
"other_lt_liabilities","663.176","662.846","0.22499999999997","0.22499999999997"
"total_liabilities","755.216","1032.386","412.955","412.955"
"common_stock","","","",""
"preferred_stock","","","",""
"retained_earnings","-402.532","-460.943","-447.663","-447.663"
"aoci","","","",""
"apic","15.219","19.059","1028.181","1028.181"
"treasury_stock","-5.708","-6.619","-9.727","-9.727"
"other_equity","","-5.6843418860808E-14","0.010999999999967","0.010999999999967"
"minority_interest_liability","","","",""
"total_equity","-393.021","-448.503","570.802","570.802"
"total_liabilities_and_equity","362.195","583.883","983.7569999999999","983.7569999999999"
"cfo_net_income","-37.391","-58.987","13.28","22.875"
"cfo_da","44.445","42.724","47.433","41.187"
"cfo_receivables","-0.903","-35.863","-24.671","-11.786"
"cfo_inventory","-1.157","-1.496","-0.498","-0.948"
"cfo_prepaid_expenses","-1.402","-0.318","0.06","-1.129"
"cfo_other_working_capital","3.908","36.422","47.238","24.41"
"cfo_change_in_working_capital","0.446","-1.255","22.129","10.547"
"cfo_deferred_tax","0.003","0.005","",""
"cfo_stock_comp","5.35","3.8","9.359999999999999","4"
"cfo_other_noncash_items","-9.460000000000001","19.751","4.899","9.768000000000001"
"cf_cfo","3.393","6.038","97.101","88.377"
"cfi_ppe_net","-56.309","-104.161","-138.806","-100.015"
"cfi_acquisitions_net","","","",""
"cfi_investment_net","","","",""
"cfi_intangibles_net","","","",""
"cfi_other","","","",""
"cf_cfi","-56.309","-104.161","-138.806","-100.015"
"cff_common_stock_net","-0.553","-0.874","340.849","-1.642"
"cff_pfd_net","183.367","","",""
"cff_debt_net","-39.662","-0.115","-0.08500000000000001","-0.063"
"cff_dividend_paid","","","",""
"cff_other","","-2.095","-5.756","-10.385"
"cf_cff","143.152","-3.084","335.008","-12.09"
"ebitda","17.268","27.947","78.855","66.73099999999999"
"capex","-56.309","-104.161","-138.806","-100.015"
"fcf","-52.916","-98.123","-41.705","-11.638"
"book_value","-393.021","-448.503","570.802","580.8099999999999"
"tangible_book_value","-402.269","-451.829","567.503","577.511"
"roa","","-0.12","0.02","0.03"
