"cff_dividend_paid","","","","","-157","-285","-350","-375","-374","-381","-382"
"cff_other","5161","3778","6948","8332","1400","9925","9660","13058","8330","9401","12328"
"cf_cff","4090","2898","5111","9070","1655","8705","9674","11948","7045","9000","11196"
"ebitda","2780","450","2785","1705","2786","-1385","664","3128","3628","1550","2272"
"policy_revenue","8921","9064","11014","9179","9668","9932","13513","14037","11326","12119","12422"
"underwriting_profit","4924","5844","6893","4310","6441","4950","6574","16627","9238","10456","11915"
"book_value","","13582","15000","17144","15619","14637","16051","12001","2034","3596","3184"
"tangible_book_value","","8340","9757","12320","10839","9886","11314","7273","-3448","-1837","-2235"
"roa","","","0.01","","0.01","-0.01","","0.01","0.01","",""
"roe","","0.05","0.09","0.05","0.11","-0.11","-0.04","0.11","0.25","0.3","0.23"
"roi","","0.03","0.01","0.04","0.03","","-0.01","-0.06","0.01","-0.02","-0.02"
"ebitda_margin","0.21","0.04","0.24","0.14","0.23","-0.14","0.05","0.41","0.29","0.15","0.22"
"operating_margin","0.19","0.04","0.17","0.1","0.21","-0.21","-0.09","0.34","0.24","0.07000000000000001","0.14"
"pretax_margin","0.19","0.04","0.17","0.1","0.21","-0.21","-0.09","0.34","0.24","0.07000000000000001","0.14"
"net_income_margin","0.12","0.03","0.11","0.07000000000000001","0.15","-0.18","-0.05","0.23","0.17","0.12","0.12"
"underwriting_margin","0.55","0.64","0.63","0.47","0.67","0.5","0.49","1.18","0.82","0.86","0.96"
"assets_to_equity","","15.14","14.44","13.74","14.14","16.21","15.9","21.55","70.27","53.67","60.17"
"equity_to_assets","","0.07000000000000001","0.07000000000000001","0.07000000000000001","0.07000000000000001","0.06","0.06","0.05","0.01","0.02","0.02"
"premiums_per_share","1.94","1.91","1.93","2","1.97","2.32","2.21","2.28","2.62","3.14","3.21"
"revenue_per_share","23.29","17.97","20.97","22.21","21.69","19.49","27.56","18.08","33.28","29.94","30.2"
"ebitda_per_share","4.96","0.8","4.96","3.04","5.01","-2.81","1.47","7.43","9.550000000000001","4.41","6.5"
"operating_income_per_share","4.33","0.79","3.61","2.33","4.47","-4.17","-2.43","6.19","7.88","2.1","4.08"
"pretax_income_per_share","4.33","0.79","3.61","2.33","4.47","-4.17","-2.43","6.19","7.88","2.1","4.08"
"book_value_per_share","","24.21","26.74","30.56","28.07","29.65","35.64","28.49","5.35","10.23","9.57"
"tangible_book_per_share","","14.87","17.39","21.96","19.48","20.03","25.12","17.27","-9.08","-5.22","-6.72"
"payout_ratio","","","","","0.08","-0.16","-0.42","0.18","0.14","0.25","0.27"
"premiums_growth","","-0.01","0.01","0.04","-0.03","0.05","-0.13","-0.04","0.04","0.11",""
"policy_revenue_growth","","0.02","0.22","-0.17","0.05","0.03","0.36","0.04","-0.19","0.07000000000000001",""
"revenue_growth","","-0.23","0.17","0.06","-0.03","-0.2","0.29","-0.39","0.66","-0.17",""
"ebitda_growth","","-0.84","5.19","-0.39","0.63","-1.5","1.48","3.71","0.16","-0.57",""
"operating_income_growth","","-0.82","3.6","-0.36","0.91","-1.83","0.47","3.39","0.15","-0.75",""
"pretax_income_growth","","-0.82","3.6","-0.36","0.91","-1.83","0.47","3.39","0.15","-0.75",""
