"ebitda_margin","0.21","0.23","0.23","0.22","0.06","0.17","0.22"
"operating_margin","0.05","0.07000000000000001","0.02","0.02","-0.01","0.1","0.13"
"pretax_margin","0.02","0.1","0.05","0.01","-0.02","0.1","0.14"
"net_income_margin","0.02","0.06","0.03","-0.01","-0.01","0.07000000000000001","0.1"
"fcf_margin","0.08","0.05","-0.07000000000000001","-0.14","-0.17","-0.31","-0.32"
"assets_to_equity","","3.1","3.28","4.14","4.12","4.5","4.5"
"equity_to_assets","","0.32","0.31","0.24","0.24","0.22","0.22"
"debt_to_equity","","0.52","0.49","0.71","0.51","0.82","0.86"
"debt_to_assets","","0.17","0.15","0.17","0.12","0.18","0.19"
"revenue_per_share","62.63","58","53.95","60.27","74.29000000000001","76.91","73.11"
"ebitda_per_share","13.31","13.36","12.45","13.37","4.57","13.4","15.87"
"operating_income_per_share","2.84","3.97","1.3","1.11","-1.05","7.59","9.800000000000001"
"pretax_income_per_share","1.12","5.87","2.56","0.47","-1.65","7.55","10.12"
"fcf_per_share","4.96","3.15","-3.56","-8.18","-12.29","-23.84","-23.63"
"book_value_per_share","","48.51","44.98","35.63","34.57","34.83","36.35"
"tangible_book_per_share","","48.37","44.98","35.63","34.42","33.52","35.02"
"payout_ratio","","","","","-1.15","0.23","0.16"
"revenue_growth","","-0.07000000000000001","-0.07000000000000001","0.12","0.24","0.02",""
"gross_profit_growth","","0.02","-0.15","0.03","-0.27","0.51",""
"ebitda_growth","","","-0.07000000000000001","0.07000000000000001","-0.66","1.89",""
"operating_income_growth","","0.4","-0.67","-0.15","-1.96","8.09",""
"pretax_income_growth","","4.25","-0.5600000000000001","-0.82","-4.57","5.51",""
"net_income_growth","","2.04","-0.48","-1.35","0.22","11.14",""
"eps_diluted_growth","","2.04","-0.48","-1.35","0.22","11.22",""
"shares_diluted_growth","","","","","0.01","-0.02",""
"cash_and_equiv_growth","","","-0.25","1.23","-0.16","-0.13",""
"ppe_growth","","","-0.08","-0.12","0.01","0.12",""
"total_assets_growth","","","-0.02","","-0.02","0.08",""
"total_equity_growth","","","-0.07000000000000001","-0.21","-0.02","-0.01",""
"cfo_growth","","-0.26","-0.8","-3.29","-0.76","-1.25",""
"capex_growth","","0.18","0.05","0.24","-0.27","-0.43",""
"fcf_growth","","-0.37","-2.13","-1.29","-0.52","-0.91",""
"shares_eop","326.3","326.3","326.3","326","327","317","315.12"
"dividends","","","","","0.5600000000000001","1.13","1.2"
"price_to_earnings","","","","","-176.19","22.83",""
"price_to_book","","","","","2.48","3.28",""
"price_to_sales","","","","","1.15","1.49",""
"price_to_tangible_book","","","","","2.49","3.41",""
"price_to_fcf","","","","","-6.97","-4.8",""
"market_cap","","","","","28190.67","37054.13",""
"period_end_price","","","","","86.20999999999999","116.89","116.89"
