"Company: ","Leidos Holdings Inc (LDOS:US)","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","148.29","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","IT Services","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","20087","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","24090","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2003-01","2004-01","2005-01","2006-01","2007-01","2008-01","2009-01","2010-01","2011-01","2012-01","2013-01","2014-01","2015-01","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","4826","5573","6910","7518","8060","8926","10070","10846","10798","5836","6449","5755","5063","7043","10170","10194","11094","12297","13737","14396","15438","15714"
"cogs","4163","4828","6044","6568","6974","7686","8692","9343","9374","5351","5548","4992","4392","6103","8738","8690","9546","10560","11723","12312","13194","13327"
"gross_profit","663","745","866","950","1086","1240","1378","1503","1424","485","901","763","671","940","1432","1504","1548","1737","2014","2084","2244","2387"
"sga","342","365","406","480","514","567","602","636","495","543","467","440","310","422","737","729","689","770","851","951","942","935"
"rnd","","","","","","","","","","","","","","","","","","","","","",""
"special_charges","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","8","7","-2","","","","","","","","","","","","","","","","","","",""
"total_opex","350","372","404","480","514","567","602","636","495","543","467","440","310","422","737","729","689","770","851","951","942","935"
"operating_income","313","373","462","470","572","673","776","867","929","-58","434","323","361","518","695","775","859","967","1163","1133","1302","1452"
"net_interest_income_normal","","","","","","","-58","-74","-77","-109","-84","-67","-74","-86","-140","-138","-133","-179","-184","-199","-212","-207"
"other_nonoperating_income","-144","-21","-74","-2","24","-40","-15","6","2","5","-5","-168","-570","-114","-162","-27","140","-7","-12","-48","-687","-681"
"pretax_income","169","352","388","468","596","633","703","799","854","-162","345","88","-283","318","393","610","866","781","967","886","403","564"
"income_tax","62","-135","-125","-133","-231","-243","-256","-299","-307","-73","-22","-4","-47","-72","-29","-28","-196","-152","-208","-193","-195","-237"
"net_income_continuing","231","217","263","335","365","390","447","500","547","-235","323","84","-330","246","364","582","670","629","759","693","208","327"
"net_income_discontinued","152","134","146","592","25","26","5","-3","72","294","202","80","7","","","","","","","","",""
"income_allocated_to_minority_interest","-8","","-3","-3","-5","-3","","","","","","","","-2","2","-1","-3","-1","-6","-8","-9","-6"
"other_income_statement_items","-116","","3","3","5","3","","","","","","","","","","","","","","","",""
"net_income","259","351","409","927","390","416","452","497","619","59","525","164","-323","244","366","581","667","628","753","685","199","321"
"preferred_dividends","","","","","","","","","","","","","","","","","","","","","",""
"net_income_available_to_shareholders","259","351","409","927","390","416","452","497","619","59","525","164","-323","244","366","581","667","628","753","685","199","321"
"eps_basic","2.64","3.8","4.48","10.64","4.44","4.12","4.44","5","6.6","0.68","6.19","1.94","-4.36","2.39","2.41","3.85","4.66","4.42","5.34","5","1.45","2.36"
"eps_diluted","2.56","3.72","4.36","10.32","4.28","4","4.36","4.96","6.56","0.68","6.19","1.94","-4.36","2.35","2.38","3.8","4.6","4.36","5.27","4.96","1.44","2.32"
"shares_basic","98","92.5","91.25","87","88","101","98.75","96.5","91","84","83","83","74","102","152","151","143","142","141","137","137","137"
"shares_diluted","101.5","94.25","93.75","89.75","91","104.25","100.5","97.5","91.5","84","83","83","74","104","154","153","145","144","143","138","138","138"
"cash_and_equiv","","","","","1109","1096","936","861","1367","1592","735","430","443","376","390","327","668","524","727","516","777","777"
"st_investments","","","","","","","","","","","","","","","","","","","","","",""
"receivables","","","","","1598","1884","1889","2044","2095","2164","1166","1082","896","1660","1831","1877","1734","2137","2189","2350","2429","2429"
"inventories","","","","","50","96","141","125","116","168","79","59","70","67","","","72","276","274","287","310","310"
"other_current_assets","","","","","225","171","251","163","271","307","1637","236","209","278","453","635","338","402","429","490","489","489"
"total_current_assets","","","","","2982","3247","3217","3193","3849","4231","3617","1807","1618","2381","2674","2839","2812","3339","3619","3643","4005","4005"
"equity_and_other_investments","","","","","","","","","","","","","","","37","26","19","15","25","18","",""
"ppe_gross","","","","","643","689","686","772","768","772","672","823","621","541","546","586","1030","1580","1752","1924","2091","2091"
"accumulated_depreciation","","","","","-261","-297","-329","-383","-406","-424","-386","-341","-313","-282","-314","-349","-343","-395","-470","-532","-618","-618"
"ppe_net","","","","","382","392","357","389","362","348","286","482","308","259","232","237","687","1185","1282","1392","1473","1473"
"intangible_assets","","","","","109","94","88","106","211","176","178","93","","1589","856","652","530","1216","1177","952","667","667"
"goodwill","","","","","920","1076","1249","1434","1678","1800","1704","1693","1244","4622","4974","4860","4912","6313","6744","6696","6112","6112"
"other_lt_assets","4876","5540","6010","5655","166","172","137","173","123","112","90","87","111","281","217","156","407","443","414","370","438","438"
"total_assets","4876","5540","6010","5655","4559","4981","5048","5295","6223","6667","5875","4162","3281","9132","8990","8770","9367","12511","13261","13071","12695","12695"
"accounts_payable","","","","","609","490","495","511","464","485","259","218","244","591","557","547","592","731","692","733","736","736"
"tax_payable","","","","","","","","","","","","","","21","4","","","","","","",""
"current_accrued_liabilities","","","","","930","1181","986","1037","1162","1762","783","675","588","948","1276","1141","1280","1595","1690","1842","1794","1794"
"st_debt","","","","","29","130","17","3","3","553","","2","2","62","55","72","61","100","483","992","18","18"
"current_deferred_revenue","","","","","","","184","155","119","211","88","103","104","246","293","276","400","481","364","380","442","442"
"current_deferred_tax_liability","","","","","","","","","","","","","","","","","","","","","",""
"other_current_liabilities","","","","","98","66","1","","","14","662","11","13","148","17","23","","","","","",""
"total_current_liabilities","","","","","1666","1867","1683","1706","1748","3025","1792","1009","951","2016","2202","2059","2333","2907","3229","3947","2990","2990"
"lt_debt","897","1217","1206","1192","1199","1098","1099","1103","1849","1299","1295","1331","1164","3225","3056","3052","2925","4644","4593","3928","4664","4664"
"noncurrent_capital_leases","","","","","","","","","","","","33","31","37","","","326","564","589","570","516","516"
"pension_liabilities","","","","","","","","","","29","8","9","8","6","","","","","","","",""
"noncurrent_deferred_revenue","","","","","","","","","","41","72","104","60","608","220","170","184","234","239","40","3","3"
"other_lt_liabilities","1959","2120","2453","1656","102","148","182","195","135","92","90","81","69","93","129","178","182","291","267","233","264","264"
"total_liabilities","2856","3337","3659","2848","2967","3113","2964","3004","3732","4486","3257","2567","2283","5985","5607","5459","5950","8640","8917","8718","8437","8437"
"common_stock","","","","","","","","","","","","","","","","","","","","","",""
"preferred_stock","","","","","","","","","","","","","","","","","","","","","",""
"retained_earnings","","","","","6","87","183","239","434","164","510","25","-424","-177","-7","372","896","1328","1880","2367","2364","2364"
"aoci","","","","","-27","-23","-49","-44","-33","-11","-2","-6","-11","-4","33","-30","-70","-46","-12","-73","-48","-48"
"apic","","","","","1557","1804","1950","2096","2090","2028","2110","1576","1433","3316","3344","2966","2587","2580","2423","2005","1885","1885"
"treasury_stock","","","","","","","","","","","","","","","","","","","","","",""
"other_equity","2020","2203","2351","2807","","","","","","","","","","","","","","","","","",""
"minority_interest_liability","","","","","56","","","","","","","","","12","13","3","4","9","53","54","57","57"
"total_equity","2020","2203","2351","2807","1592","1868","2084","2291","2491","2181","2618","1595","998","3147","3383","3311","3417","3871","4344","4353","4258","4258"
"total_liabilities_and_equity","4876","5540","6010","5655","4559","4981","5048","5295","6223","6667","5875","4162","3281","9132","8990","8770","9367","12511","13261","13071","12695","12695"
"cfo_net_income","107","217","263","335","390","416","447","500","547","-235","323","84","-330","246","364","582","670","629","759","693","208","327"
"cfo_da","","","","68","71","77","89","93","110","88","90","80","62","122","336","257","234","282","325","333","331","318"
"cfo_receivables","","","","49","-68","-237","4","-94","-18","-112","218","-69","162","123","-191","-58","116","-127","-5","-174","-65","-180"
"cfo_inventory","","","","","9","-46","-82","54","-29","-52","5","44","-12","-101","-76","","","","","","",""
"cfo_prepaid_expenses","","","","39","","","","","","","","","","","","","","","","","",""
"cfo_other_working_capital","","","","27","236","117","61","-3","12","684","-667","-117","-103","20","-160","-33","-25","430","-84","212","8","169"
"cfo_change_in_working_capital","","","","115","177","-166","-17","-43","-35","520","-444","-142","47","42","-427","-91","91","303","-89","38","-57","-11"
"cfo_deferred_tax","","","","-42","3","-4","4","","","","","","","","132","-49","18","-4","-26","-211","-109","-91"
"cfo_stock_comp","","","","","","","94","106","99","55","53","55","42","35","43","44","52","62","67","73","77","79"
"cfo_other_noncash_items","-107","-217","-263","97","74","19","-75","-33","-11","-28","2","114","575","4","78","25","-73","62","-3","66","715","704"
"cf_cfo","","","","573","715","342","542","623","710","400","24","191","396","449","526","768","992","1334","1033","992","1165","1326"
"cfi_ppe_net","","","","-52","-73","-61","-59","-58","-73","-56","-39","-53","-29","-29","-81","-73","-121","-183","-104","-129","-207","-185"
"cfi_acquisitions_net","","","","-226","","","-204","-258","-382","-218","-483","-3","","48","","-81","84","-2655","-622","-177","-4","-6"
"cfi_investment_net","","","","-291","1659","","","","","2","","12","","","","","","","","","",""
"cfi_intangibles_net","","","","","","","","","","","","","","","","","","","","","",""
"cfi_other","","","","-12","-360","-141","4","11","61","230","45","324","109","6","10","40","102","23","-4","-7","","7"
"cf_cfi","","","","-581","1226","-202","-259","-305","-394","-42","-477","280","80","25","-71","-114","65","-2815","-730","-313","-211","-184"
"cff_common_stock_net","","","","-663","619","-211","-369","-474","-601","-471","-22","-319","-208","1","-18","-424","-431","-70","-226","-494","-196","-335"
"cff_pfd_net","","","","","","","","","","","","","","","","","","","","","",""
