"Company: ","Ally Financial Inc (ALLY:US)","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","39.69","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Consumer Finance","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","12280","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","16684","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"total_interest_income","21296","22974","24823","22741","18054","12772","11183","6671","7342","8093","8391","8397","8305","8322","9052","9857","8797","8651","10621","13958","14254"
"total_interest_expense","9659","13106","15560","14406","10441","7091","6666","4606","4052","3319","2783","2429","2629","2857","3637","4243","3243","1914","2857","6897","7361"
"net_interest_income","11637","9868","9263","8335","7613","5681","4517","2065","3290","4774","5608","5968","5676","5465","5415","5614","5554","6737","7764","7061","6893"
"total_noninterest_revenue","10009","11162","10512","5327","3139","3358","5095","2352","2722","1528","1460","1447","1512","1530","1369","1701","1924","2043","1476","2009","2031"
"revenue","21646","21030","19775","13662","10752","9039","9612","4417","6012","6302","7068","7415","7188","6995","6784","7315","7478","8780","9240","9070","8924"
"credit_losses_provision","1953","1074","2000","3067","3102","5603","442","161","329","501","457","707","917","1148","918","998","1439","241","1399","1968","2029"
"net_interest_income_after_credit_losses_provision","9684","8794","7263","5268","4511","78","4075","1904","2961","4273","5151","5261","4759","4317","4497","4616","4115","6496","6365","5093","4864"
"total_noninterest_expense","15437","15765","14707","12392","14131","10966","7828","4369","5021","5385","5163","4958","4685","4333","4243","4348","4473","4548","5499","5870","6091"
"pretax_income","4256","3479","2228","-1806","4737","-6909","1139","-177","514","357","1246","1393","1581","1507","1622","1967","1414","3855","2342","1083","866"
