"cfo_change_in_working_capital","-3.612","-16.147","-24","-89","10","301","35","-78","80","163","21","-44","-105","-46","107","12","23"
"cfo_deferred_tax","","","","","","","","","","","","","","","","",""
"cfo_stock_comp","","0.05","0.09","0.18","","","","","1","4","6","13","18","19","2","11","11"
"cfo_other_noncash_items","-11.821","-35.368","-31.09","388.82","1034","941","1820","1291","646","319","932","523","2100","818","2094","-296","-907"
"cf_cfo","30.682","93.23","233","1070","2321","2501","1622","1428","1352","1260","1113","1180","1747","1540","1013","-118","-124"
"cfi_ppe_net","","","","","","","","","","","","","","","","",""
"cfi_acquisitions_net","","","","","","","","","-555","","","","","","","",""
"cfi_investment_net","-1580.126","-2556.395","-8751","-38796","-20063","-1360","16648","1156","9720","-7871","-17395","-26180","38055","2564","7187","-10162","434"
"cfi_intangibles_net","","","","","","","","","","","","","","","","",""
"cfi_other","11.764","-9.5460000000003","-305","-776","-11118","10235","-4299","2937","-5964","-3190","-10541","11962","-1530","1272","4001","-4510","-2953"
"cf_cfi","-1568.362","-2565.941","-9056","-39572","-31181","8875","12349","4093","3201","-11061","-27936","-14218","36525","3836","11188","-14672","-2519"
"cff_common_stock_net","286.05","221.596","1055","4377","3524","947","-74","-285","-116","1238","2611","87","61","-281","475","1085","1155"
"cff_pfd_net","","","","","167","","169","","","142","","442","557","","145","",""
"cff_debt_net","1346.265","","73","-19","850","-6","-158","3598","-851","-3141","-78","-55","-62","-49","-24","-17","-16"
"cff_dividend_paid","-19.656","-80.31699999999999","-173","-664","-1415","-1659","-1094","-902","-799","-795","-974","-1139","-970","-860","-869","-1005","-1049"
"cff_other","-18.967","2478.223","7838","36002","26797","-10945","-13237","-8542","-3896","12438","25421","13465","-36816","-4985","-11119","14164","1587"
"cf_cff","1593.692","2619.502","8793","39696","29923","-11663","-14394","-6131","-5662","9882","26980","12800","-37230","-6175","-11392","14227","1677"
"ebitda","10.763","145.03","288","776","1296","1272","-233","215","625","774","154","688","-266","749","-1190","155","749"
"earning_assets","1629.395","4502.918","13683.538","56093","86140","70684","59697","52612","47071","57493","84818","100999","67136","55682","4695","4760","6531"
"book_value","258.151","546.822","1572.064","6212","10729","8530","9092","7635","7020","8270","9422","10109","9590","8802","6236","6623","6944"
"tangible_book_value","258.151","546.822","1572.064","6212","10729","8530","9092","7635","6466","7719","8896","9583","9064","8276","5710","6097","6418"
"roa","","0.04","0.03","0.02","0.02","0.01","","","0.01","0.01","","0.01","","0.01","-0.02","","0.01"
"roe","","0.29","0.27","0.2","0.15","0.13","-0.03","0.02","0.08","0.1","0.01","0.07000000000000001","-0.02","0.07000000000000001","-0.13","0.02","0.09"
"ebitda_margin","0.26","1.11","0.97","0.98","0.98","0.98","1.1","0.9","0.92","0.92","0.67","0.89","1.54","0.89","1.07","0.62","0.88"
"pretax_margin","","0.91","0.97","0.98","0.98","0.98","1.1","0.9","0.92","0.91","0.5600000000000001","0.89","1.54","0.89","1.07","0.62","0.88"
"net_income_margin","0.86","0.91","0.97","0.97","0.96","0.97","1.1","0.9","0.92","0.91","0.5600000000000001","0.89","1.54","0.89","1.07","0.62","0.88"
"net_interest_margin","","0.03","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.01","0.01","0.01","0.01","0.02","0.03","-0.05","-0.01"
"assets_to_equity","6.42","8.460000000000001","9.210000000000001","9.33","9.220000000000001","8.77","7.19","7.15","7.73","8.039999999999999","11.03","10.24","7.38","6.62","6.58","8.67","8.380000000000001"
"equity_to_assets","0.16","0.12","0.11","0.11","0.11","0.11","0.14","0.14","0.13","0.12","0.09","0.1","0.14","0.15","0.15","0.12","0.12"
"earning_assets_to_equity","6.31","8.23","8.699999999999999","9.029999999999999","7.91","8.130000000000001","6.33","6.6","6.4","6.57","8.56","9.15","6.06","5.41","0.6","0.58","0.76"
"loans_to_deposits","","","","","","","","","","","","","","","","",""
"loan_loss_reserve_to_loans","","","","","","","","","","","","","","","","",""
"revenue_per_share","2.74","7.43","8.109999999999999","5.19","4.37","3.44","-0.6","0.68","2.04","2.35","0.52","1.42","-0.31","1.58","-2.08","0.41","1.23"
"ebitda_per_share","0.72","8.279999999999999","7.89","5.06","4.26","3.36","-0.66","0.62","1.88","2.16","0.35","1.27","-0.48","1.41","-2.22","0.25","1.08"
"pretax_income_per_share","","6.79","7.89","5.06","4.26","3.36","-0.66","0.62","1.88","2.15","0.29","1.27","-0.48","1.41","-2.22","0.25","1.08"
"book_value_per_share","17.21","31.23","43.07","40.52","35.3","22.5","25.73","21.9","21.15","23.06","21.35","18.67","17.39","16.61","11.61","10.69","9.859999999999999"
"tangible_book_per_share","17.21","31.23","43.07","40.52","35.3","22.5","25.73","21.9","19.48","21.52","20.15","17.7","16.43","15.62","10.63","9.84","9.109999999999999"
"payout_ratio","1.06","0.76","0.71","1.12","1.2","1.14","-3.6","4.59","1.28","1.06","10.29","1.72","-2.36","1.18","-0.6","28.8","1.58"
"net_interest_income_growth","","1.79","1.1","3.66","0.9399999999999999","0.04","-0.34","0.03","-0.18","-0.17","0.01","-0.11","0.22","0.52","-0.25","-1.25",""
"revenue_growth","","2.16","1.28","1.69","0.67","-0.02","-1.16","2.13","1.84","0.25","-0.73","2.37","-1.22","5.84","-2.33","1.22",""
"ebitda_growth","","12.47","0.99","1.69","0.67","-0.02","-1.18","1.92","1.91","0.24","-0.8","3.47","-1.39","3.82","-2.59","1.13",""
"pretax_income_growth","","","1.42","1.69","0.67","-0.02","-1.18","1.92","1.9","0.24","-0.83","4.33","-1.39","3.82","-2.59","1.13",""
"net_income_growth","","2.36","1.43","1.67","0.66","-0.01","-1.19","1.92","1.9","0.24","-0.83","4.33","-1.39","3.82","-2.59","1.13",""
"eps_diluted_growth","","1.87","0.16","-0.36","-0.17","-0.21","-1.22","1.74","2.31","0.14","-0.9","4.52","-1.57","2.85","-2.98","1.02",""
"shares_diluted_growth","","0.17","1.08","3.2","0.98","0.25","-0.07000000000000001","-0.01","-0.05","0.08","0.23","0.23","0.02","-0.04","0.01","0.15",""
"cash_and_equiv_growth","","2.62","-0.15","6.89","0.78","-0.12","-0.2","-0.35","0.09","-0.13","-0.12","-0.1","0.22","-0.02","0.02","-0.49",""
"loans_gross_growth","","","","","","","","","","","","","","","","",""
"loans_net_growth","","","","","","","","","","","","","","","","",""
"total_assets_growth","","1.79","2.13","3","0.73","-0.24","-0.11","-0.16","","0.24","0.55","0.04","-0.28","-0.17","-0.24","0.38",""
"deposits_growth","","","","","","","","","","","","","","","","",""
"total_equity_growth","","1.12","1.87","2.95","0.75","-0.2","0.08","-0.15","-0.08","0.19","0.13","0.11","","-0.07000000000000001","-0.24","0.05",""
"earning_assets_growth","","1.76","2.04","3.1","0.54","-0.18","-0.16","-0.12","-0.11","0.22","0.48","0.19","-0.34","-0.17","-0.92","0.01",""
"shares_eop","15.005","24.322","64.85599999999999","224.15","338.9","356.2","352.8","337.5","331","391.3","536.3","540.9","539.5","522.2","574.6","694.3","726.9299999999999"
"dividends","2.51","5.15","5.6","5.6","5","3.75","2.61","2.48","2.3","2.16","2.16","2","1.56","1.44","1.44","1.44","1.44"
"price_to_earnings","9.07","5.44","6.47","8.17","7.67","5.46","-33.05","27.22","9.630000000000001","10.25","72.92","13.9","-31.64","10.49","-5","43.94","9.52"
"price_to_book","1.24","1.18","1.19","1.01","0.91","0.8100000000000001","0.85","0.77","0.85","0.96","1","0.95","0.88","0.89","0.95","1.03","1.03"
"price_to_sales","7.8","4.96","6.3","7.92","7.38","5.27","-36.5","24.59","8.880000000000001","9.359999999999999","41.08","12.4","-48.65","9.380000000000001","-5.33","27.14","8.42"
"price_to_tangible_book","1.24","1.18","1.19","1.01","0.91","0.8100000000000001","0.85","0.77","0.93","1.02","1.06","1","0.93","0.95","1.04","1.12","1.11"
"market_cap","320.5068","645.50588","1863.96144","6294.132","9794.209999999999","6871.098","7701.624","5852.25","6001.03","7900.347","9406.701999999999","9563.111999999999","8416.200000000001","7853.888","5947.11","6811.083","7130.97"
"period_end_price","21.36","26.54","28.74","28.08","28.9","19.29","21.83","17.34","18.13","20.19","17.54","17.68","15.6","15.04","10.35","9.81","9.81"
