"intangible_assets","","","","1147","481","463","425","364","294","252","197","165","142","132","125","194","301","310","312","319","735","4105","3975","3975"
"goodwill","","","","","949","875","866","779","798","774","760","777","798","749","705","796","1003","1057","1074","1166","1412","7142","6977","6977"
"other_lt_assets","6232","6417","6814","1410","1416","1291","1342","384","795","732","765","1069","630","608","522","466","704","374","434","670","769","1355","2201","2201"
"total_assets","6232","6417","6814","7410","7445","7895","8058","7166","8412","8281","8518","9000","9018","8796","8586","8357","9538","9313","9476","10909","11975","26272","26597","26597"
"accounts_payable","","","","722","811","823","818","523","649","673","673","649","799","757","587","625","807","819","780","797","1160","1518","1510","1510"
"tax_payable","","","","","","","","24","72","17","28","55","30","18","103","33","88","78","52","140","108","151","153","153"
"current_accrued_liabilities","","","","888","","232","","","","","126","97","120","148","125","112","130","140","118","150","165","416","421","421"
"st_debt","","","","144","155","309","272","233","242","228","144","168","177","137","513","118","326","561","496","496","791","1306","1383","1383"
"current_deferred_revenue","","","","","","","","","","","","","","","","","","","","","","","",""
"current_deferred_tax_liability","","","","20","36","18","30","15","33","28","17","25","10","7","30","","","","","","","","",""
"other_current_liabilities","","","","221","1011","834","911","574","611","596","397","361","409","271","192","189","208","181","279","354","244","594","516","516"
"total_current_liabilities","","","","1995","2013","2216","2031","1369","1607","1542","1385","1355","1545","1338","1550","1077","1559","1779","1754","1973","2505","4068","4072","4072"
"lt_debt","","","","3243","3282","3189","3284","3300","3259","2990","2873","2930","2887","2586","2468","2890","3315","2970","3409","3227","3176","13373","12301","12301"
"noncurrent_capital_leases","","","","","","","","","","","","","","","","","","","181","208","200","364","325","325"
"pension_liabilities","","","","","","","","1167","1288","1359","1492","1602","1175","1211","1189","893","585","564","589","643","558","411","457","457"
"noncurrent_deferred_revenue","","","","256","285","297","265","122","413","116","1024","995","306","209","192","180","264","306","306","509","555","1242","999","999"
"other_lt_liabilities","4278","4321","4232","1510","1566","1332","1411","1024","1259","1348","403","388","406","374","358","296","516","315","339","454","444","709","891","891"
"total_liabilities","4278","4321","4232","7004","7146","7034","6991","6982","7826","7355","7177","7270","6319","5718","5757","5336","6239","5934","6578","7014","7438","20167","19045","19045"
"common_stock","","","","","","","","","","","","","","","","","","","","","","","",""
"preferred_stock","","","","","","","","","","","","","","","","","","","","","","","",""
"retained_earnings","","","","-253","24","394","799","1047","1505","1851","2424","1993","3011","3491","3621","4320","4920","5847","6399","8091","9677","11274","12929","12929"
"aoci","","","","-17","-126","31","197","-579","-660","-670","-850","-89","-4","-165","-348","-358","-177","-247","-300","-328","-329","-518","-744","-744"
"apic","","","","158","337","362","469","495","522","574","627","731","53","103","136","157","175","233","254","257","333","372","394","394"
"treasury_stock","","","","","","","-403","-781","-781","-829","-860","-905","-361","-611","-1031","-1531","-2031","-2849","-3846","-4494","-5492","-5491","-5488","-5488"
"other_equity","1954","2096","2582","","","","","","","","","","","","","","","","","","","","",""
"minority_interest_liability","","","","518","64","74","5","2","","","","","","260","451","433","412","395","391","369","348","468","461","461"
"total_equity","1954","2096","2582","406","299","861","1067","184","586","926","1341","1730","2699","3078","2829","3021","3299","3379","2898","3895","4537","6105","7552","7552"
"total_liabilities_and_equity","6232","6417","6814","7410","7445","7895","8058","7166","8412","8281","8518","9000","9018","8796","8586","8357","9538","9313","9476","10909","11975","26272","26597","26597"
"cfo_net_income","-281","107","148","-253","277","406","426","281","498","377","427","372","1101","620","285","906","849","1213","858","1992","1896","1902","1964","1995"
"cfo_da","326","240","289","282","327","296","311","360","319","300","311","320","319","298","363","295","310","349","356","356","378","478","739","788"
"cfo_receivables","","","22","90","43","-34","-69","339","-79","-90","-83","50","-23","23","61","-59","-110","-48","165","141","-396","218","105","266"
"cfo_inventory","","","-11","-18","17","16","-27","21","30","-98","-112","6","-81","-15","62","8","-97","-158","6","124","-367","-253","398","334"
"cfo_prepaid_expenses","","","","-8","-65","","","","","","","","","","","","","","","","","","",""
"cfo_other_working_capital","","","-206","-230","-4","-112","-225","-497","187","-74","-62","-29","51","1","-134","-67","380","-42","-20","15","275","315","13","98"
"cfo_change_in_working_capital","","","-195","-166","-9","-130","-321","-137","138","-262","-257","27","-53","9","-11","-118","173","-248","151","280","-488","280","516","698"
"cfo_deferred_tax","","","79","19","-85","125","23","-69","-402","15","-15","-175","344","124","42","83","-152","137","-31","77","13","-835","-967","-974"
"cfo_stock_comp","","","","","","","","","","","","20","24","46","40","31","47","71","48","28","95","60","40","36"
"cfo_other_noncash_items","417","16","80","55","191","54","127","151","43","22","172","158","-973","-135","143","-304","-424","36","72","-1390","-137","-66","-393","-447"
"cf_cfo","462","363","401","-63","701","751","566","586","596","452","638","722","762","962","862","893","803","1558","1454","1343","1757","1819","1899","2096"
"cfi_ppe_net","-191","-203","-211","-135","-212","-269","-288","-274","-351","-513","159","-410","-377","-678","-520","-246","-267","-337","-370","-364","-467","-543","-568","-541"
"cfi_acquisitions_net","","","","","","","","320","574","-20","-2","-22","13","-10","-2","-166","-268","-131","-90","1496","-1115","-10541","532","523"
"cfi_investment_net","","","-63","-41","72","30","10","111","15","","","","","","","","","","-16","-501","516","","",""
"cfi_intangibles_net","","","","","","","","","","","","","","","","","","","","","","","",""
"cfi_other","86","64","-1","-1634","-767","-29","421","-358","-207","-27","-598","-68","-58","-17","-36","-27","-14","-39","-17","-39","-53","-57","-98","-89"
