"Company: ","Coinbase Global Inc (COIN:US)","","","","",""
"Exchange: ","NASDAQ","","","","",""
"Last Close Price: ","221.71","","","","",""
"Industry: ","Capital Markets","","","","",""
"Currency: ","USD","","","","",""
"Country: ","US","","","","",""
"Market Cap.: ","52136","","","","",""
"Enterprise Value: ","49401","","","","",""
"period_end_date","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","533.735","1277.481","7839.444","3194.208","3108.383","3108.383"
"cogs","82.05500000000001","135.514","1267.924","629.88","420.705","420.705"
"gross_profit","451.68","1141.967","6571.52","2564.328","2687.678","2687.678"
"sga","256.079","336.662","1573.081","2110.675","1373.62","1373.62"
"rnd","185.044","271.732","1291.561","2326.354","1324.541","1324.541"
"special_charges","","","","","",""
"other_opex","46.2","124.622","498.477","87.218","60.387","60.387"
"total_opex","487.323","733.016","3363.119","4524.247","2758.548","2758.548"
"operating_income","-35.643","408.951","3208.401","-1959.919","-70.87","-70.87"
"net_interest_income_normal","","","-29.16","-88.901","-82.76600000000001","-82.76600000000001"
"other_nonoperating_income","-9.773","0.248","-152.294","-1015.762","76.791","76.791"
"pretax_income","-45.416","409.199","3026.947","-3064.582","-76.845","-76.845"
"income_tax","15.029","-86.88200000000001","597.173","439.633","171.716","171.716"
"net_income_continuing","-30.387","322.317","3624.12","-2624.949","94.871","94.871"
"net_income_discontinued","","","","","",""
"income_allocated_to_minority_interest","","","","","",""
"other_income_statement_items","-3.5527136788005E-15","","","","-1.4210854715202E-14","-1.4210854715202E-14"
"net_income","-30.387","322.317","3624.12","-2624.949","94.871","94.871"
"preferred_dividends","","","","","",""
"net_income_available_to_shareholders","-30.387","322.317","3624.12","-2624.949","94.871","94.871"
"eps_basic","-0.17","0.58","17.47","-11.81","0.4","0.4"
"eps_diluted","-0.17","0.58","14.5","-11.83","0.37","0.37"
"shares_basic","182.945","185.986","177.319","222.314","235.796","235.796"
"shares_diluted","205.575","185.986","219.965","222.338","254.391","254.391"
"cash_and_equiv","548.9450000000001","1061.85","7123.478","4425.021","5139.351","5139.351"
"st_investments","88.429","48.938","100.096","861.149","576.028","576.028"
"receivables","91.667","189.471","365.937","464.817","425.441","425.441"
"inventories","","","","","",""
"other_current_assets","1257.905","3833.689","10784.352","80697.228","197325.711","197325.711"
"total_current_assets","1986.946","5133.948","18373.863","86448.215","203466.531","203466.531"
"equity_and_other_investments","17.599","28.146","1352.143","751.076","792.97","792.97"
"ppe_gross","180.911","174.583","199.861","326.225","326.014","326.014"
"accumulated_depreciation","-10.408","-24.488","-42.246","-85.015","-120.727","-120.727"
"ppe_net","170.503","150.095","157.615","241.21","205.287","205.287"
"intangible_assets","70.133","376.921","176.687","135.425","86.422","86.422"
"goodwill","54.7","77.20999999999999","625.76","1073.91","1139.67","1139.67"
"other_lt_assets","91.88800000000001","89.093999999999","588.357","1075.037","1292.073","1292.073"
"total_assets","2391.769","5855.414","21274.425","89724.87300000001","206982.953","206982.953"
"accounts_payable","5.94","12.031","39.833","56.043","39.294","39.294"
"tax_payable","2.726","5.805","4.553","5.534","17.366","17.366"
"current_accrued_liabilities","35.655","57.39","342.123","192.663","314.554","314.554"
"st_debt","","","20.06","20.519","",""
"current_deferred_revenue","1106.815","3849.468","10480.612","80242.77499999999","197153.905","197153.905"
"current_deferred_tax_liability","","","","","",""
"other_current_liabilities","48.533","296.891","499.488","264.02500000001","178.10999999999","178.10999999999"
"total_current_liabilities","1223.444","4246.855","11419.035","80815.29300000001","197714.131","197714.131"
"lt_debt","","","3384.795","3393.448","2979.957","2979.957"
"noncurrent_capital_leases","106.542","82.508","74.078","42.044","3.821","3.821"
"pension_liabilities","","","","","",""
"noncurrent_deferred_revenue","","","","","",""
"other_lt_liabilities","564.697","562.467","14.828000000001","19.531000000003","3.3950000000186","3.3950000000186"
"total_liabilities","1894.683","4891.83","14892.736","84270.31600000001","200701.304","200701.304"
"common_stock","","","","","",""
"preferred_stock","","","","","",""
"retained_earnings","403.987","726.304","4350.424","1725.475","1820.346","1820.346"
"aoci","-0.721","6.256","-3.395","-38.606","-30.27","-30.27"
"apic","93.81999999999999","231.024","2034.658","3767.686","4491.571","4491.571"
"treasury_stock","","","","","",""
"other_equity","","","0.0020000000004075","0.001999999999498","0.0020000000004075","0.0020000000004075"
"minority_interest_liability","","","","","",""
"total_equity","497.086","963.5839999999999","6381.689","5454.557","6281.649","6281.649"
"total_liabilities_and_equity","2391.769","5855.414","21274.425","89724.87300000001","206982.953","206982.953"
"cfo_net_income","-30.387","322.317","3624.12","-2624.949","94.871","94.871"
"cfo_da","16.878","30.962","63.651","154.069","139.642","139.642"
"cfo_receivables","30.703","-157.156","-8.016","-139.117","",""
"cfo_inventory","","","","","",""
"cfo_prepaid_expenses","","","-36.527","28.952","",""
"cfo_other_working_capital","-131.016","2774.062","185.981","-921.283","326.206","326.206"
"cfo_change_in_working_capital","-100.313","2616.906","141.438","-1031.448","326.206","326.206"
"cfo_deferred_tax","-20.903","0.474","-558.329","-468.035","-216.334","-216.334"
"cfo_stock_comp","31.15","70.55","820.6900000000001","1565.82","864.71","864.71"
"cfo_other_noncash_items","22.981","-37.139","-53.398","819.124","-286.144","-286.144"
"cf_cfo","-80.59399999999999","3004.07","4038.172","-1585.419","922.951","922.951"
"cfi_ppe_net","-31.228","-9.913","-2.879","-2.85","-63.202","-63.202"
"cfi_acquisitions_net","","33.615","","","",""
"cfi_investment_net","-6.088","36.009","-761.567","-493.895","128.797","128.797"
"cfi_intangibles_net","","","-60.8","","",""
"cfi_other","-68.03700000000001","-8.888999999999999","-299.494","-167.077","-60.203","-60.203"
"cf_cfi","-105.353","50.822","-1124.74","-663.822","5.392","5.392"
"cff_common_stock_net","","","","","",""
"cff_pfd_net","","","","","",""
"cff_debt_net","","","3399.764","-0.117","-324.015","-324.015"
"cff_dividend_paid","","","","","",""
"cff_other","-16.605","18.801","6576.32","-5838.401","-487.317","-487.317"
"cf_cff","-16.605","18.801","9976.084000000001","-5838.518","-811.332","-811.332"
"ebitda","-18.765","439.913","3272.052","-1805.85","68.77200000000001","68.77200000000001"
"capex","-31.228","-9.913","-2.879","-2.85","-63.202","-63.202"
"fcf","-111.822","2994.157","4035.293","-1588.269","859.749","859.749"
"book_value","497.086","963.5839999999999","6381.689","5454.557","6281.649","6281.649"
"tangible_book_value","372.253","509.453","5579.242","4245.222","5055.557","5055.557"
"roa","","0.08","0.27","-0.05","",""
"roe","","0.44","0.99","-0.44","0.02","0.02"
"roic","","0.39","0.66","-0.28","0.01","0.01"
"roce","","0.29","0.5600000000000001","-0.21","-0.01","-0.01"
