"other_equity","","39683","39024","38550","","","","","","","","",""
"minority_interest_liability","","387","396","383","70","39","35","51","47","46","45","56","56"
"total_equity","","38375","37172","33918","31518","23505","21274","17149","16096","20017","19909","21238","21238"
"total_liabilities_and_equity","","68775","65071","79916","79629","61406","55493","51803","54015","57699","57123","57153","57153"
"cfo_net_income","-14761","2051","1648","2461","3161","344","1908","1049","-322","3427","868","2025","1807"
"cfo_da","4858","4396","4144","3947","3775","3051","2576","2535","2625","2597","2480","2616","2608"
"cfo_receivables","26","1058","1414","-384","690","-5","-586","-36","-948","-756","508","-30","-437"
"cfo_inventory","-39","-251","69","-424","34","-542","-260","46","-527","-1959","-713","400","-3190"
"cfo_prepaid_expenses","","","","","","","","","","","","",""
"cfo_other_working_capital","-1741","-190","-2130","-1419","-1136","-2576","-3993","-1745","-771","1345","-365","-1402","3895"
"cfo_change_in_working_capital","-1754","617","-647","-2227","-412","-3123","-4839","-1735","-2246","-1370","-570","-1032","268"
"cfo_deferred_tax","-552","-248","-304","-2522","-1345","-1122","2229","1079","-294","-167","-249","-67","-136"
"cfo_stock_comp","438","374","427","565","558","428","286","268","274","382","391","428","423"
"cfo_other_noncash_items","19011","1549","1643","1437","-681","1757","804","801","2203","1002","1673","458","555"
"cf_cfo","7240","8739","6911","3661","5056","1335","2964","3997","2240","5871","4593","4428","5525"
"cfi_ppe_net","-3042","-2127","-3014","-2964","-2830","-2458","-1862","-2259","-1680","-2148","-2520","-2226","-1987"
"cfi_acquisitions_net","-31","-167","-43","-2504","3320","-2222","-194","-1526","-866","-505","","-761","-355"
"cfi_investment_net","-86","67","83","55","-71","-7","65","-13","-53","-45","207","-6","-16"
"cfi_intangibles_net","","","","","","","","","","","","",""
"cfi_other","","","","","","-662","111","341","21","-98","226","-291","137"
"cf_cfi","-3159","-2227","-2974","-5413","419","-5349","-1880","-3457","-2578","-2796","-2087","-3284","-2221"
"cff_common_stock_net","","","","","-2662","-2556","-3568","-2249","-355","-213","-512","-421","-290"
"cff_pfd_net","","","","","","","","","","","","",""
"cff_debt_net","-11","-1238","-265","-233","170","-1506","-1676","1261","1899","-2479","-596","-209","-2158"
"cff_dividend_paid","","","-37","-32","-373","-428","-570","-608","-618","-625","-621","-619","-646"
"cff_other","-4510","-5226","-3498","9540","535","4654","222","48","-43","-47","-67","-113","-107"
"cf_cff","-4521","-6464","-3800","9275","-2330","164","-5592","-1548","883","-3364","-1796","-1362","-3201"
"ebitda","9318","8352","7961","6964","6182","4897","4925","5012","4217","4711","4707","5058","4835"
"capex","-3042","-2127","-3014","-2964","-2830","-2458","-1862","-2259","-1680","-2148","-2520","-2226","-1987"
"fcf","4198","6612","3897","697","2226","-1123","1102","1738","560","3723","2073","2202","3538"
"book_value","","38375","37172","33918","31518","23505","21274","17149","16096","20017","19909","21238","21734"
"tangible_book_value","","9493","9155","4727","14753","4947","2948","-2285","-3024","689","1773","2596","3231"
"roa","","0.06","0.02","0.03","0.04","","0.03","0.02","-0.01","0.06","0.02","0.04","0.03"
"roe","","0.11","0.04","0.07000000000000001","0.1","0.01","0.09","0.05","-0.02","0.19","0.04","0.1","0.09"
"roic","","0.1","0.04","0.06","0.06","0.01","0.05","0.03","-0.01","0.1","0.03","0.06","0.05"
"roce","","0.16","0.08","0.06","0.04","0.03","0.05","0.06","0.04","0.05","0.06","0.06","0.06"
"rotce","","0.39","0.2","0.13","0.07000000000000001","0.05","0.09","0.13","0.08","0.1","0.11","0.12","0.1"
"gross_margin","0.28","0.27","0.28","0.32","0.32","0.3","0.3","0.33","0.31","0.34","0.33","0.35","0.35"
"ebitda_margin","0.15","0.15","0.14","0.22","0.2","0.17","0.16","0.17","0.16","0.17","0.17","0.17","0.17"
"operating_margin","0.07000000000000001","0.07000000000000001","0.07000000000000001","0.1","0.08","0.06","0.08","0.09","0.06","0.08","0.08","0.08","0.08"
"pretax_margin","-0.23","0.05","0.04","0.06","0.13","0.01","0.01","0.05","-0.02","0.13","0.03","0.08","0.07000000000000001"
"net_income_margin","-0.24","0.04","0.03","0.08","0.1","0.01","0.06","0.04","-0.01","0.12","0.03","0.07000000000000001","0.06"
"fcf_margin","0.07000000000000001","0.12","0.07000000000000001","0.02","0.07000000000000001","-0.04","0.04","0.06","0.02","0.13","0.07000000000000001","0.08","0.12"
"assets_to_equity","","1.79","1.75","2.36","2.53","2.61","2.61","3.02","3.36","2.88","2.87","2.69","2.75"
"equity_to_assets","","0.5600000000000001","0.57","0.42","0.4","0.38","0.38","0.33","0.3","0.35","0.35","0.37","0.36"
