"cf_cfi","5092","7518","-2195","-2192","-841","-2914","-2970","-2928","-3049"
"cff_common_stock_net","-518","489","112","-407","-17","-680","-2113","-437","-525"
"cff_pfd_net","","","","","","","","",""
"cff_debt_net","-589","-349","-1233","-2967","-412","-2696","900","-591","918"
"cff_dividend_paid","-2462","-3235","-3711","-2085","-2071","-2073","-2006","-1972","-1969"
"cff_other","-445","-230","-572","1364","-264","-622","-142","-115","-119"
"cf_cff","-4014","-3325","-5404","-4095","-2764","-6071","-3361","-3115","-1695"
"ebitda","7149","6928","8388","6458","5430","10729","8460","4711","4834"
"capex","97","382","1","75","794","-755","-203","-26","-56"
"fcf","-2860","-4547","4255","6005","7020","6254","7272","5170","5069"
"book_value","","27009","33621","14094","13005","18739","21247","19108","18917"
"tangible_book_value","","7522","19550","1539","745","7094","10161","8395","8360"
"roa","","0.01","0.06","-0.02","0.02","0.1","0.07000000000000001","0.01","0.02"
"roe","","0.03","0.15","-0.06","0.09","0.4","0.23","0.03","0.06"
"roic","","0.02","0.09","-0.03","0.04","0.19","0.12","0.02","0.03"
"roce","","0.13","0.08","0.06","0.05","0.16","0.11","0.04","0.04"
"rotce","","0.19","0.11","0.08","0.07000000000000001","0.2","0.15","0.05","0.06"
"gross_margin","0.22","0.17","0.17","0.15","0.13","0.2","0.15","0.11","0.11"
"ebitda_margin","0.15","0.16","0.17","0.15","0.14","0.2","0.15","0.11","0.11"
"operating_margin","0.09","0.1","0.11","0.08","0.07000000000000001","0.14","0.1","0.05","0.05"
"pretax_margin","0.09","0.01","0.08","-0.03","0.05","0.15","0.11","0.01","0.03"
"net_income_margin","0.09","0.01","0.09","-0.03","0.03","0.11","0.08","0.01","0.03"
"fcf_margin","-0.06","-0.1","0.09","0.14","0.18","0.11","0.13","0.12","0.12"
"assets_to_equity","","2.96","2.49","4.29","4.73","3.36","2.85","3.03","3.11"
"equity_to_assets","","0.34","0.4","0.23","0.21","0.3","0.35","0.33","0.32"
"debt_to_equity","","0.78","0.59","1.33","1.43","0.84","0.77","0.84","0.92"
"debt_to_assets","","0.26","0.24","0.31","0.3","0.25","0.27","0.28","0.3"
"revenue_per_share","64.20999999999999","58.31","66.14","57.85","51.92","73.39","78.42","62.94","61.54"
"ebitda_per_share","9.529999999999999","9.24","11.18","8.699999999999999","7.32","14.32","11.66","6.64","6.83"
"operating_income_per_share","5.72","5.84","7.31","4.74","3.44","10.53","7.86","2.96","3.04"
