"Company: ","Applovin Corp (APP:US)","","","","",""
"Exchange: ","NASDAQ","","","","",""
"Last Close Price: ","81.20999999999999","","","","",""
"Industry: ","Software","","","","",""
"Currency: ","USD","","","","",""
"Country: ","US","","","","",""
"Market Cap.: ","25679","","","","",""
"Enterprise Value: ","28733","","","","",""
"period_end_date","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","994.104","1451.086","2793.104","2817.058","3283.087","3625.797"
"cogs","241.274","555.578","988.095","1256.065","1059.191","1091.379"
"gross_profit","752.83","895.508","1805.009","1560.993","2223.896","2534.418"
"sga","513.4930000000001","694.227","1288.591","1101.177","983.303","1004.841"
"rnd","44.966","180.652","366.402","507.607","592.386","602.8579999999999"
"special_charges","","","","","",""
"other_opex","","","","","",""
"total_opex","558.4589999999999","874.879","1654.993","1608.784","1575.689","1607.699"
"operating_income","194.371","20.629","150.016","-47.791","648.207","926.7190000000001"
"net_interest_income_normal","-73.955","-77.873","-103.17","-171.863","-275.665","-285.447"
"other_nonoperating_income","5.818","-78.462","-0.535","14.477","8.028","10.596"
"pretax_income","126.234","-135.706","46.311","-205.177","380.57","651.8680000000001"
"income_tax","-7.194","9.772","-10.973","12.23","-23.859","-54.456"
"net_income_continuing","119.04","-125.934","35.338","-192.947","356.711","597.412"
"net_income_discontinued","","","","","",""
"income_allocated_to_minority_interest","","0.747","0.108","0.201","",""
"other_income_statement_items","1.4210854715202E-14","-1.4210854715202E-14","","","","2.8421709430404E-14"
"net_income","119.04","-125.187","35.446","-192.746","356.711","597.412"
"preferred_dividends","","","","","",""
"net_income_available_to_shareholders","119.04","-125.187","35.446","-192.746","356.711","597.412"
"eps_basic","0.24","-0.35","0.1","-0.52","1.01","1.75"
"eps_diluted","0.24","-0.35","0.09","-0.52","0.98","1.68"
"shares_basic","324.103","357.955","324.836","371.568","351.952","351.952"
"shares_diluted","324.103","357.955","342.764","371.568","362.589","362.589"
"cash_and_equiv","396.247","317.235","1520.504","1080.484","502.152","502.152"
"st_investments","","","","","",""
"receivables","161.346","296.964","514.52","702.814","953.8099999999999","953.8099999999999"
"inventories","","","","","",""
"other_current_assets","28.628","48.795","1200.04","155.785","160.201","160.201"
"total_current_assets","586.221","662.994","3235.064","1939.083","1616.163","1616.163"
"equity_and_other_investments","","","","","",""
"ppe_gross","48.148","142.504","174.242","187.78","293.547","293.547"
"accumulated_depreciation","-25.352","-29.581","-39.659","-48.858","-72.006","-72.006"
"ppe_net","22.796","112.923","134.583","138.922","221.541","221.541"
"intangible_assets","440.906","1086.335","1709.344","1677.655","1292.635","1292.635"
"goodwill","137.12","249.77","966.4299999999999","1823.76","1842.85","1842.85"
"other_lt_assets","15.442","42.571","118.158","268.426","385.998","385.998"
"total_assets","1202.485","2154.593","6163.579","5847.846","5359.187","5359.187"
"accounts_payable","70.52200000000001","147.275","258.22","273.196","371.702","371.702"
"tax_payable","","40.127","67.15900000000001","81.95699999999999","141.854","141.854"
"current_accrued_liabilities","37.299","13.033","11.75","41.542","62.085","62.085"
"st_debt","12.21","15.21","25.81","33.31","215","215"
"current_deferred_revenue","8.198","86.886","78.93000000000001","64.018","78.559","78.559"
"current_deferred_tax_liability","","","","","",""
"other_current_liabilities","108.136","270.494","157.837","70.601","61.317","61.317"
"total_current_liabilities","238.875","598.052","640.097","578.958","944.122","944.122"
"lt_debt","1168.374","1583.99","3201.834","3178.412","2905.906","2905.906"
"noncurrent_capital_leases","12.745","71.755","62.498","54.153","42.905","42.905"
"pension_liabilities","","","","","",""
"noncurrent_deferred_revenue","","","","","",""
"other_lt_liabilities","39.058","59.032","120.859","133.646","209.925","209.925"
"total_liabilities","1459.052","2312.829","4025.288","3945.169","4102.858","4102.858"
"common_stock","","","","","",""
"preferred_stock","399.589","399.589","","","",""
"retained_earnings","-887.213","-1012.4","-976.954","-1169.7","-812.989","-812.989"
"aoci","-4.14","0.604","-45.454","-83.38200000000001","-65.274","-65.274"
"apic","235.19","453.655","3160.487","3155.748","2134.581","2134.581"
"treasury_stock","","","","","",""
"other_equity","0.0069999999999482","0.0069999999999197","0.010999999999967","0.010999999999967","0.01099999999974","0.01099999999974"
"minority_interest_liability","","0.309","0.201","","",""
"total_equity","-256.567","-158.236","2138.291","1902.677","1256.329","1256.329"
"total_liabilities_and_equity","1202.485","2154.593","6163.579","5847.846","5359.187","5359.187"
"cfo_net_income","119.04","-125.934","35.338","-192.947","356.711","597.412"
"cfo_da","92.806","254.951","431.063","547.0839999999999","489.008","473.467"
"cfo_receivables","-33.524","-113.234","-201.948","-174.829","-261.279","-411.729"
"cfo_inventory","","","","","",""
"cfo_prepaid_expenses","-19.867","-13.289","-97.324","-3.725","-12.28","32.082"
"cfo_other_working_capital","22.19","59.487","14.976","-113.885","64.88500000000001","38.242"
"cfo_change_in_working_capital","-31.201","-67.036","-284.296","-292.439","-208.674","-341.405"
"cfo_deferred_tax","","","","","",""
