"total_liabilities_and_equity","1.041","17.369","29.759","47.705","6282.878","5610.912","5544.001","5791.32","5737.618","5737.618"
"cfo_net_income","0.781","9.711","2.325","66.608","-355.114","-122.527","331.617","326.242","371.786","389.205"
"cfo_da","","99.861","","","152.536","179.462","179.462","202.434","206.731","208.63"
"cfo_receivables","","-0.217","","","42.669","11.489","9.74","-2.631","-1.159","-8.436"
"cfo_inventory","","","","","","","","","",""
"cfo_prepaid_expenses","","-0.529","","-0.005","","","","","",""
"cfo_other_working_capital","0.115","7.514","7.051","2.693","-19.197","-11.07","-5.309","7.695","-2.823","7.241"
"cfo_change_in_working_capital","0.115","6.768","7.051","2.688","23.472","0.419","4.431","5.064","-3.982","-1.195"
"cfo_deferred_tax","0.368","-0.368","","-1.304","-101.927","-0.171","117.123","117.494","134.664","139.482"
"cfo_stock_comp","","","34.93","35.11","73.52","12.78","13.53","19.65","31.61","34.61"
"cfo_other_noncash_items","-0.969","-106.435","-16.226","-19.571","829.9","683.419","63.589","28.72","38.254","36.173"
"cf_cfo","0.295","9.537000000000001","28.08","83.53100000000001","622.3869999999999","753.3819999999999","709.752","699.604","779.063","806.905"
"cfi_ppe_net","","-416.32","","","-267.383","-196.724","-232.825","-515.65","-183.999","-184.31"
"cfi_acquisitions_net","","-75.51600000000001","","","-133.536","-25.267","-2.07","17","-0.262",""
"cfi_investment_net","","","","","","","","","",""
"cfi_intangibles_net","","","","","","","","","",""
"cfi_other","","13.673","","","-124.756","2.76","1.653","4.824","1.055","6.132"
"cf_cfi","","-478.163","","","-525.675","-219.231","-233.242","-493.826","-183.206","-178.178"
"cff_common_stock_net","","65.395","","","-125.519","-24.713","","","",""
"cff_pfd_net","","","","","","","","","",""
"cff_debt_net","","240","","","534.5","204","16.228","234.8","-151.9","-153.247"
"cff_dividend_paid","-0.223","","-31.702","-86.46599999999999","-496.197","-590.1900000000001","-471.721","-433.375","-435.396","-434.95"
