"Company: ","Interactive Brokers Group Inc (IBKR:US)","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NASDAQ","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","122.11","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Capital Markets","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","50976","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","46913","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","563.976","929.1079999999999","1252.409","1468.373","1850.357","1100.34","927.903","1401.582","1148.906","1137","1226","1378","1381","1595","2317","2573","2420","2940","4192","7787","8238"
"cogs","","","","","","","476.167","497.657","495.494","448","417","458","486","490","533","539","618","635","778","913","936"
"gross_profit","563.976","929.1079999999999","1252.409","1468.373","1850.357","1100.34","451.736","903.925","653.412","689","809","920","895","1105","1784","2034","1802","2305","3414","6874","7302"
"sga","257.618","339.393","468.151","510.111","562.722","521.717","71.19","82.501","69.151","71","78","83","92","114","121","137","262","209","198","252","267"
"rnd","","","","","","","","","","","","","","","","","","","","",""
"special_charges","","","","","","","","","","","","","","","","","","","","",""
"other_opex","306.358","589.715","784.258","958.2619999999999","1287.635","578.623","-29.403","-30.978","-37.916","-45","-40","-58","-48","-174","-19","-7","69","80","90","99","101"
"total_opex","563.976","929.1079999999999","1252.409","1468.373","1850.357","1100.34","41.787","51.523","31.235","26","38","25","44","-60","102","130","331","289","288","351","368"
"operating_income","","","","","","","409.949","852.402","622.177","663","771","895","851","1165","1682","1904","1471","2016","3126","6523","6934"
"net_interest_income_normal","21.83","103.177","187.624","226.984","105.204","52.185","-66.209","-86.256","-61.95","-52","-72","-67","-79","-225","-463","-643","-261","-224","-1018","-3436","-3739"
"other_nonoperating_income","268.168","466.121","573.937","704.796","1144.768","486.098","-6.325","-25.078","-33.227","-160","-193","-370","-11","109","-23","-104","46","-5","-110","-18","-21"
"pretax_income","289.998","569.298","761.561","931.78","1249.972","538.283","337.415","741.068","527","451","506","458","761","1049","1196","1157","1256","1787","1998","3069","3174"
"income_tax","-19.555","-33.778","-27.392","-63.037","-128.371","-54.138","-60.281","-53.889","-30.014","-33","-47","-43","-62","-256","-71","-68","-77","-151","-156","-257","-267"
"net_income_continuing","270.443","535.52","734.169","868.7430000000001","1121.601","484.145","277.134","687.179","496.986","418","459","415","699","793","1125","1089","1179","1636","1842","2812","2907"
"net_income_discontinued","","","","","","","","","","","","","","","","","","","","",""
"income_allocated_to_minority_interest","","","","","","","-286.684","-625.321","-456.318","-381","-414","-366","-615","-717","-956","-928","-984","-1328","-1462","-2212","-2280"
"other_income_statement_items","","","","1.1368683772162E-13","2.2737367544323E-13","-5.6843418860808E-14","1.0658141036402E-14","4.9737991503207E-14","-7.105427357601E-15","","","","","","","","","","","",""
"net_income","270.443","535.52","734.169","868.7430000000001","1121.601","484.145","-9.550000000000001","61.858","40.668","37","45","49","84","76","169","161","195","308","380","600","627"
"preferred_dividends","","","","","","","","","","","","","","","","","","","","",""
"net_income_available_to_shareholders","270.443","535.52","734.169","868.7430000000001","1121.601","484.145","-9.550000000000001","61.858","40.668","37","45","49","84","76","169","161","195","308","380","600","627"
"eps_basic","0.68","1.34","1.84","1.2","2.3","0.8","-0.23","1.39","0.89","0.74","0.79","0.8","1.28","1.09","2.3","2.11","2.44","3.27","3.78","5.72","5.9"
"eps_diluted","0.68","1.34","1.84","1.16","2.24","0.79","-0.23","1.37","0.89","0.73","0.77","0.78","1.25","1.07","2.28","2.1","2.42","3.24","3.75","5.67","5.85"
"shares_basic","400.188","400.188","400.188","400.144","398.137","398.814","41.791","43.871","46.939","50","56.962","61.25","65.625","69.72499999999999","73.47799999999999","76.303","79.93899999999999","94.16800000000001","100.46","104.965","104.965"
"shares_diluted","400.188","400.188","400.188","400.144","500.715","612.842","41.791","44.511","46.939","50.685","58.442","62.821","67.2","71.02800000000001","74.123","76.667","80.639","95.01000000000001","101.3","105.847","105.847"
"cash_and_equiv","","408.232","669.271","521.776","943.497","806.5599999999999","1354.219","1695.495","1380.599","1213.241","1269","1601","1925","1732","2597","2882","4292","2395","3436","3753","3753"
"st_investments","","","","","","","","","","","","","","","","","","","","",""
"receivables","","1057.261","1768.177","4485.717","4174.969","3748.568","","8443.699000000001","10719.051","14481.328","18219","17805","20506","30760","27864","32147","40691","58833","42570","46490","46490"
"inventories","","","","","","","","","","","","","","","","","","","","",""
"other_current_assets","","","","9.094947017729301E-13","","-9.094947017729301E-13","","11237.467","13643.238","15155.242","17340","22742","25950","21436","23286","27385","43810","38123","57037","64292","64292"
"total_current_assets","","1465.493","2437.448","5007.493","5118.466","4555.128","1354.219","21376.661","25742.888","30849.811","36828","42148","48381","53928","53747","62414","88793","99351","103043","114535","114535"
"equity_and_other_investments","","","","","","","","8484.585999999999","6879.928","6423.13","6088","6106","5844","6942","6504","8782","6292","8851","11174","12761","12761"
"ppe_gross","","","","","","","","","","","","","","","","","","","","",""
"accumulated_depreciation","","","","","","","","","","","","","","","","","","","","",""
"ppe_net","","","","","","","","","","","","","","","","","","","","",""
"intangible_assets","","","","","","","","","","","","","","","","","","","","",""
"goodwill","","","","","","","","","","","","","","","","","","","","",""
"other_lt_assets","","22826.654","29643.07","29534.593","23238.169","22050.423","27145.82","543.1180000000001","576.741","597.759","469","480","448","292","296","480","594","911","926","1127","1127"
"total_assets","","24292.147","32080.518","34542.086","28356.635","26605.551","28500.039","30404.365","33199.557","37870.7","43385","48734","54673","61162","60547","71676","95679","109113","115143","128423","128423"
"accounts_payable","","2525.996","4707.197","9252.456","8560.562","10761.284","","17416.876","21524.673","26415.446","31883","37162","41811","47695","48146","56543","76180","86126","93726","101688","101688"
"tax_payable","","","","","","","","","","","","","","","","","","","","",""
"current_accrued_liabilities","","141.114","161.812","231.008","289.659","244.715","","6.416","4.508","2.969","4","3","6","22","41","29","6","8","193","311","311"
"st_debt","","707.296","1296.909","1415.725","208.117","320.803","","6.538","110.42","24.635","34","2894","74","15","17","16","118","27","18","17","17"
"current_deferred_revenue","","","","","","","","","","","","","","","","","","","","",""
"current_deferred_tax_liability","","","","","","","","","","","","","","","","","","","","",""
"other_current_liabilities","","","","323.901","313.8","298.982","","1905.021","2460.549","3181.851","3710","714","4817","4914","4506","4782","10219","12548","9445","12147","12147"
"total_current_liabilities","","3374.406","6165.918","11223.09","9372.138000000001","11625.784","","19334.851","24100.15","29624.901","35631","40773","46708","52646","52710","61370","86523","98709","103382","114163","114163"
"lt_debt","","164.666","300.598","460.456","443.054","205.777","","101.411","1839.274","2563.653","3199","2894","4293","1316","4037","1909","9838","11769","8940","11347","11347"
"noncurrent_capital_leases","","","","","","","","","","","","","","","","","","","","",""
"pension_liabilities","","","","","","","","","","","","","","","","","","","","",""
"noncurrent_deferred_revenue","","","","","","","","","","","","","","","","","","","","",""
"other_lt_liabilities","","18578.829","22812.085","19284.716","14133.382","9896.859","24206.954","11425.767","2446.986","590.02","-630","-277","-2148","767","-3356","457","-9685","-11587","-8794","-11154","-11154"
"total_liabilities","","22117.901","29278.601","30968.262","23948.574","21728.42","24206.954","30862.029","28386.41","32778.574","38200","43390","48853","54729","53391","63736","86676","98891","103528","114356","114356"
"common_stock","","","2802","","","","","","","1","1","1","1","1","1","1","1","1","1","1","1"
"preferred_stock","","","","","","","","","","","","","","","","","","","","",""
"retained_earnings","","","","48.16","141.207","177.409","-2031.656","-465.138","82.072","98.86799999999999","121","145","203","251","390","520","683","953","1294","1852","1852"
"aoci","","47.275","","4.109","3.907","10.914","21.137","18.487","29.754","27.028","12","2","-2","9","-4","","26","4","-22","8","8"
"apic","","","","450.667","485.837","528.586","","","493.912","583.312","635","718","775","832","898","934","1244","1442","1581","1726","1726"
"treasury_stock","","","","-94.96599999999999","-117.55","-142.441","-19.132","-13.31","-7.718","-2.492","-3","-3","-3","-3","-3","-3","-3","-5","-6","-3","-3"
"other_equity","","2126.971","-0.08300000000008399","3165.854","3894.66","4302.663","1.8869999999997","0.45999999999998","0.47800000000007","-0.45200000000023","","","","","","","","","","",""
