"cf_cfo","2479","1714","2649","1390","1229","1490","1883","1767","1697","111","2275","4119","2961","2361"
"cfi_ppe_net","-363","-172","-135","-138","-106","-135","-253","-232","-95","-118","-124","-126","-172","-130"
"cfi_acquisitions_net","","","","","","","","-533","-129","-3","-165","-255","",""
"cfi_investment_net","-1973","4062","-2722","-2741","421","-1821","-113","508","938","-846","-2800","-5141","-4384","-6783"
"cfi_intangibles_net","","-193","-208","-170","-178","-165","-187","-253","-240","","","","",""
"cfi_other","302","-2778","612","-7225","-6042","-9205","-3431","-6567","-4349","-5169","-7397","-7115","9804","11708"
"cf_cfi","-2034","919","-2453","-10274","-5905","-11326","-3984","-7077","-3875","-6136","-10486","-12637","5248","4795"
"cff_common_stock_net","","","","-334","-500","-430","-820","-1025","-1220","-270","-295","-153","-906","-806"
"cff_pfd_net","","","","","247","","","593","730","395","46","","",""
"cff_debt_net","-1442","-5147","2461","7245","1601","3529","-2347","2796","-3055","-5738","-1506","4831","-1933","-6074"
"cff_dividend_paid","","-150","-1185","-806","-221","-255","-336","-485","-682","-770","-783","-892","-928","-918"
"cff_other","-227","2033","-1778","3298","3358","7611","4932","4473","5717","21755","7174","6121","-3361","4267"
"cf_cff","-1669","-3264","-502","9403","4485","10455","1429","6352","1490","15372","4636","9907","-7128","-3531"
"ebitda","1212","1491","-3064","1654","1734","2049","2399","2672","2884","1876","3602","3220","2508","2258"
"earning_assets","","107085","106638","117188","117663","133096","136325","143184","146771","163648","167111","200476","196270","195712"
"book_value","","24129","19196","19268","19399","19500","20023","19977","20631","20708","21406","21676","22328","21747"
"tangible_book_value","","12818","12320","12392","12523","12624","13136","13054","13587","13658","14226","13306","13983","13411"
"roa","","0.01","-0.03","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01"
"roe","","0.05","-0.16","0.04","0.04","0.05","0.08","0.08","0.08","0.05","0.1","0.09","0.07000000000000001","0.06"
"ebitda_margin","0.24","0.3","-0.65","0.35","0.36","0.39","0.42","0.44","0.44","0.27","0.54","0.4","0.3","0.28"
"pretax_margin","0.15","0.21","-0.74","0.27","0.26","0.29","0.34","0.36","0.35","0.19","0.45","0.33","0.25","0.22"
"net_income_margin","0.1","0.13","-0.73","0.18","0.17","0.2","0.29","0.28","0.28","0.15","0.35","0.26","0.2","0.18"
"net_interest_margin","","0.06","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03"
"assets_to_equity","","5.27","6.36","6.9","7.03","7.57","7.52","7.71","7.47","8.09","8.039999999999999","9.57","9.119999999999999","9.279999999999999"
"equity_to_assets","","0.19","0.16","0.15","0.14","0.13","0.13","0.13","0.13","0.12","0.12","0.1","0.11","0.11"
"earning_assets_to_equity","","4.44","5.56","6.08","5.99","6.74","6.73","6.88","6.61","7.22","7.14","8.460000000000001","8.06","8.24"
"loans_to_deposits","","0.89","0.96","0.9399999999999999","0.93","0.95","0.9399999999999999","0.96","0.96","0.85","0.84","0.86","0.82","0.8100000000000001"
"loan_loss_reserve_to_loans","","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.02","0.01","0.01","0.01","0.01"
"revenue_per_share","8.98","8.74","8.380000000000001","8.41","8.960000000000001","10.03","11.33","12.76","14.39","16.13","15.55","16.85","17.25","17.1"
"ebitda_per_share","2.16","2.66","-5.47","2.97","3.22","3.91","4.76","5.56","6.39","4.38","8.43","6.74","5.26","4.78"
"pretax_income_per_share","1.39","1.83","-6.19","2.27","2.35","2.93","3.8","4.54","4.99","3.03","6.96","5.56","4.26","3.8"
"book_value_per_share","","43.09","34.28","34.55","36.04","37.22","39.75","41.58","45.72","48.37","50.08","45.37","46.84","46.89"
"tangible_book_per_share","","22.89","22","22.22","23.27","24.09","26.08","27.17","30.11","31.9","33.28","27.85","29.33","28.92"
"payout_ratio","","","","0.06","0.26","0.23","0.2","0.28","0.36","0.7","0.3","0.4","0.54","0.61"
"net_interest_income_growth","","-0.03","-0.05","0.08","0.03","0.1","0.11","0.09","0.02","-0.01","-0.02","0.33","0.04",""
"revenue_growth","","-0.03","-0.04","","0.03","0.09","0.09","0.07000000000000001","0.06","0.06","-0.04","0.21","0.02",""
"ebitda_growth","","0.23","-3.05","1.54","0.05","0.18","0.17","0.11","0.08","-0.35","0.92","-0.11","-0.22",""
"pretax_income_growth","","0.32","-4.39","1.37","","0.21","0.25","0.14","0.03","-0.42","1.29","-0.11","-0.24",""
"net_income_growth","","0.27","-6.33","1.25","-0.03","0.24","0.58","0.04","0.04","-0.41","1.19","-0.11","-0.22",""
"eps_diluted_growth","","0.27","-6.33","1.25","","0.27","0.65","0.08","0.08","-0.42","1.32","-0.21","-0.24",""
"shares_diluted_growth","","","","","-0.03","-0.03","-0.04","-0.05","-0.06","-0.05","","0.12","",""
"cash_and_equiv_growth","","","-0.06","0.22","-0.06","0.2","-0.22","0.31","-0.13","2.54","-0.27","0.15","0.11",""
"loans_gross_growth","","","-0.01","0.08","0.06","0.1","0.03","0.06","0.04","0.04","0.04","0.2","-0.07000000000000001",""
"loans_net_growth","","","-0.01","0.08","0.06","0.1","0.03","0.06","0.04","0.03","0.05","0.2","-0.07000000000000001",""
"total_assets_growth","","","-0.04","0.09","0.04","0.08","0.02","0.05","0.03","0.11","0.03","0.2","-0.02",""
"deposits_growth","","","-0.09","0.1","0.07000000000000001","0.07000000000000001","0.05","0.04","0.05","0.17","0.05","0.17","-0.02",""
"total_equity_growth","","","-0.2","","0.02","0.01","0.03","0.03","0.07000000000000001","0.02","0.03","0.01","0.03",""
"earning_assets_growth","","","","0.1","","0.13","0.02","0.05","0.03","0.11","0.02","0.2","-0.02",""
"shares_eop","559.998","559.998","559.998","545.885","527.774","511.955","490.813","466.008","433.121","427.21","422.137","492.282","466.418","455.02"
"dividends","","","","0.1","0.4","0.46","0.64","0.98","1.36","1.56","1.56","1.62","1.68","1.68"
"price_to_earnings","","","","15.69","16.46","17.46","12.47","8.050000000000001","9.82","14.45","8.6","9.35","9.609999999999999","11.63"
"price_to_book","","","","0.7","0.71","0.9399999999999999","1.03","0.6899999999999999","0.85","0.74","0.93","0.89","0.6899999999999999","0.77"
"price_to_sales","","","","2.89","2.87","3.47","3.61","2.26","2.71","2.21","3","2.41","1.88","2.07"
"price_to_tangible_book","","","","1.1","1.1","1.44","1.57","1.06","1.29","1.12","1.4","1.46","1.11","1.24"
"market_cap","","","","13570.7011","13822.40106","18240.95665","20604.32974","13854.41784","17589.04381","15277.0296","19945.97325","19381.14234","15457.09252","16638.42065"
"period_end_price","","","","24.86","26.19","35.63","41.98","29.73","40.61","35.76","47.25","39.37","33.14","33.14"
