"cfi_acquisitions_net","-176.649","-60.15","-400.298","","","","",""
"cfi_investment_net","-512.091","-514.107","144.93","125.561","-1327","-1","-928","-821"
"cfi_intangibles_net","","","","","","","",""
"cfi_other","2.2737367544323E-13","-3.2900000000001","33.665","-8.599999999999699","0.32199999999989","-2","-114","-98"
"cf_cfi","-788.944","-668.171","-347.155","79.59","-1352","-28","-1042","-943"
"cff_common_stock_net","","","","3650.87","","-1500","-2252","-2509"
"cff_pfd_net","49.865","","","","","","",""
"cff_debt_net","4.844","","","1923.88","-229","","",""
"cff_dividend_paid","","","","","","","",""
"cff_other","618.245","140.516","854.579","-2633.936","1537","811","-178","-73"
"cf_cff","672.954","140.516","854.579","2940.814","1308","-689","-2430","-2582"
"ebitda","-2.02","101.145","-387.381","-3312.916","680","1972","1562","1671"
"capex","-100.204","-90.624","-125.452","-37.371","-25.322","-25","","-24"
"fcf","151.021","504.933","97.27500000000001","-667.103","2287.678","3405","3884","4196"
"book_value","","-517.308","-807.6849999999999","2901.783","4775","5560","8165","7896"
"tangible_book_value","","-835.925","-1562.685","2170.096","4070","4876","7373","7110"
"roa","","-0.01","-0.09","-0.49","-0.03","0.13","0.26","0.22"
"roe","","0.07000000000000001","1.02","-4.38","-0.09","0.37","0.7","0.75"
"roic","","0.07000000000000001","1.43","-1.93","-0.06","0.25","0.53","0.57"
"roce","","0.01","-0.17","-0.8100000000000001","0.09","0.25","0.16","0.18"
"rotce","","0.01","-0.21","-0.99","0.1","0.27","0.18","0.19"
"gross_margin","0.75","0.76","0.75","0.74","0.8100000000000001","0.82","0.83","0.83"
"ebitda_margin","","0.03","-0.08","-0.98","0.11","0.23","0.16","0.16"
"operating_margin","-0.03","0.01","-0.1","-1.02","0.09","0.23","0.15","0.16"
"pretax_margin","-0.02","0.01","-0.09","-1.39","-0.05","0.24","0.21","0.22"
"net_income_margin","-0.03","","-0.14","-1.36","-0.06","0.23","0.48","0.48"
"fcf_margin","0.06","0.14","0.02","-0.2","0.38","0.41","0.39","0.41"
"assets_to_equity","","-12.78","-10.29","3.62","2.87","2.88","2.53","3.11"
"equity_to_assets","","-0.08","-0.1","0.28","0.35","0.35","0.4","0.32"
"debt_to_equity","","","-0.47","0.78","0.49","0.41","0.27","0.25"
"debt_to_assets","","","0.05","0.22","0.17","0.14","0.11","0.08"
"revenue_per_share","4.91","6.88","9.050000000000001","11.88","9.73","12.35","14.98","15.55"
"ebitda_per_share","","0.19","-0.73","-11.65","1.1","2.9","2.36","2.52"
"operating_income_per_share","-0.16","0.04","-0.9399999999999999","-12.09","0.88","2.78","2.29","2.45"
"pretax_income_per_share","-0.11","0.09","-0.78","-16.46","-0.49","2.93","3.18","3.42"
"fcf_per_share","0.29","0.95","0.18","-2.35","3.71","5.01","5.87","6.38"
"book_value_per_share","","-0.97","-1.52","10.2","7.75","8.18","12.33","12.07"
"tangible_book_per_share","","-1.57","-2.94","7.63","6.61","7.17","11.14","10.87"
"payout_ratio","","","","","","","",""
"revenue_growth","","0.43","0.32","-0.3","0.77","0.4","0.18",""
"gross_profit_growth","","0.46","0.29","-0.31","0.93","0.43","0.19",""
"ebitda_growth","","51.07","-4.83","-7.55","1.21","1.9","-0.21",""
"operating_income_growth","","1.23","-27.76","-5.86","1.16","2.49","-0.2",""
"pretax_income_growth","","1.8","-9.75","-10.37","0.9399999999999999","7.63","0.06",""
"net_income_growth","","0.76","-39","-5.8","0.92","6.38","1.53",""
"eps_diluted_growth","","0.76","-38.69","-11.69","0.96","5.89","1.59",""
"shares_diluted_growth","","0.02","","-0.46","1.17","0.1","-0.03",""
"cash_and_equiv_growth","","","-0.06","1.72","0.11","0.22","-0.07000000000000001",""
"ppe_growth","","","1.22","-0.05","-0.34","-0.4","0.08",""
"total_assets_growth","","","0.26","0.26","0.31","0.17","0.29",""
"total_equity_growth","","","-0.5600000000000001","4.59","0.65","0.16","0.47",""
"cfo_growth","","1.37","-0.63","-3.83","4.67","0.48","0.13",""
"capex_growth","","0.1","-0.38","0.7","0.32","0.01","1",""
"fcf_growth","","2.34","-0.8100000000000001","-7.86","4.43","0.49","0.14",""
"shares_eop","521.7089999999999","530.9450000000001","530.9450000000001","599.197","633.524","631","638","634.84"
"dividends","","","","","","","",""
"price_to_earnings","","","","-19.19","-299.65","28.5","18.13","21.27"
"price_to_book","","","","30.31","22.09","9.699999999999999","10.64","13.3"
"price_to_sales","","","","26.04","17.6","6.42","8.76","10.26"
"price_to_tangible_book","","","","40.53","25.92","11.06","11.78","14.77"
"price_to_fcf","","","","-131.86","46.11","15.84","22.36","25.03"
"market_cap","","","","87962.11960000001","105475.41076","53950.5","86857.32000000001","105035.97056"
"period_end_price","","","","146.8","166.49","85.5","136.14","136.14"
