"other_current_liabilities","4002","1201","625","312","","","","","12158","","","","","","-1","-1","-1"
"total_current_liabilities","75608","52435","47157","53226","53992","62412","65657","71217","85181","76890","82237","84905","79910","74408","91173","94445","94445"
"lt_debt","29018","5562","9142","6514","10532","22025","31721","43549","51326","67254","73060","65924","72981","75659","75921","82773","82773"
"noncurrent_capital_leases","","","","853","","","","","","","","1010","969","1012","967","907","907"
"pension_liabilities","54097","35794","31188","34965","37606","27788","32325","28325","22723","20998","18441","19442","20740","15148","10910","11694","11694"
"noncurrent_deferred_revenue","17392","13279","13021","1300","1169","1249","1556","2007","2285","2887","2959","2962","2715","3010","3552","5019","5019"
"other_lt_liabilities","","7268","1231","8754","9123","9696","10218","8917","16100","8253","7865","7837","8202","9666","9230","9919","9919"
"total_liabilities","176115","114338","101739","105612","112422","123170","141477","154015","177615","176282","184562","182080","185517","178903","191753","204757","204757"
"common_stock","1017","15","15","16","14","15","16","15","15","14","14","14","14","15","14","12","12"
"preferred_stock","","","10391","10391","10391","3109","","","","","","","","","","",""
"retained_earnings","-70727","-4394","266","7183","10057","13816","14577","20285","26168","17627","22322","26860","31962","41937","49251","55391","55391"
"aoci","-32339","1588","1251","-5861","-8052","-3113","-8073","-8036","-9330","-8011","-9039","-11156","-13488","-9269","-7901","-10247","-10247"
"apic","16489","24040","24257","26391","23834","28780","28937","27607","26983","25371","25563","26074","26542","27061","26428","19130","19130"
"treasury_stock","","","","","","","","","","","","","","","","",""
"other_equity","","","","","","","","","","","","","","","","",""
"minority_interest_liability","484","708","979","871","756","567","567","452","239","1199","3917","4165","4647","6071","4492","4021","4021"
"total_equity","-85076","21957","37159","38991","37000","43174","36024","40323","44075","36200","42777","45957","49677","65815","72284","68307","68307"
"total_liabilities_and_equity","91039","136295","138898","144603","149422","166344","177501","194338","221690","212482","227339","228037","235194","244718","264037","273064","273064"
"cfo_net_income","-31051","105217","6503","9287","6136","5331","4018","9590","9269","330","8075","6667","6321","9945","9708","9840","10447"
"cfo_da","10203","11384","6930","7427","38762","8041","7238","7487","9819","12261","13669","14118","12815","12051","11290","11888","11874"
"cfo_receivables","1315","392","-641","-1572","-460","8","-3248","-836","-3433","-697","-2114","100","1403","3347","-9483","-1799",""
"cfo_inventory","77","3194","-2229","-2760","-326","59","-309","-1209","-75","440","399","-761","-104","-3155","-2581","-757",""
