"Company: ","Ardagh Metal Packaging SA (AMBP:US)","","","","",""
"Exchange: ","NYSE","","","","",""
"Last Close Price: ","3.48","","","","",""
"Industry: ","Metals & Mining","","","","",""
"Currency: ","USD","","","","",""
"Country: ","US","","","","",""
"Market Cap.: ","2133","","","","",""
"shares_diluted_growth","","","-0.11","0.12","-0.01",""
"cash_and_equiv_growth","","","0.8100000000000001","0.2","-0.21",""
"ppe_growth","","","0.5","0.3","0.1",""
"total_assets_growth","","","0.25","0.1","-0.03",""
"total_equity_growth","","","4.96","0.59","-0.77",""
"cfo_growth","","-0.11","0.37","-0.55","2",""
"capex_growth","","-0.31","-1.58","0.14","0.37",""
"fcf_growth","","-0.6","-4.1","-0.72","1.66",""
"shares_eop","603.283","603.283","603.297","597.575","597.635","597.65"
"dividends","","","","0.4","0.4","0.4"
"price_to_earnings","","","-25.94","12.13","-45.9","-33.61"
"price_to_book","","","19.05","6.32","21.65","70.69"
"price_to_sales","","","1.34","0.61","0.48","0.43"
"price_to_tangible_book","","","-3.96","-2.82","-1.8","-1.57"
"price_to_fcf","","","-24.76","-7.58","9.220000000000001","8.869999999999999"
"market_cap","","","5447.77191","2874.33575","2294.9184","2049.94293"
"period_end_price","","","9.029999999999999","4.81","3.84","3.84"
