"Company: ","Discover Financial Services (DFS:US)","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","126.42","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Consumer Finance","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","31993","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","38464","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2004-11","2005-11","2006-11","2007-11","2008-11","2009-11","2010-11","2011-11","2012-11","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"total_interest_income","5701.095","5704.397","5750.499","6378.674","2692.563","3145.08","6146","6345","6703","7064","7596","7945","8616","9648","10893","11993","11095","10651","12864","17845","18716"
"total_interest_expense","1339.166","1801.097","2160.592","2741.128","1288.004","1251.284","1583","1485","1331","1146","1134","1263","1398","1648","2139","2530","1865","1134","1865","4746","5262"
"net_interest_income","4361.929","3903.3","3589.907","3637.546","1404.559","1893.796","4563","4860","5372","5918","6462","6682","7218","8000","8754","9463","9230","9517","10999","13099","13454"
"total_noninterest_revenue","1989.569","1963.285","2225.772","2239.752","3400.824","2948.897","2095","2205","2281","2306","2015","2057","1881","1897","1955","1996","1858","2534","2294","2761","2874"
"revenue","6351.498","5866.585","5815.679","5877.298","4805.383","4842.693","6658","7065","7653","8224","8477","8739","9099","9897","10709","11459","11088","12051","13293","15860","16328"
"credit_losses_provision","925.549","878.486","606.765","733.8869999999999","1595.615","2362.405","3207","1013","848","1086","1443","1512","1859","2579","3035","3231","5134","218","2359","6018","6413"
"net_interest_income_after_credit_losses_provision","3436.38","3024.814","2983.142","2903.659","-191.056","-468.609","1356","3847","4524","4832","5019","5170","5359","5421","5719","6232","4096","9299","8640","7081","7041"
