"receivables","","59.125","70.526","84.76300000000001","137.435","124.384","144.178","117.475","873.3819999999999","1023.732","1029.15","888.1660000000001","838.796","970.199","386.588","561.865","517.006","254.958","267.38","291.483","291.483"
"inventories","","41.331","57.113","68.28700000000001","80.327","71.15000000000001","57.941","56.136","493.649","443.536","442.732","420.386","364.972","429.627","359.655","571.558","564.822","356.233","426.643","468.832","468.832"
"other_current_assets","","32.183","39.555","85.92400000000001","48.333","52.151","58.395","102.489","282.266","353.589","296.948","224.872","325.996","258.379","1135.045","161.19","182.933","1011.836","76.705","100.013","100.013"
"total_current_assets","","140.46","174.802","287.067","294.857","297.648","321.056","351.208","2131.746","2132.158","2074.278","1730.893","1738.578","2069.832","1958.441","1404.245","1361.829","2303.279","795.023","896.519","896.519"
"equity_and_other_investments","","","","","","","","","","","","","","","","","","","","",""
"ppe_gross","","128.63","147.262","170.584","180.721","190.32","193.768","204.924","865.602","1010.318","1039.047","1013.476","730.573","865.381","560.221","924.116","973.571","441.072","484.805","576.754","576.754"
"accumulated_depreciation","","-54.474","-67.30200000000001","-82.193","-88.631","-98.23","-104.522","-113.985","-177.032","-256.057","-311.612","-368.94","-225.142","-312.579","-233.066","-259.555","-312.669","-129.474","-181.183","-242.45","-242.45"
"ppe_net","","74.15600000000001","79.95999999999999","88.39100000000001","92.09","92.09","89.246","90.93899999999999","688.5700000000001","754.261","727.4349999999999","644.5359999999999","505.431","552.802","327.155","664.561","660.902","311.598","303.622","334.304","334.304"
"intangible_assets","152.681","0.0030000000000143","0.0010000000000048","-0.0010000000000048","13.516","11.95","28.296","41.033","779.045","832.552","1043.586","995.7089999999999","916.343","1017.207","628.302","1719.016","1663.447","1154.026","1110.725","1127.366","1127.366"
"goodwill","","149.79","154.23","168.96","165.53","163.42","172.34","204.84","2098.84","2409.7","2873.02","2817.69","2351","2538.54","1497.83","3202.52","3314.54","1934.26","1983.59","2060.89","2060.89"
"other_lt_assets","555.2","336.165","388.233","352.123","347.083","441.193","411.139","400.523","450.086","472.513","493.198","544.091","827.088","531.316","2204.23","396.49","350.831","2812.749","80.288","90.255","90.255"
"total_assets","707.881","700.574","797.226","896.54","913.076","1006.301","1022.077","1088.543","6148.287","6601.184","7211.517","6732.919","6338.44","6709.697","6615.958","7386.832","7351.549","8515.912","4273.248","4509.334","4509.334"
"accounts_payable","","27.575","38.114","48.91","52.138","36.579","50.896","54.035","699.626","862.125","780.287","569.4450000000001","515.52","587.129","291.233","359.782","330.251","155.208","135.628","132.475","132.475"
"tax_payable","","","","","11.457","2.154","6.173","4.911","34.165","71.533","52.599","51.834","35.429","53.939","55.554","55.258","57.286","12.97","13.676","14.384","14.384"
"current_accrued_liabilities","","77.408","89.467","96.824","85.271","97.501","107.191","153.405","315.946","308.864","331.369","258.107","246.664","272.265","133.935","242.799","206.617","114.992","117.391","127.248","127.248"
"st_debt","","1.944","2.541","2.64","5.42","8.968999999999999","10","10","34.799","29.449","9.855","5.792","5.406","5.766","5.02","27.642","27.074","7.701","219.279","",""
"current_deferred_revenue","","","","","","","","14.704","61.431","53.28","58.049","195.038","140.22","145.853","16.827","16.009","36.737","9.202999999999999","3.56","2.953","2.953"
"current_deferred_tax_liability","","","","","","","","","","","","","","","","","","","","",""
"other_current_liabilities","","0.63699999999999","0.08000000000001299","2.8421709430404E-14","2.8421709430404E-14","5.896","17.25","2.987","35.678","59.017","47.966","36.128","116.416","32.428","696.776","115.803","113.998","701.574","51.384","70.979","70.979"
